sequence,visible_label,title,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"46","46화","법보다 주먹(완전판)! 46화","방가연이 기자 이준표를 병실에 들여 문형근의 성추행·절도를 캐묻는다.","악인의 돈·가정·직장과 주인공의 능력을 한 번에 결산하되 기억 상실 비용을 부과한다.","사법시험에 필요한 지식 능력을 얻고 문형근을 완전히 무너뜨린다.","ARS에서 지식을 담는 뇌를 택하고, 피해자 탄원·검찰 고소와 염산 비데 장치가 차례로 작동하게 둔다.","새 스킬 대가로 기억 하나가 영구 소멸하고 동철의 선악 수치는 4:96까지 악으로 기운다.","ARS는 ###666 소통을 열고 업그레이드를 종료하며 문형근은 이준표에게 2억을 뜯긴 뒤 비데 산에 화상을 입는다.","은희 중심의 피해자들이 탄원에 나서 문형근은 학교·가정·사회에서 매장된다.","능력","동철은 지식을 무제한 담는 뇌를 얻는 대신 오득현에 관한 기억을 잃고 절대악에 가까워진다.","무슨 기억이 사라졌는지 모르는 불안과 4:96이라는 도덕 비용이 남는다.","문형근 최종 매장; ARS 최종 업그레이드","소멸 기억 확인; 악 수치 회복; 새 능력 활용","문형근의 몰락과 사라진 기억","high"
"47","47화","법보다 주먹(완전판)! 47화","문형근 사건 뒤 동철은 주말 공사장으로 네 사람 생활비를 번다.","육체노동에서 미래 지식 투자로 생계 엔진을 바꾸고 법 공부의 한계를 깨닫는다.","아르바이트 없이 사법시험을 준비할 종잣돈을 만든다.","공사장에서 잘린 뒤 2002 월드컵 결과와 비를 이용한 스포츠토토·응원용품 계획을 명득에게 제안한다.","현금이 부족하고 지식을 외우는 능력만으로 법의 진짜 답·지혜를 얻을 수는 없다.","법대 학과장이 정답을 보아도 경험 없는 답은 얕다는 사실을 지적해 동철이 지식과 지혜의 차이를 인정한다.","동철은 폴란드전 승리와 강우를 동시에 돈으로 바꿀 구체 계획을 세운다.","돈","노가다 생계에서 월드컵을 활용한 대규모 종잣돈 조달로 목표가 바뀐다.","확실한 경기 결과에 풀 베팅하고 광화문에서 우산을 팔 계획이 열린다.","문형근 사건 종료; 노가다 종료","스포츠토토 적중; 월드컵 장사; 법적 지혜","월드컵 두 마리 토끼","high"
"48","48화","법보다 주먹(완전판)! 48화","동철은 방가연에게 받은 돈과 알바비를 들고 복권방에 간다.","회귀 지식을 실제 고배당 표로 바꾸는 준비의 쾌감을 준다.","확실히 기억하는 월드컵 경기들로 최대 배당을 확보한다.","복권방 주인의 조언을 흘리고 기억 속 결과만 조합해 2천 배·1억 상한짜리 표 일곱 장을 산다.","경기 하나만 틀려도 돈을 잃고 기억을 이용한 도박이라는 윤리적 부담이 있다.","최문탁도 중국·필리핀 서버의 온라인 사업과 우천용역 합법화를 준비하며 주먹 없는 조직 미래를 설계한다.","동철은 총 7억 가능성의 표를 확보하고 생계 독립을 앞둔다.","돈","방가연 돈이 월드컵 고배당 7장이라는 미래 자산으로 바뀐다.","폴란드전과 해외 경기 적중 여부, 광화문 우의 장사가 남는다.","월드컵 베팅 구매","7장 적중; 최문탁 온라인 사업","2천 배 프로토 일곱 장","high"
"49","49화","법보다 주먹(완전판)! 49화","폴란드전 날 광화문은 붉은 악마 인파로 가득하다.","비와 승리를 미리 아는 주인공이 대중 열기를 현금·노출로 바꾼다.","우산·우의·태극기를 완판하고 경기 결과를 확인한다.","동철·명득은 장사하고 은희·미선은 태극기 옷을 입어 손님을 끌며 방송 카메라에 잡힌다.","날씨와 경기 기억이 틀리면 재고와 베팅금을 모두 잃고 은희의 외모 노출이 뜻밖의 변수를 만든다.","연예기획사 대표가 태극기녀 은희를 발견해 매니저에게 연락처를 못 따오면 해고하겠다고 명령한다.","비옷·태극기 장사는 대박이 나고 은희·미선은 군중과 방송의 시선을 받는다.","지위","은희는 평범한 디자인과 학생에서 광화문 군중이 촬영하는 태극기녀로 떠오른다.","매니저가 은희의 번호를 노리고 월드컵 경기·토토 결과가 다가온다.","광화문 장사 준비","폴란드전 승리; 은희 캐스팅; 토토 적중","광화문 태극기녀","high"
"50","50화","법보다 주먹(완전판)! 50화","광화문 장사가 폭발하고 국가대표가 폴란드전 선취골을 넣는다.","월드컵 승리·돈·캐스팅을 주되 동거 발각 위기로 즉시 리듬을 꺾는다.","경기 결과와 장사를 챙긴 뒤 은희 아버지에게 동거를 숨긴다.","은희가 매니저 연락처를 받고 동철·명득은 아버지 전화에 짐을 두 방으로 급히 옮긴다.","연예계 진출은 연애를 흔들 수 있고 갑작스러운 방문은 네 사람의 거짓말을 폭로할 수 있다.","국가대표 승리 직후 은천재의 우천용역이 한국병원 청소노동자 착취를 처리할 새 갈등으로 등장한다.","월드컵 첫 승과 장사 대박을 얻고 동철·명득은 겉보기 남자 방을 만들어낸다.","관계","은희와 동철의 동거는 부모 감시로 종료되고 은희에게 연예계 선택지가 열린다.","은희 아버지가 예상보다 빨리 옥탑에 도착해 담배 냄새를 맡는다.","폴란드전 장사와 승리","동거 은폐; 은희 캐스팅; 우천용역 착취","월드컵 승리 뒤 아버지 급습","high"
"51","51화","법보다 주먹(완전판)! 51화","은희 아버지가 옥탑에서 담배 냄새와 여성 물건 흔적을 찾는다.","들킬 듯한 가족 코미디 끝에 신뢰와 책임을 다시 확인한다.","동거 사실을 숨기고 은희를 맡길 사람으로 인정받는다.","명득과 둘이 무릎 꿇어 둘러대고 아버지를 서울역까지 배웅한다.","숨겨진 생리대와 방 배치가 거짓말을 무너뜨릴 뻔하고 아버지는 딸의 명예를 걱정한다.","아버지는 의심하면서도 마지막에 동철 손을 잡고 은희를 잘 부탁한다고 맡긴다.","동거는 끝나지만 두 사람의 교제와 동철의 책임은 부모에게 재승인된다.","관계","은희 아버지가 감시자에서 동철에게 딸을 부탁하는 보호자 동맹으로 이동한다.","서울역에서 명득은 붕어빵을 보며 ‘거지 친구’를 기억한다고 말한다.","아버지 방문 위기","명득의 어린 시절 정체; 독립 주거","생리대 위기와 ‘은희 잘 부탁한다’","high"
"52","52화","법보다 주먹(완전판)! 52화","명득의 붕어빵 집착이 어린 거지와 꼬마 동철의 첫 만남으로 이어진다.","숨겨 온 우정의 기원·토토 대박·사시 도전이 한 번에 열린다.","새 집과 돈을 확보하고 사법시험 1차에 도전한다.","월드컵 토토 연속 적중금으로 오피스텔 두 채을 얻고 소멸 대비 이메일을 쓴 뒤 몰래 사시 1차를 본다.","ARS가 지운 오득현 기억처럼 또 기억을 잃을 수 있고 1학년 합격은 질시를 부른다.","거지 아이가 사실 명득이며 붕어빵을 준 동철을 평생 친구로 기억해 따라왔다는 사실이 독자에게 밝혀진다.","반지하·옥탑을 탈출하고 동철은 사시 1차 합격 명단에 오를 준비를 마친다.","돈","토토 대박이 안정된 오피스텔과 무알바 수험생활로 전환된다.","은희의 연예기획사 계약 압박과 사시 합격 발표가 동시에 다가온다.","월드컵 토토 적중; 반지하 탈출","명득 정체; 사시 1차; 은희 캐스팅","붕어빵 친구와 사시 1차","high"
"53","53화","법보다 주먹(완전판)! 53화","법대생들은 1학년 동철의 사법시험 1차 합격을 믿지 못한다.","사회적 인정 직후 신체 붕괴와 재벌 인연으로 새 규모를 연다.","질시를 넘고 법대 공부를 계속한다.","최무성의 공개 옹호 속 도서관 공부를 이어가다 맹장 통증으로 쓰러져 정소연 도움으로 병원 특실에 실려 간다.","과로와 고통으로 의식을 잃고 최문탁도 유망 합격자 포섭 명단에서 동철을 따로 주시한다.","동철을 구한 정소연은 한국자동차 회장 손녀지만 가족과 차 판매 일을 평범하게 말한다.","사시 1차 합격이 학교·최문탁에게 확인되고 동철은 최고급 치료를 받는다.","지위","동철은 우연한 서울대생에서 최연소급 사시 1차 합격자로 법대와 조직의 주목을 받는다.","은희와 명득이 특실에 와 정소연의 정체를 모른 채 새 인연을 경계한다.","사시 1차 합격","정소연 정체; 맹장 수술; 법대 질시","합격 직후 한국자동차 특실","high"
"54","54화","법보다 주먹(완전판)! 54화","은희는 정소연이 마련한 특실에서 동철의 새 여자인지 경계한다.","재벌 손녀라는 정보가 연애 경쟁과 연예계 진출 결심을 촉발한다.","치료받으며 관계 오해를 풀고 사시 공부를 지속한다.","병상에서 헌법을 읽고 은희에게 정소연과의 만남을 설명한다.","은희의 질투와 동철의 고름 찬 충수, 정소연 도움에 진 빚이 부담이 된다.","간호사 대화를 엿들어 정소연이 한국자동차 정 회장 손녀임을 확인하고 은희가 경쟁력을 얻으려 연예인이 되기로 한다.","동철은 재벌 인연의 실체를 알고 은희는 수동적 캐스팅 대상에서 적극적 데뷔 희망자로 바뀐다.","관계","은희·정소연 사이에 동철을 둘러싼 잠재 경쟁선이 생긴다.","사라진 기억 상처를 떠올린 동철이 과거의 아픔은 완전히 아물지 않는다고 느낀다.","정소연 신분 확인","은희 연예계 진출; 수술; 기억 소멸 비용","한국자동차 손녀와 은희의 결심","high"
"55","55화","법보다 주먹(완전판)! 55화","정소연이 다시 병문안을 와 은희와 마주한다.","연애 긴장을 여성들의 우정과 병동 아이 솔이의 외로움으로 전환한다.","은희·정소연 관계를 안정시키고 입원 중 주변을 돌본다.","두 여성을 소개해 친구가 되게 하고 병실을 찾은 솔이를 안아 달래며 놀아준다.","은희는 웃지 않는 눈으로 경계하고 솔이는 가족의 품이 그리워 밤까지 울음을 참는다.","털털한 정소연이 은희 마음을 얻고 은희는 동철을 빼앗기지 않으려 연예인 의지를 더 굳힌다.","동철은 병동의 고립된 아이 솔이에게 임시 가족 같은 안식처를 준다.","관계","정소연은 연적 후보에서 은희의 친구로 들어오고 솔이는 동철을 의지한다.","밤의 솔이가 결국 울고 있음을 알아챈 동철이 이유를 묻는다.","은희·정소연 첫 대면","솔이의 가족 사정; 은희 데뷔","질투를 넘은 병실 친구들","high"
"56","56화","법보다 주먹(완전판)! 56화","솔이는 울지 않는 척하지만 동철에게 계속 놀아 달라고 매달린다.","수술 회복 중에도 약자의 위협을 목격하면 몸을 던지는 행동 약속을 재점화한다.","수술을 마치고 병원 뒤 청소노동자 협박을 막는다.","충수 수술 뒤 담배를 구하러 갔다가 깡치가 청소 아줌마를 협박하는 장면을 엿듣고 개입한다.","실밥도 풀지 않은 몸과 담배 욕구, 병원 용역 뒤 조폭 세력이 위험하다.","청소노동자들이 최저임금·근무시간 문제로 움직이며 깡치가 우천용역의 폭력 담당임이 드러난다.","청소 아줌마는 당장의 폭행을 피하고 동철은 담배 한 개비 빚을 갚을 책임을 느낀다.","관계","동철과 이름 모를 청소 아줌마 사이에 한 개비 담배로 연대가 생긴다.","용역과 병원 측이 파업을 꺾으려는 더 큰 움직임이 열린다.","수술 완료; 솔이 위로","청소노동자 파업; 깡치 응징","담배 한 개비의 빚","high"
"57","57화","법보다 주먹(완전판)! 57화","한국병원 청소노동자들은 5만 원 인상과 최저임금을 요구해 파업을 예고한다.","병원·방송·아이들을 엮어 용역 폭력의 목격자를 만드는 설계가 시작된다.","깡치가 보낼 조폭을 막고 파업을 외부에 알린다.","KBC와 신문사에 제보하고 명득에게 토마토, 솔이에게 아이들 동원을 맡긴 뒤 얼굴을 가릴 준비를 한다.","제2연평해전 때문에 언론 관심이 빠지고 병원장·총무부는 용역 교체 협박으로 조폭 진압을 부른다.","은천재에게 갈굼받은 깡치가 살기를 품고 후문으로 조직원을 투입한다.","파업은 병원장에게 보고돼 숨길 수 없게 되고 동철은 후문 단독 방어선을 만든다.","세계","개인 응징이 노동 착취·언론·병원 경영을 건 집단 충돌로 규모가 커진다.","환자복·마스크 차림 동철이 후문에서 조폭 버스를 기다린다.","언론 제보와 파업 개시","후문 조폭 진압; 병원 경영진 반응","후문을 막는 수술 환자","high"
"58","58화","법보다 주먹(완전판)! 58화","실밥도 풀지 않은 동철이 한국병원 후문 철문에 홀로 선다.","압도적 다수 조폭을 환자복 한 명이 막는 행동 장르 보상을 연다.","로비의 청소 아줌마들에게 폭력이 닿기 전에 진압대를 꺾는다.","버팀목을 무기로 쓰고 우천용역 버스에서 내린 깡치와 조직원들을 차례로 공격한다.","수술 부위가 터질 위험과 최소 열 명, 쇠파이프라는 물리적 열세가 크다.","조폭들이 청소 용역 점퍼를 입고 합법 직원처럼 난입하려 한 위장이 드러난다.","첫 쇠파이프 공격을 피하고 턱을 정확히 가격해 전투 주도권을 잡는다.","능력","회복 중인 동철도 전생 실전 경험으로 다수 무장조를 상대할 수 있음이 입증된다.","첫 조폭이 쓰러지고 후문 난전이 본격화된다.","후문 방어 준비","깡치·우천용역 제압; 수술 상처","환자복 한 명 대 조폭 버스","high"
"59","59화","법보다 주먹(완전판)! 59화","후문에서 동철과 우천용역 조폭들의 쇠파이프 난전이 이어진다.","혼자 전원을 쓰러뜨리는 즉시 보상 뒤 비 맞는 노동자의 현실 비용을 보여준다.","깡치 일당을 현장에서 퇴거시키고 파업을 지킨다.","관자놀이·턱을 연속 타격해 조직원들을 제압하고 머리채를 잡아 버스로 끌어가 기사에게 모두 싣게 한다.","복부 수술 상처와 폭행 흔적, 쏟아지는 비 속 청소노동자들의 체력 한계가 남는다.","조폭은 후문에서 패퇴하지만 로비 앞 아줌마들은 겨우 5만 원 때문에 여전히 비를 맞는다.","용역의 물리 진압은 실패하고 동철은 정소연을 최종 카드로 떠올린다.","지위","익명의 환자복 남자가 조폭 버스 하나를 되돌려 파업의 보이지 않는 보호자가 된다.","동철은 한국자동차 회장 손녀 정소연에게 병원 문제를 가져가려 한다.","후문 조폭 제압","정소연 개입; 임금 협상; 동철 상처","비 속 파업과 재벌 카드","high"
"60","60화","법보다 주먹(완전판)! 60화","청소 아줌마들은 폭우 속에서도 최저임금을 달라며 로비를 지킨다.","아이들의 놀이와 재벌의 시선을 동원해 보이지 않던 노동을 공개 사건으로 만든다.","정소연과 병원 책임자의 개입을 끌어내 협상 판을 연다.","솔이가 병동 아이들과 토마토 장난을 벌여 병원을 떠들썩하게 하고 동철은 정소연을 기다리며 파업 현장으로 돌아온다.","총무부장은 아줌마들이 폐렴으로 죽길 바랄 만큼 냉혹하고 방송은 연평해전으로 오지 않는다.","동철에게 담배를 준 아줌마가 비를 맞으며 ‘담뱃값’이라 말해 개인 빚과 집단 투쟁이 하나로 묶인다.","파업 현장에 환자·아이들 시선이 모이고 동철의 최종 설계 조건이 갖춰진다.","관계","동철은 청소노동자들의 외부 조력자에서 개인적으로 빚진 동료가 된다.","정소연 또는 정 회장 측이 도착해 병원 권력과 맞설지가 다음 결산이다.","용역 폭력 저지","임금 인상; 병원 책임; 정소연 도착","폭우 속 담뱃값","high"
"61","61화","법보다 주먹(완전판)! 61화","동철은 우산으로 비 맞는 청소노동자들을 가려주며 정소연을 기다린다.","재벌 기부자의 공개 분노로 약자들의 소박한 요구를 즉시 관철한다.","병원과 용역의 임금 착취를 끝내고 직접고용을 만든다.","정소연과 한국자동차 사장인 부친 앞에서 파업 사정을 드러내고 병원장에게 기부금 반환 소송 압박을 가하게 한다.","정소연 호의를 이용하는 관계 부담과 감기라는 신체 비용이 생긴다.","한국자동차 사장은 현장을 보자 병원 설명을 묵살하고 기부금 회수·책임 조사를 선언한다.","체불·삭감 임금이 회복되고 청소원들은 병원 직접계약으로 고용 안정을 얻는다.","지위","외주 용역의 저임금 계약직들이 병원 직접고용 노동자로 전환된다.","동철·솔이 포함 20명이 감기에 걸리고 정소연은 동철을 더 갖고 싶다고 말한다.","청소노동자 직접고용과 임금 개선","병원·용역 비리 수사; 정소연 감정","재벌차가 멈춘 파업 현장","high"
"62","62화","법보다 주먹(완전판)! 62화","한국자동차 압박 뒤 방송국이 뒤늦게 병원 임금 착취를 취재한다.","언론·수사·신체 기증을 통해 집단 정의와 개인 구원을 함께 지급한다.","비리 책임자를 처벌하고 솔이를 살린다.","홍운철 기자가 앵커 브리핑으로 5년 15억 페이백을 폭로하게 하고 동철은 골수 기증 등록을 한다.","병원장·총무부·깡치 수사와 고통스러운 골수 채취를 감수하며 북측 천지회라는 미지 세력도 움직인다.","동철의 골수가 놀랍게도 솔이와 일치해 즉시 기증할 수 있음이 확인된다.","총무부장·깡치가 수사선에 오르고 솔이는 동철 골수로 회복한다.","관계","동철과 솔이는 병동 친구에서 생명을 나눈 가족 같은 관계가 된다.","천지회가 기회를 기다린다는 외부 장기 위협과 일상 복귀가 함께 열린다.","병원 착취 폭로; 골수 일치","천지회; 솔이 회복; 법 공부 복귀","앵커 브리핑과 솔이의 기적","high"
"63","63화","법보다 주먹(완전판)! 63화","퇴원 한 달 뒤 은희·미선은 대형 기획사와 계약하고 정소연은 동철 곁을 맴돈다.","사시 실패를 군 복무라는 시간 확보와 성장 전환으로 바꾼다.","기억을 정리하고 다음 사시에 집중할 시간을 만든다.","2차 불합격을 확인한 뒤 3일 후 입대한다고 은희에게 통보하고 최무성과 입대 전 술을 마신다.","은희와 상의하지 않은 일방 결정이 관계를 상하게 하고 법대 동기들은 실패를 즐긴다.","은희·미선의 연예계 진출과 무성 형의 동시 입대가 각 인물의 진로 분기점이 된다.","동철은 실패를 인정하고 망설임 없이 춘천 102보충대로 갈 결심을 실행한다.","지위","사시 1차 천재에서 2차 불합격자·현역 입대자로 신분이 전환된다.","은희는 마음의 준비 없는 이별에 분노하고 군 복무 동안 관계를 지켜야 한다.","사시 2차 불합격","현역 복무; 은희 데뷔; 재도전","불합격 사흘 뒤 입대","high"
"64","64화","법보다 주먹(완전판)! 64화","입대를 사흘 앞둔 동철과 데뷔를 앞둔 은희가 각자의 선택을 한다.","스타 꿈보다 연인을 택한 은희의 동행과 친구의 깊은 애착을 지급한다.","입대 전 가족·연인과 작별하고 춘천으로 간다.","은희가 데뷔 무대를 포기하고 춘천행을 택하며 명득은 용산역에서 눈물로 동철을 보낸다.","은희의 스케줄 손실과 명득의 상실 불안, 군 복무 이별이 모두 비용이다.","명득은 신검 6급이라 군에 못 가고 전생과 이번 생에서 동철 대신 남겨지는 운명이 뒤집힌다.","동철과 은희는 처음 단둘이 여행하듯 춘천에 도착해 입대 전날을 함께 보낸다.","관계","은희는 신인 가수 기회보다 동철을 우선하고 명득은 동철 부재를 견뎌야 하는 친구가 된다.","춘천에 방 하나뿐인 모텔이 남아 두 연인의 첫 관계를 예고한다.","입대 작별","입대 전날 연인 관계; 은희 데뷔 손실","기차역 이별과 춘천 동행","high"
"65","65화","법보다 주먹(완전판)! 65화","춘천 모텔에 방 하나만 남아 동철과 은희가 입대 전날을 함께 보낸다.","오래 미룬 성인 연애 보상을 입대 직전 지급한다.","은희와 사랑을 확인하고 다음 날 보충대에 입소한다.","어색함과 피임 준비 소동 끝에 은희와 첫 관계를 갖고 밤을 새운 뒤 102보충대로 간다.","입대 직전 이별 감정과 경험 없는 긴장, 군 규율에 대한 무지가 겹친다.","은희는 동철이 숫총각이었다는 사실에 안도하고 두 사람은 더 깊은 연인이 된다.","동철은 사랑의 확신을 얻지만 입소 즉시 ‘다나까’도 모르는 신병으로 꺾인다.","관계","동철·은희의 동거 연애가 육체적·정서적 결합으로 비가역적으로 깊어진다.","조교의 싸늘한 시선 속 동철의 군대 적응이 시작된다.","입대 전 첫 관계","신병 적응; 장거리 연애","춘천 첫밤과 102보충대","high"
"66","66화","법보다 주먹(완전판)! 66화","동철은 다나까 말투부터 다시 배우며 신교대 훈련에 들어간다.","사회의 강자도 군대에서는 바닥부터 적응하는 압축 성장과 은희의 스타 상승을 교차한다.","훈련을 무사히 마치고 자대 배치를 받는다.","수류탄·유격·각개전투를 버티고 타워에서 은희 이름을 외치며 하강한다.","조교의 절대 권력과 체력 고통, 은희를 볼 수 없는 이별이 지속된다.","4주 만에 은희의 인기가 군인들의 ‘은느님’ 수준으로 폭발해 기획사 대표가 스케줄 거부도 감수한다.","동철은 훈련을 완주하고 은희는 신인에서 군부대가 열광하는 스타가 된다.","지위","동철은 훈련병으로 군 기본기를 얻고 은희는 전국 군인들이 알아보는 연예인으로 도약한다.","6주 수료식에 은희가 올지, 어느 자대로 갈지가 열린다.","신교대 훈련","수료식 재회; 은희 스타 상승","유격장에서 부른 은느님","high"
"67","67화","법보다 주먹(완전판)! 67화","6주 훈련 수료식에 부모가 오고 동철은 은희를 기다린다.","가족 재회와 스타가 된 연인의 등장 뒤 군대의 어두운 자대로 밀어 넣는다.","가족·은희와 재회하고 새 부대에 무사히 전입한다.","부모와 먹고 이야기한 뒤 바쁜 은희·스타일리스트를 만나 부탁하고 자대 내무반에 들어간다.","은희의 급격한 명성은 고무신 불안을 만들고 자대 선임 체계는 아직 알 수 없다.","은희가 실제로 크게 떴고 동철을 보러 스케줄 사이에 왔으며 소대는 신병을 축제처럼 맞는다.","동철은 가족 사랑과 은희의 변치 않은 마음을 확인한다.","관계","부모·연인과의 유대가 군 공백을 버틸 기반으로 재확인된다.","문 앞 상병과 옷깃이 닿는 첫 순간부터 자대 선임 관계가 시험된다.","훈련소 수료","자대 가혹행위; 은희와 장거리","수료식 재회와 신병 전입","high"
"68","68화","법보다 주먹(완전판)! 68화","동철은 새 소대에서 상병에게 경례하지만 맞선임 규칙과 충돌한다.","군대 안의 비합리와 폭력을 주인공이 직접 체험하게 한다.","서열과 인물들을 파악해 생존한다.","일주일간 암기 강요와 얼차려를 견디며 장칠수·계두철·나송우·이익태 등 선임 성향을 살핀다.","계급보다 내무반 사적 서열이 우선하고 장칠수는 인간이 아닌 교보재처럼 학대받는다.","겉으로 상병인 장칠수가 소대 최약자이고 계두철이 그를 공개 괴롭히는 구조가 드러난다.","동철은 눈치와 암기로 신병 생활을 버티며 가해 집단의 실체를 모은다.","세계","검사를 꿈꾸던 동철이 900미터 독립중대의 폐쇄된 폭력 규칙 아래 놓인다.","계두철이 동철에게 ‘좀 한다’며 새 장난감으로 관심을 보인다.","자대 적응","장칠수 구출; 계두철 세력 파악","쌍팔년도 같은 내무반","high"
"69","69화","법보다 주먹(완전판)! 69화","계두철과 나송우는 장칠수를 교보재로 삼아 일상적으로 학대한다.","주인공이 가혹행위의 주범과 침묵 구조를 구체적으로 식별한다.","장칠수를 구할 수 있도록 가해자·배후·규칙을 알아낸다.","선악의 저울로 소대원들을 보고 식사 자리의 모욕과 통제를 관찰한다.","나송우·계두철뿐 아니라 한 달 뒤 전역할 왕고와 중대 전체가 침묵하고 계두철은 조직 전력을 믿는다.","직접 때리지 않는 나송우의 악 수치가 가장 높고 계두철이 삼류 조폭 연줄로 중대를 장악했음이 드러난다.","동철은 두 주범을 없애면 장칠수 학대가 멈출 것이라는 공격점을 찾는다.","관계","동철은 단순 신병에서 장칠수 편에 설 유일한 잠재 보호자로 이동한다.","장칠수의 선악 수치가 행동 없이 악 쪽으로 변해 위험 신호를 낸다.","가혹행위 구조 파악","장칠수의 계획; 계두철·나송우 제거","장칠수를 먹는 내무반","high"
"70","70화","법보다 주먹(완전판)! 70화","장칠수의 선악 수치가 하루 만에 44:56으로 기울고 마음의 편지는 백지다.","숨겨진 극단 계획과 보급병 이동이라는 두 카운트다운을 건다.","장칠수 수첩의 D-day 의미를 밝히고 대응 자원을 얻는다.","떨어진 수첩에서 D-13·D-11·D-9를 보고 행정보급관 호출에 응해 보급병 업무를 배운다.","피해자는 보복 때문에 소원수리를 못 쓰고 동철도 보급병이 되면 소대에서 멀어진다.","D-9이 단순 전역일이 아닌 비밀 행동 카운트다운이며 전 중대 실사격 일정과 겹친다.","동철은 행정반 접근과 정보력을 얻고 장칠수 계획을 추적할 단서를 잡는다.","지위","동철은 소대 막내에서 행정보급관이 직접 뽑은 보급병으로 이동한다.","전투력 측정 실사격과 D-9의 관계가 의문으로 남는다.","D-day 수첩 발견","실사격 날 장칠수 계획; 보급병 전환","장칠수의 D-9","high"
"71","71화","법보다 주먹(완전판)! 71화","행정반 소원수리는 강요된 백지이고 중대장은 진급 실적에 집착한다.","가혹행위가 개인 악행이 아니라 지휘 체계 묵인임을 드러낸다.","장칠수의 실사격 날 사고를 사전에 막는다.","일정·탄약 보급을 확인하고 장칠수의 말꼬리에서 D-9가 전투력 측정일임을 확신한다.","행정보급관도 의심하면서 계급 때문에 중대장에게 맞서지 못해 정상 보고선이 막혀 있다.","장칠수가 실사격 날 자신 또는 가해자를 쏠 가능성이 떠올라 동철은 오늘을 자기 D-day로 정한다.","동철은 기다리지 않고 즉시 사건을 만들 결심을 한다.","세계","폐쇄 소대 폭력이 무능한 중대장과 강요된 소원수리로 유지되는 조직 문제로 확장된다.","중대장은 또 실적용 일을 벌여 병사들의 부담을 늘린다.","D-9 의미 확인","가해 증거 만들기; 외부 군법 개입","실사격 전에 움직여라","high"
"72","72화","법보다 주먹(완전판)! 72화","보급병이 된 동철은 선임들의 호구 요구를 받으면서도 소대에 남아 증거 기회를 노린다.","군대식 오락 싸움을 역이용해 가해자에게 공개적으로 맞설 명분을 만든다.","계두철을 도발해 폭력 사건을 기록 가능한 형태로 끌어낸다.","침낭 글러브 싸움에 나서 장칠수의 걱정을 받으며 계두철과 맞붙을 준비를 한다.","고참 어드밴티지와 내무반 전체의 편파 심판 때문에 정면 승리는 보복만 키울 수 있다.","동철의 저항을 기다리던 계두철이 허리띠까지 머리에 묶고 체면 싸움으로 받아들인다.","장칠수가 처음 동철에게 괜찮냐고 말을 걸며 고립이 깨진다.","관계","동철과 장칠수 사이에 침묵을 넘는 신뢰가 처음 생긴다.","계두철과의 침낭 글러브 결투가 시작된다.","보급병 이동","계두철 도발; 집단 보복 증거","침낭 글러브 결투","high"
"73","73화","법보다 주먹(완전판)! 73화","계두철은 고참 특혜를 두르고 동철과 침낭 글러브 싸움을 벌인다.","공개 대결 뒤 더 큰 집단 폭행을 일부러 받아 외부 수사의 명분으로 바꾼다.","가해자들이 빠져나갈 수 없는 실제 폭행 증거를 만든다.","낮 싸움에서 맞서고 밤에는 나송우·계두철·송병철 등 최소 다섯 명의 야외 호출을 기다린다.","당직사관까지 잠들고 폐쇄 중대의 집단 보복은 목숨을 위협한다.","동철이 반격할 수 있는데도 계획상 5대1 사적 폭행을 받기로 했음이 드러난다.","가해자들이 스스로 한자리에 모여 외부 신고에 필요한 명확한 사건을 만든다.","지위","동철은 순응 신병에서 소대 가해 질서를 공개 도전한 표적이 된다.","이익태가 잠든 동철을 깨워 야외 화장실의 매복을 알려준다.","침낭 결투","집단 폭행 수집; 군검찰 신고","야외 화장실의 5대1","high"
"74","74화","법보다 주먹(완전판)! 74화","이익태가 알려준 야외 화장실에서 동철은 다섯 선임에게 집단 폭행당한다.","맞아 준 비용을 군법과 인맥으로 되돌리는 응징 직전의 긴장을 높인다.","헌병·군검찰을 불러 가해 체계를 한꺼번에 잡는다.","반격을 억누르고 폭행을 견딘 뒤 신고전화와 최무성 인맥으로 법무관 출동을 부탁한다.","몸의 상처와 지휘체계 위반 징계, 신고 누설 시 추가 보복을 감수한다.","장칠수가 처음 계두철에게 쓰레기라 맞서고 동철도 다시 팔목을 잡아 공개 저항한다.","군법 개입의 명분과 외부 연락이 완성되고 장칠수도 피해자 침묵을 깬다.","관계","이익태·장칠수는 동철의 잠재 증인이자 같은 편으로 이동한다.","계두철이 또 맞고 싶냐고 위협하는 순간 군용 지프가 다가온다.","집단 폭행 증거","헌병 도착; 장칠수 보호; 지휘계 징계","맞아 준 밤과 오는 법무관","high"
