sequence,visible_label,source_lines,note_status,score_status,ribbon_status,boundary_status,next_source_lines,before_note,after_note,retained_scores,retained_ribbon,source_readback,boundary_readback
198,198화,L35842~L36008,EDIT,PASS,PASS,PASS,L36009~L36165,"김태중이 최재석에게 부산 데이터센터와 인재 명단을 건네고, 김민재가 계열사 실적을 점검해 태우상사를 미래 원자재 유통축으로 키울 필요성을 확인한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 최재석에게 데이터센터·인재 명단을 지급하고 태우상사의 전환 필요성을 확인한다.","김태중이 최재석에게 부산 데이터센터와 인재 명단을 넘기는 지급 뒤, 김민재가 계열사 실적표를 차례로 훑는다. 낮은 실적의 태우상사를 미래 원자재 유통축으로 바꿔야 한다는 판단에서 멈춰 구체 품목과 실행은 다음 회차에 넘긴다.",T6/R5/H6,0.35/0.19/0.24/0.05/0.17,"김태중이 최재석에게 부산 데이터센터와 인재 명단을 건네고, 김민재가 계열사 실적을 점검해 태우상사를 미래 원자재 유통축으로 키울 필요성을 확인한다; 지급=최재석에게 데이터센터·인재 명단을 지급하고 태우상사의 전환 필요성을 확인한다; 마지막=실적이 낮은 태우상사를 어떤 원자재 임무로 되살릴 것인가?",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
199,199화,L36009~L36165,EDIT_MANAGER_REDTEAM_STAGE,PASS,PASS,PASS,L36166~L36346,"태우상사에 희토류·리튬·식각가스·불화수소의 국가별 매장량과 생산업체 조사를 지시하고, 최재석에게 양당 정쟁과 달리 경제만 말하는 선거 전략을 제시한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 미래 공급망 목록과 국민경제당의 전국 노출 기회를 얻는다.","희토류·리튬·식각가스·불화수소의 매장국·생산업체를 조사하고 광산 매입안을 짜라는 지시가 회차 대부분을 차지한다. 뒤에서는 이미 영입된 약 40명의 국민경제당 인물을 경제공약으로 띄우지만, 공급망 목록·광산 취득과 총선 득표는 아직 없어 보상은 담당·전략 확정에 둔다.",6/6/7,0.31/0.25/0.22/0.05/0.17,"태우상사에 희토류·리튬·식각가스·불화수소의 국가별 매장량과 생산업체 조사를 지시하고, 최재석에게 양당 정쟁과 달리 경제만 말하는 선거 전략을 제시한다. | 지급: 희토류·리튬·식각가스·불화수소의 매장국·생산업체 조사와 광산 매입계획 담당을 태우상사·태우화학에 확정하고, 국민경제당 정치인 약 40명 영입과 경제공약 선거전략을 확인한다. 공급망 목록·광산 소유권은 아직 미지급이다.",현재 화 L36009~L36165 안의 표면만 사용
202,202화,L36523~L36693,EDIT,PASS,PASS,PASS,L36694~L36882,"하프타임 노출 사고 직후 보이지 않는 아름다움 광고를 내보내고 페이팔 출신 채드 헐리·스티브 첸을 영상 서비스 팀으로 영입한다. 독자는 현장 실행에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 태우 광고의 슈퍼볼 송출과 채드·스티브 영입, 영상 공유 서비스의 발상을 얻는다.","하프타임 노출 사고 직후 ‘보이지 않는 아름다움’ 광고를 붙여 위기를 역이용하고, 페이팔 출신 채드 헐리와 스티브 첸을 영상서비스 팀으로 데려온다. 광고·영입의 경쾌한 지급 뒤 인도 총선과 미국 대선 보고로 화면이 넘어가 다음 정치 선택은 낮은 강도로 열어 둔다.",T5/R7/H6,0.20/0.30/0.18/0.14/0.18,"하프타임 노출 사고 직후 보이지 않는 아름다움 광고를 내보내고 페이팔 출신 채드 헐리·스티브 첸을 영상 서비스 팀으로 영입한다; 지급=태우 광고의 슈퍼볼 송출과 채드·스티브 영입, 영상 공유 서비스의 발상을 얻는다; 마지막=인도 총선·미국 대선·오바마 보고에서 확인된 결과가 다음 정치 선택에 어떤 영향을 줄 것인가?",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
212,212화,L38261~L38406,EDIT,PASS,PASS,PASS,L38407~L38579,"IIT 한국 캠퍼스의 한국인 20퍼센트·태우 공채 20퍼센트 확대·빅테크 연구소 유치를 설명해 최재석의 지지를 얻고, 태우자동차의 전기차 투자와 테슬라 경쟁 구도를 점검한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 최재석의 IIT 지지와 태우자동차의 전기차 방향을 확인한다.","IIT 한국 캠퍼스의 한국인 20퍼센트, 태우 공채 20퍼센트 확대와 빅테크 연구소 유치를 설명해 최재석의 지지를 얻는다. 곧이어 태우자동차의 전기차 투자를 점검하고 작은 테슬라까지 경쟁자로 세우면서 교육정책 회차를 산업 경주로 닫는다.",T5/R7/H7,0.27/0.19/0.25/0.10/0.19,"IIT 한국 캠퍼스의 한국인 20퍼센트·태우 공채 20퍼센트 확대·빅테크 연구소 유치를 설명해 최재석의 지지를 얻고, 태우자동차의 전기차 투자와 테슬라 경쟁 구도를 점검한다; 지급=최재석의 IIT 지지와 태우자동차의 전기차 방향을 확인한다; 마지막=작은 테슬라도 태우자동차와 전기차 선두 경쟁을 벌일 수 있는가?",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
232,232화,L41626~L41796,EDIT,PASS,PASS,PASS,L41797~L41960,"러시아 로만에게 1억3000만 달러로 수호이 세 대를 구하고 미국 정권에 비밀 반입 묵인을 요청한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 러시아 측의 1억3천만 달러 구매 추진선과 미국의 비밀 반입 확답, 공군 활주로 이전 협조 조건을 얻는다.",로만에게 1억3천만 달러로 수호이 세 대를 구하게 하고 미국 정권에는 비밀 반입 묵인을 요청하는 양쪽 통화가 교차한다. 미국의 확답과 공군 활주로 이전 협조 조건은 받아냈지만 러시아 계약은 데이비드의 현지 마무리를 기다린다.,T6/R8/H8,0.25/0.22/0.22/0.08/0.23,"러시아 로만에게 1억3000만 달러로 수호이 세 대를 구하고 미국 정권에 비밀 반입 묵인을 요청한다; 지급=러시아 측의 1억3천만 달러 구매 추진선과 미국의 비밀 반입 확답, 공군 활주로 이전 협조 조건을 얻는다; 마지막=미국의 비밀 반입 확답을 받은 데이비드가 러시아에서 세 전투기 계약을 실제로 마칠 수 있는가?",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
257,257,L45727~L45913,EDIT,PASS,PASS,PASS,L45914~L46075,중소기업 간담회에서 보험료를 대신 내고 보험금 60%를 받기로 한 뒤 신화은행 정태섭 부행장에게 3년·환율 60% 상승·원금 10배 보상·월 3% 보험료 조건을 강요한다. 독자는 현장 실행에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 신화은행이 중소기업의 위험을 떠안을 KIKO 보험 출시를 약속하고 한 팀장은 태우증권 사장감 업적의 씨앗을 만든다.,"중소기업 보험료를 대신 내는 대가로 보험금 60퍼센트를 받는 구조를 깔고, 정태섭에게 3년·환율 60퍼센트 상승·원금 열 배 보상·월 3퍼센트라는 KIKO 조건을 몰아붙인다. 출시 약속 뒤 한 팀장이 자신을 벌레 보듯 한 부행장을 기억하는 마지막 감정이 금융 설계에 사적인 응징 맛을 붙인다.",T7/R7/H6,0.23/0.27/0.27/0.10/0.13,중소기업 간담회에서 보험료를 대신 내고 보험금 60%를 받기로 한 뒤 신화은행 정태섭 부행장에게 3년·환율 60% 상승·원금 10배 보상·월 3% 보험료 조건을 강요한다; 지급=신화은행이 중소기업의 위험을 떠안을 KIKO 보험 출시를 약속하고 한 팀장은 태우증권 사장감 업적의 씨앗을 만든다; 마지막=한 팀장은 자신을 벌레 보듯 한 정태섭의 높은 콧대를 기억하며 응징을 예고한다,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
263,263,L46767~L46931,EDIT,PASS,PASS,PASS,L46932~L47106,"스티브 잡스에게 UFO형 애플 신사옥을 태우건설이 맡겠다고 하고 태우·카이 전기차에 애플 UI·OS·디자인·구독 서비스를 결합하는 애플카 구두합의를 만든 뒤 아마존 자동화 시설을 보러 간다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 애플 파크 건설 요청안과 애플카 소프트웨어·디자인 협력 구두합의, 애플 최고 디자이너 투입 약속을 얻는다. 애플 파크 정식 수주 계약은 아직 전이다.","스티브에게 UFO형 애플 신사옥과 태우·카이 전기차의 UI·OS·디자인·구독 결합을 제시해 애플카 구두합의를 만든다. 정식 사옥 수주는 남긴 채 아마존 자동화 시설로 이동하고, 제프리가 완성을 선언하는 마지막 화면이 다음 산업 현장을 선명하게 바꾼다.",T4/R7/H6,0.25/0.19/0.29/0.08/0.19,"스티브 잡스에게 UFO형 애플 신사옥을 태우건설이 맡겠다고 하고 태우·카이 전기차에 애플 UI·OS·디자인·구독 서비스를 결합하는 애플카 구두합의를 만든 뒤 아마존 자동화 시설을 보러 간다; 지급=애플 파크 건설 요청안과 애플카 소프트웨어·디자인 협력 구두합의, 애플 최고 디자이너 투입 약속을 얻는다. 애플 파크 정식 수주 계약은 아직 전이다; 마지막=제프리 베조스가 산업 혁신을 일으킬 아마존 자동화 설비를 완성했다고 선언한다",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
280,280,L49611~L49802,EDIT,PASS,PASS,PASS,L49803~L49976,"금융허브 비전을 발표한 뒤 퀀텀·CITI·버크셔 대표를 차례로 공개하고 버핏이 한국 지점 개설과 태우증권·자동차·IT·철강·부품 투자를 직접 선언하게 한다. 독자는 현장 실행에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 금융허브에 대한 공개 신뢰와 여야 지지, 대통령실장의 조속한 한전 부지 허가 약속을 얻는다. 실제 개발 허가는 아직 발급 전이다.","금융허브 발표 무대에서 퀀텀·CITI·버크셔 대표를 차례로 공개하고 버핏이 한국 지점과 태우 계열 투자까지 직접 선언한다. 여야 지지와 한전 부지의 조속한 허가 약속은 받았지만, 대통령실장이 공을 청와대와 나누라고 요구해 개발허가 전 정치 대가를 남긴다.",T7/R9/H7,0.18/0.26/0.22/0.16/0.18,"금융허브 비전을 발표한 뒤 퀀텀·CITI·버크셔 대표를 차례로 공개하고 버핏이 한국 지점 개설과 태우증권·자동차·IT·철강·부품 투자를 직접 선언하게 한다; 지급=금융허브에 대한 공개 신뢰와 여야 지지, 대통령실장의 조속한 한전 부지 허가 약속을 얻는다. 실제 개발 허가는 아직 발급 전이다; 마지막=대통령실장은 한전 부지 허가를 약속하면서도 태우가 만든 무대의 공을 청와대와 나누라고 요구한다",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
286,286,L50615~L50766,EDIT,PASS,PASS,PASS,L50767~L50931,"최재석과 비밀 회동해 여야 거래용 탄소감축 법안을 설계하고 국민경제당 청년정치인 SNS 육성을 약속하며 천민정의 AOS 게임 ‘리그 오브 챔피언스’ 한·미 베타를 승인한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다.","500억 달러 통화스와프 성과를 짚은 뒤 최재석과 탄소감축 법안의 여야 거래선, 청년 정치인의 SNS 육성을 맞춘다. 천민정의 ‘리그 오브 챔피언스’ 한·미 베타 승인으로 끝나며 정책 협상에서 게임 실행으로 속도를 가볍게 전환한다.",T5/R8/H6,0.27/0.21/0.24/0.08/0.20,"최재석과 비밀 회동해 여야 거래용 탄소감축 법안을 설계하고 국민경제당 청년정치인 SNS 육성을 약속하며 천민정의 AOS 게임 ‘리그 오브 챔피언스’ 한·미 베타를 승인한다; 지급=실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다; 마지막=천민정이 리그 오브 챔피언스의 한국어 보완과 한·미 베타테스트를 곧바로 시작한다",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
294,294,L51968~L52141,EDIT,PASS,PASS,PASS,L52142~L52302,SNS 확산을 제한하다가 줄리아니 생방송 중 태우·핀테크·버크셔 해서웨이 연합을 발표하고 정부·UAW와 지분 구조를 협상한다. 독자는 현장 실행에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 태우·핀테크·버크셔와 채권자·UAW를 묶은 67퍼센트 지분 구조 및 정부 지원안을 합의한다. 실제 인수 계약 서명과 소유권 이전은 다음 날 전이다.,줄리아니 생방송에서 태우·핀테크·버크셔 연합을 공개하고 정부·UAW·채권자의 67퍼센트 지분 구조를 실시간 협상으로 묶는다. 여론 확산과 합의가 동시에 달리지만 실제 GM 인수 서명은 다음 날 전이라 다이먼의 400억~500억 달러 계약 준비가 끝을 맡는다.,T8/R8/H7,0.20/0.31/0.25/0.10/0.14,SNS 확산을 제한하다가 줄리아니 생방송 중 태우·핀테크·버크셔 해서웨이 연합을 발표하고 정부·UAW와 지분 구조를 협상한다; 지급=태우·핀테크·버크셔와 채권자·UAW를 묶은 67퍼센트 지분 구조 및 정부 지원안을 합의한다. 실제 인수 계약 서명과 소유권 이전은 다음 날 전이다; 마지막=다이먼이 적자 브랜드를 잘라 GM 75%를 400억~500억 달러에 사는 계약을 준비한다,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
308,308,L54289~L54453,EDIT,PASS,PASS,PASS,L54454~L54614,암호학자·교수진을 불러 김장우와 협업시키고 최재석 도지사에게 충전소를 넘어 도시 전체의 정책 실험을 요청한다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: AI 바이오 전담팀과 경기도 충전기 확대 지원 약속을 얻는다. 경기도 전체 시범도시 지정은 아직 수락 전이다.,"암호학자와 교수진을 김장우의 AI 바이오 팀에 붙이는 연구진 구성 뒤, 최재석에게 충전소 지원을 넘어 경기도 전체를 정책 실험장으로 달라고 요구한다. 전담팀과 충전기 확대 약속은 얻었으나 시범도시 수락은 최남호의 답 앞에서 멈춘다.",T5/R6/H7,0.28/0.20/0.29/0.08/0.15,암호학자·교수진을 불러 김장우와 협업시키고 최재석 도지사에게 충전소를 넘어 도시 전체의 정책 실험을 요청한다; 지급=AI 바이오 전담팀과 경기도 충전기 확대 지원 약속을 얻는다. 경기도 전체 시범도시 지정은 아직 수락 전이다; 마지막=최남호가 경기도 전체를 전기차 시범도시로 만들자는 김민재의 제안을 받아들일 것인가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
340,340화,L59657~L59811,EDIT,PASS,PASS,PASS,L59812~L59973,"핀테크 거래기록과 좀비폰으로 필리핀 조직의 보스·조직원·사무실을 특정하고, 위장 취업 경로와 다음 날 출국할 직원·경호인력 50명을 준비한다. 독자는 현장 실행에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 필리핀 조직의 자금흐름·전화·사무실 위치와 위장 잠입 경로를 확보한다. 실제 잠입과 결정적 증거는 아직 전이다.","핀테크 거래기록과 좀비폰을 맞춰 필리핀 조직의 보스·전화·사무실을 특정하고 위장 취업 경로까지 좁힌다. 다음 날 출국할 직원과 경호인력 50명을 준비하는 행동이 길지만, 잠입과 결정적 증거는 보궐선거 시한 밖에 남겨 둔다.",T8/R7/H8,0.19/0.39/0.22/0.11/0.09,"핀테크 거래기록과 좀비폰으로 필리핀 조직의 보스·조직원·사무실을 특정하고, 위장 취업 경로와 다음 날 출국할 직원·경호인력 50명을 준비한다; 지급=필리핀 조직의 자금흐름·전화·사무실 위치와 위장 잠입 경로를 확보한다. 실제 잠입과 결정적 증거는 아직 전이다; 마지막=다음 날 필리핀으로 향하는 직원과 경호팀이 보궐선거 전에 결정적 증거를 확보할 수 있는가?",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
343,343,L60148~L60318,EDIT,PASS,PASS,PASS,L60319~L60493,"김민재가 인슐린·mRNA 투자를 제안하고 한정훈·데이비드가 로보 지분 약 30%를 모은다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 로보 노디스크 지분 약 30퍼센트와 다음 날 이사회 협상 자리를 확보하고, 인슐린·mRNA·비만치료제 연구정보를 요구할 위치에 선다. 생산·공동연구 권리는 아직 협상 전이다.",한정훈과 데이비드가 로보 노디스크 지분 약 30퍼센트를 모으는 과정에 인슐린·mRNA·비만치료제 연구정보 요구가 얹힌다. 이사회 자리를 확보한 보상은 크지만 생산권과 공동연구는 다음 날 협상 전이어서 지분 숫자가 곧 성과 전체가 되지는 않는다.,T5/R7/H7,0.35/0.17/0.20/0.08/0.20,"김민재가 인슐린·mRNA 투자를 제안하고 한정훈·데이비드가 로보 지분 약 30%를 모은다; 지급=로보 노디스크 지분 약 30퍼센트와 다음 날 이사회 협상 자리를 확보하고, 인슐린·mRNA·비만치료제 연구정보를 요구할 위치에 선다. 생산·공동연구 권리는 아직 협상 전이다; 마지막=로보 재단 이사회 협상이 남는다",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
347,347,L60801~L60982,EDIT,PASS,PASS,PASS,L60983~L61166,"조지 부시에게 텍사스 경제·안보 논리를 30분 동안 설명해 관심을 끌지만, 토지 소유주 설득을 직접 부탁하거나 지원 확답을 받지는 않는다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 조지 부시의 30분 통화와 관심을 얻는다. 텍사스 토지 소유주 설득 약속·실행은 아직 전이다.","조지 부시에게 텍사스의 경제·안보 논리를 30분 동안 설명하는 통화가 거의 전부를 차지한다. 관심은 끌었어도 토지 소유주 설득을 부탁하거나 확답받은 장면은 없으므로, 마지막은 전직 대통령의 실제 행동을 기다리는 낮은 속도의 관계 훅이다.",T5/R7/H7,0.27/0.21/0.30/0.08/0.14,"조지 부시에게 텍사스 경제·안보 논리를 30분 동안 설명해 관심을 끌지만, 토지 소유주 설득을 직접 부탁하거나 지원 확답을 받지는 않는다; 지급=조지 부시의 30분 통화와 관심을 얻는다. 텍사스 토지 소유주 설득 약속·실행은 아직 전이다; 마지막=조지 부시가 김민재의 논리를 받아 실제로 텍사스 토지 소유주 설득에 나설 것인가?",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
350,350,L61355~L61505,EDIT,PASS,PASS,PASS,L61506~L61665,"와고너 목장을 시추 부지로 확보하고 베릴의 재투자·운영 참여를 정한 뒤 체서피크 협업과 우선인수 조항, 장비 확보 방안을 설계한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 와고너 시추 부지와 베릴의 재투자·운영 참여를 확보한다. 체서피크 협업·우선인수 조항과 장비 계약은 아직 협상 전이다.","와고너 목장을 시추 부지로 확보하고 베릴의 재투자·운영 참여를 정해 사람과 땅을 먼저 고정한다. 체서피크 협업·우선인수 조항과 장비 조달은 설계만 펼쳐 놓아, 실물 지급 뒤 계약 과제가 연이어 남는 리듬이다.",T5/R7/H7,0.30/0.20/0.25/0.08/0.17,"와고너 목장을 시추 부지로 확보하고 베릴의 재투자·운영 참여를 정한 뒤 체서피크 협업과 우선인수 조항, 장비 확보 방안을 설계한다; 지급=와고너 시추 부지와 베릴의 재투자·운영 참여를 확보한다. 체서피크 협업·우선인수 조항과 장비 계약은 아직 협상 전이다; 마지막=체서피크 협업과 우선인수 조항을 실제 계약으로 묶고 필요한 시추 장비까지 확보할 수 있는가?",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
354,354,L62005~L62159,EDIT,PASS,PASS,PASS,L62160~L62331,최재석을 채찍질하고 센트리언 인슐린 완성·로보 연구진의 AI 협업 요청을 승인한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 국민경제당의 첫 야당 지위와 센트리언 인슐린 개발 완료를 얻는다. 덴마크 비만치료제 공동연구·지분은 아직 협상 전이다.,최재석을 몰아붙인 끝에 국민경제당이 첫 야당 지위를 얻었다는 정치 지급과 센트리언 인슐린 개발 완료가 나란히 놓인다. 로보 연구진의 AI 협업 요청을 승인하고 서정준에게 덴마크 협상을 넘기는 끝은 비만치료제 공동연구를 아직 실행 전으로 남긴다.,T5/R8/H6,0.28/0.18/0.25/0.11/0.18,최재석을 채찍질하고 센트리언 인슐린 완성·로보 연구진의 AI 협업 요청을 승인한다; 지급=국민경제당의 첫 야당 지위와 센트리언 인슐린 개발 완료를 얻는다. 덴마크 비만치료제 공동연구·지분은 아직 협상 전이다; 마지막=서정준이 덴마크 협상을 맡는다,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
376,376,L65820~L65985,EDIT,PASS,PASS,PASS,L65986~L66170,축구 자선행사에 100억 원을 써 로만을 부르고 태우 철수 방지 대신 몽골 자원의 러시아 경유를 요구한다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 러시아 경유 운송로와 다국적 컨소시엄안을 로만에게 받아들이게 하고 크렘린 허가를 받아오겠다는 약속을 얻는다. 실제 정부 허가·운송로 확보는 아직 전이다.,"축구 자선행사에 100억 원을 써 로만을 불러낸 뒤 태우 철수 방지와 몽골 자원의 러시아 경유를 맞바꾼다. 로만이 다국적 컨소시엄안을 받아 크렘린 허가를 구하겠다고 약속하는 관계 장면이 길고, 중국 구매자가 없다는 실물 구멍이 마지막에 남는다.",T6/R7/H7,0.22/0.23/0.36/0.11/0.08,축구 자선행사에 100억 원을 써 로만을 부르고 태우 철수 방지 대신 몽골 자원의 러시아 경유를 요구한다; 지급=러시아 경유 운송로와 다국적 컨소시엄안을 로만에게 받아들이게 하고 크렘린 허가를 받아오겠다는 약속을 얻는다. 실제 정부 허가·운송로 확보는 아직 전이다; 마지막=중국의 장기 자원 구매 계약이 필요하다,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
377,377,L65986~L66170,EDIT,PASS,PASS,PASS,L66171~L66350,"리강에게 몽골 자원 운송로와 최소 20년 장기계약을 제안하고 러시아 협의 사실을 알린 뒤, 리강이 주석 보고와 계약 성사를 위해 노력하겠다는 답을 받아낸다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 차기 중국 권력자와 운송사업·20년 계약의 협상선을 열고 주석 보고 약속을 얻는다. 실제 장기계약과 자원 판로는 아직 전이다.","리강에게 러시아 경유안과 최소 20년 몽골 자원 구매계약을 함께 제시해 중국 권력선의 반응을 살핀다. 주석 보고와 성사 노력 약속까지만 받은 뒤 사우디 증산·왕위승계 확인으로 시선을 돌려, 판로 계약은 일부러 미지급 상태로 둔다.",T5/R8/H6,0.26/0.21/0.32/0.08/0.13,"리강에게 몽골 자원 운송로와 최소 20년 장기계약을 제안하고 러시아 협의 사실을 알린 뒤, 리강이 주석 보고와 계약 성사를 위해 노력하겠다는 답을 받아낸다; 지급=차기 중국 권력자와 운송사업·20년 계약의 협상선을 열고 주석 보고 약속을 얻는다. 실제 장기계약과 자원 판로는 아직 전이다; 마지막=사우디 증산 시점과 왕위승계를 확인하러 간다",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
394,394,L68991~L69182,EDIT,PASS,PASS,PASS,L69183~L69348,"주식 반환을 거절하고 1억 달러 프리미엄을 요구한 뒤 버크셔가 판 지분을 워런과 협상한다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 금융타워 배신자에게 1억 달러 프리미엄 규율을 적용하고, 버크셔와 헤스 지분 임대·공개매수 동맹 협상을 연다. 워런의 참여 확답은 아직 전이다.","레일·마크 펀드가 요구한 헤스 주식 반환을 거절하고 1억 달러 프리미엄을 매긴 뒤, 버크셔의 매수 이유를 확인하는 데 회차가 오래 머문다. 워런에게는 헤스 지분 3년 임대와 정체를 밝히지 않은 시장 이벤트만 제안하므로 작전명과 참여 확답은 다음 화 몫이다.",T7/R7/H8,0.20/0.26/0.35/0.10/0.09,"금융타워의 레일·마크 펀드에 1억 달러 프리미엄을 요구해 내보낸 뒤, 버크셔가 헤스 지분 7퍼센트 이상을 모은 이유를 확인하고 워런에게 3년 임대를 제안한다; 지급=배신 펀드 두 곳에 1억 달러 프리미엄 규율을 적용하고, 워런에게 헤스 지분 3년 임대와 정체를 밝히지 않은 시장 이벤트를 제안한다. 지분 임대와 참여 확답은 아직 전이다; 마지막=워런은 헤스 지분을 3년 빌려 달라는 제안과 정체가 공개되지 않은 시장 이벤트에 참여할 것인가?",현재 화는 헤스 지분 3년 임대와 정체를 밝히지 않은 시장 이벤트; 공개매수는 다음 화 최초 명시
397,397,L69538~L69724,EDIT,PASS,PASS,PASS,L69725~L69890,"박만득 은퇴·인수인계를 지시하고 카노스에게 동료 펀드 배신과 자산 흡수를 제안한다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 박만덕의 동남아 퇴직 후 자리와 한정훈의 부회장 인수인계·교육 경로, 카노스의 전향 약속을 얻는다. 박만덕 은퇴와 한정훈 취임은 아직 전이다.","박만덕의 동남아 퇴직 자리와 한정훈의 인수인계·교육 경로를 정하는 승계 대화가 한 축이다. 다른 축에서는 카노스에게 동료 헤지펀드를 배신하고 자산을 흡수하라고 제안해 전향 약속을 받되, 실제 은퇴·취임과 2주 작전은 아직 앞에 둔다.",T8/R8/H7,0.19/0.27/0.37/0.10/0.07,"박만득 은퇴·인수인계를 지시하고 카노스에게 동료 펀드 배신과 자산 흡수를 제안한다; 지급=박만덕의 동남아 퇴직 후 자리와 한정훈의 부회장 인수인계·교육 경로, 카노스의 전향 약속을 얻는다. 박만덕 은퇴와 한정훈 취임은 아직 전이다; 마지막=카노스가 2주 안에 동료 펀드를 찢는다",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
