ordinal,arc_id,end_sequence,source_lines,result,paid_reward_before,paid_reward_after,ending_hook_before,ending_hook_after,closed_loops_after,opened_loops_after,pacing_result,evidence_note,batch_status
"028","DCA-N20B","202","L36523~L36693","KEEP","태우 광고의 슈퍼볼 송출과 채드·스티브 영입, 영상 공유 서비스의 발상을 얻는다.","태우 광고의 슈퍼볼 송출과 채드·스티브 영입, 영상 공유 서비스의 발상을 얻는다.","인도 총선·미국 대선·오바마 보고에서 확인된 결과가 다음 정치 선택에 어떤 영향을 줄 것인가?","인도 총선·미국 대선·오바마 보고에서 확인된 결과가 다음 정치 선택에 어떤 영향을 줄 것인가?","슈퍼볼 광고 선점","영상 플랫폼 출시; 인도 총선·미국 대선 후속","KEEP_T5_R7_H6_RIBBON_NOTE","L36523~L36693: 하프타임 사고 뒤 태우 광고가 송출되고 채드 헐리·스티브 첸이 영상서비스 팀으로 붙는다. 마지막 인도 총선·미국 대선 보고는 다음 정치 선택만 연다.","ENDPOINT_AUDIT_44_OF_131"
"029","DCA-N20C","206","L37236~L37418","KEEP","리사 수 영입·취임과 천민정과의 장기 협업축을 확정한다","리사 수 영입·취임과 천민정과의 장기 협업축을 확정한다","국민경제당이 세계 IT 거물들을 불러 총선 공개행사를 연다","국민경제당이 세계 IT 거물들을 불러 총선 공개행사를 연다","리사 수 영입","태우전자 조직개혁·국민경제당 총선","KEEP_T5_R9_H7_RIBBON_NOTE","L37236~L37418: 천민정과 밤샘 토론한 리사 수가 실제 취임하고 장기 협업축이 정해진다. 마지막 국민경제당 공개행사는 다음 정치 실행의 진입 프레임이다.","ENDPOINT_AUDIT_44_OF_131"
"030","DCA-N20D","209","L37766~L37935","KEEP","국민경제당의 독자 교섭력과 논문 중심의 대규모 AI 학습 진전을 얻는다","국민경제당의 독자 교섭력과 논문 중심의 대규모 AI 학습 진전을 얻는다","리사 수와 천민정 두 천재의 매일 회의가 어떤 돈 되는 아이디어를 더 만들어낼 것인가?","리사 수와 천민정 두 천재의 매일 회의가 어떤 돈 되는 아이디어를 더 만들어낼 것인가?","17대 총선 38석","리사 수·천민정 협업; 번역 AI; 최재석 독립노선","KEEP_T6_R9_H6_RIBBON_NOTE","L37766~L37935: 국민경제당 38석과 캐스팅보트 지위, AI 학습 논문 2만 편이 확인된다. 마지막은 리사 수·천민정의 매일 회의가 낼 새 아이디어라 다음 성과는 미지급이다.","ENDPOINT_AUDIT_44_OF_131"
"031","DCA-N20E","211","L38100~L38260","KEEP","서브프라임 붕괴를 수익·은행 인수로 연결할 계약 원칙을 확정한다","서브프라임 붕괴를 수익·은행 인수로 연결할 계약 원칙을 확정한다","최재석이 IIT 한국 캠퍼스의 국내 반발을 받아들일지 설득해야 한다","최재석이 IIT 한국 캠퍼스의 국내 반발을 받아들일지 설득해야 한다","서브프라임 조사","하락 보험 누적·IIT 정치합의","KEEP_T6_R5_H6_RIBBON_NOTE","L38100~L38260: 서브프라임 조사 뒤 하락보험과 은행 인수의 계약원칙을 세운다. IIT 한국 캠퍼스는 최재석을 설득해야 하는 정치합의 전 단계로 남는다.","ENDPOINT_AUDIT_44_OF_131"
"032","DCA-N20F","215","L38750~L38905","KEEP","씽크윈 기술·데이터 독점 사용권과 무료 배포할 모바일 내비 개발 방침을 확보한다","씽크윈 기술·데이터 독점 사용권과 무료 배포할 모바일 내비 개발 방침을 확보한다","김태중이 태우 위상에 맞는 강남 신사옥을 갖고 싶다는 새 약속을 꺼낸다","김태중이 태우 위상에 맞는 강남 신사옥을 갖고 싶다는 새 약속을 꺼낸다","씽크윈 인수협상","태우맵 개발·신사옥 부지","KEEP_T4_R7_H7_RIBBON_NOTE","L38750~L38905: 씽크윈 기술·데이터 독점 사용권과 태우·카이 우선공급 조건이 교환되고 한 달 내 무료 내비 개발을 지시한다. 마지막은 김태중의 강남 신사옥 욕심이다.","ENDPOINT_AUDIT_44_OF_131"
"033","DCA-N21","221","L39738~L39888","KEEP","한전 이전의 여야 합의와 실제 작동하는 무료 태우맵·첫 대중 이용자를 얻는다","한전 이전의 여야 합의와 실제 작동하는 무료 태우맵·첫 대중 이용자를 얻는다","콜 업체와 택시노조를 장악한 서울 지부장의 카르텔을 어떻게 약화시킬 것인가?","콜 업체와 택시노조를 장악한 서울 지부장의 카르텔을 어떻게 약화시킬 것인가?","한전 이전 정치합의·태우맵 개발","한전 부지 매각·택시 데이터","KEEP_T6_R7_H8_RIBBON_NOTE","L39738~L39888: 한전 이전의 여야 합의와 작동하는 무료 태우맵·보름 이용자 증가가 확인된다. 마지막은 택시 데이터 계약이 동시에 끊기며 서울 지부장 카르텔이 드러나는 장면이다.","ENDPOINT_AUDIT_44_OF_131"
"034","DCA-N22","226","L40562~L40732","KEEP","호출비 없는 플랫폼 우위·IIT 한국 캠퍼스 공식 허가·한전 이전 여야 합의를 얻는다","호출비 없는 플랫폼 우위·IIT 한국 캠퍼스 공식 허가·한전 이전 여야 합의를 얻는다","IIT 판교 건설과 두 신사옥 부지 공개입찰이 실물 단계로 이어진다","IIT 판교 건설과 두 신사옥 부지 공개입찰이 실물 단계로 이어진다","차봉훈 카르텔·IIT 허가","한전 부지 매입·IIT 기공","KEEP_T9_R10_H6_RIBBON_NOTE","L40562~L40732: 차봉훈 제압·배후 구속·택시 80% 편입, 호출비 없는 플랫폼과 IIT 공식허가가 현재 지급이다. IIT 판교 건설·신사옥 부지 공개입찰은 다음 실물단계다.","ENDPOINT_AUDIT_44_OF_131"
"035","DCA-N23","234","L41961~L42135","KEEP","Su-47 군사자산과 활주로 이전·두 부지 초고층에 반대하지 않겠다는 공군 약속을 확보한다","Su-47 군사자산과 활주로 이전·두 부지 초고층에 반대하지 않겠다는 공군 약속을 확보한다","서울시와 정부가 실제로 어느 부지에 건축 허가를 내줄지는 남는다","서울시와 정부가 실제로 어느 부지에 건축 허가를 내줄지는 남는다","수호이 반입","서울시 초고층 허가","KEEP_T6_R9_H7_RIBBON_NOTE","L41961~L42135: 실사용 Su-47과 공군의 활주로 이전·두 부지 초고층 비반대 약속이 확인된다. 서울시·정부 건축허가는 아직 받지 못해 마지막 질문으로 남는다.","ENDPOINT_AUDIT_44_OF_131"
"036","DCA-N24","237","L42484~L42648","KEEP","반도체 초격차 투자·AI 업무 활용·몽골 자원 계획을 그룹 공통 과제로 확정한다","반도체 초격차 투자·AI 업무 활용·몽골 자원 계획을 그룹 공통 과제로 확정한다","반도체 5배 증설과 세계 최고 목표에 불만인 사장들이 실제 성과가 나오면 따라올 것인가?","반도체 5배 증설과 세계 최고 목표에 불만인 사장들이 실제 성과가 나오면 따라올 것인가?","신사옥 허가·사장단 인계","반도체 증설; 몽골 자원; 사장단 설득","KEEP_T5_R6_H7_RIBBON_NOTE","L42484~L42648: 반도체 5배 증설·AI 업무활용·몽골 자원조사를 사장단 공통과제로 정한다. 증설·자원 취득의 실제 성과와 사장단 수용은 아직 남는다.","ENDPOINT_AUDIT_44_OF_131"
"037","DCA-N24B","242","L43291~L43450","KEEP","톱10 가수·오디션 국민흥행과 스페이스X의 장기 충성을 얻는다","톱10 가수·오디션 국민흥행과 스페이스X의 장기 충성을 얻는다","팰컨1 실패 뒤 다시 성공을 맹세한 머스크가 장기 지원을 실제 발사 성공으로 갚을 수 있는가?","팰컨1 실패 뒤 다시 성공을 맹세한 머스크가 장기 지원을 실제 발사 성공으로 갚을 수 있는가?","오디션 시즌1·톱10 계약","스페이스X 재발사; 음반 톱10 프로젝트","KEEP_T7_R10_H8_RIBBON_NOTE","L43291~L43450: 오디션 결승 21%·톱10 가수와 음반 프로젝트·국내 100만/세계 3천만 규모가 확인되고 머스크의 장기 충성이 이어진다. 팰컨1 재발사 성공은 아직 약속이다.","ENDPOINT_AUDIT_44_OF_131"
"038","DCA-N24C","246","L43944~L44097","KEEP","태우 가수 네 명과 SG 소속 가수 전원 양도 약속, 태우 불개입 의사, 로펌·감옥 내 보호를 이용한 희망고문 설계를 얻는다. 실제 계약이전·형량·복역은 미지급이다.","태우 가수 네 명과 SG 소속 가수 전원 양도 약속, 태우 불개입 의사, 로펌·감옥 내 보호를 이용한 희망고문 설계를 얻는다. 실제 계약이전·형량·복역은 미지급이다.","전원 양도 약속을 실제 계약이전으로 만들고, 희망고문 설계가 판결 전 강수기의 반격을 막을 수 있는가?","전원 양도 약속을 실제 계약이전으로 만들고, 희망고문 설계가 판결 전 강수기의 반격을 막을 수 있는가?","양지파 역공; 강수기의 SG 전원 양도·태우 불개입 약속; 희망고문 설계","가수 계약이전 실행; 강수기 수사·판결·복역; 장기 심리통제 결과","KEEP_T8_R6_H5_RIBBON_NOTE","L43944~L44097: 강수기는 태우 네 가수와 SG 전원 양도·태우 불개입을 약속하고 김민재는 로펌·감옥 보호를 이용한 희망고문을 설계한다. 실제 계약이전·판결·10년 복역은 없다.","ENDPOINT_AUDIT_44_OF_131"
"039","DCA-N25","247","L44098~L44251","KEEP","서브프라임 대응상태·전기차 준비를 확인하고 AOS 원천팀과 지분 계약을 얻는다","서브프라임 대응상태·전기차 준비를 확인하고 AOS 원천팀과 지분 계약을 얻는다","40·20·40 지분 계약을 맺은 다섯 개발자가 AOS를 독립 장르의 게임으로 완성할 수 있는가?","40·20·40 지분 계약을 맺은 다섯 개발자가 AOS를 독립 장르의 게임으로 완성할 수 있는가?","AOS 팀 탐색","AOS 개발; 서브프라임·테슬라 후속","KEEP_T5_R7_H7_RIBBON_NOTE","L44098~L44251: 부산의 다섯 개발자에게 1천만 달러와 40·20·40 지분조건을 제시해 실제 계약한다. AOS 게임 완성과 서브프라임·테슬라 후속은 이후 과제다.","ENDPOINT_AUDIT_44_OF_131"
"040","DCA-N25B","252","L44904~L45072","KEEP","최재석과 국민경제당이 경기 주요 시장 10곳 이상까지 얻고 세 전기차가 기자·관람객의 환호를 끌어낸다.","최재석과 국민경제당이 경기 주요 시장 10곳 이상까지 얻고 세 전기차가 기자·관람객의 환호를 끌어낸다.","김민재가 이날을 자동차 시장 급변의 특이점으로 기억하라고 데이비드에게 말한다.","김민재가 이날을 자동차 시장 급변의 특이점으로 기억하라고 데이비드에게 말한다.","경기지사 당선과 LA 모터쇼 출품 루프","전기차 상용화 경쟁과 세계 경제위기 대비 루프","KEEP_T6_R8_H6_RIBBON_NOTE","L44904~L45072: 최재석·국민경제당의 경기 주요시장 10곳 이상 승리와 테슬라·태우·카이 전기차의 LA 공개·환호가 현재 지급이다. 마지막은 이날을 자동차시장 특이점으로 기억하라는 선언이다.","ENDPOINT_AUDIT_44_OF_131"
"041","DCA-N25C","269","L47760~L47922","EDIT","김민재는 국민적 지위와 할아버지의 자랑·승인을 얻고 태우는 금융 1위 도약 다음으로 자동차 세계 1위를 노린다.","AIZ·SAVE·태우증권 인수합병 완료와 SAVE 실소유주 공개 뒤 국민적 환대와 김태중의 수용을 얻는다. 김태중은 태우·SAVE 현금을 쓰지 않고 부채를 온전히 떠안지 않는 조건으로 GM 또는 포드 인수 검토를 허락한다.","김태중도 눈을 빛내며 GM과 포드 중 어느 회사를 삼킬지 묻는다.","김태중도 눈을 빛내며 GM과 포드 중 어느 회사를 삼킬지 묻는다.","AIZ·SAVE·태우증권 인수합병 완료; SAVE 실소유주 공개·국민 환대·김태중 수용; 장기 미국 체류 종료","보험증서·미국지원으로 GM/포드 무현금 인수조건 마련; 대상 자동차사 선택","EDIT_NOTE;KEEP_T5_R8_H7_RIBBON","L47760~L47922: AIZ·SAVE·태우증권 합병 완료, 공항 환대와 SAVE 실소유주 공개가 확인되고 김태중은 현금·부채 제한조건 아래 GM·포드 검토를 허락한다. 자동차 인수 자체는 미지급이다.","ENDPOINT_AUDIT_44_OF_131"
"042","DCA-N27","275","L48810~L48978","KEEP","태우는 정권의 미운털에서 대통령 직통 파트너로 바뀌고 규제에 묶인 한전 부지를 국제 금융 중심지로 개발할 길을 얻는다.","태우는 정권의 미운털에서 대통령 직통 파트너로 바뀌고 규제에 묶인 한전 부지를 국제 금융 중심지로 개발할 길을 얻는다.","미국 출장에서 월가 대형 금융사 10곳의 한국 이전 계약을 가져와야 한다.","미국 출장에서 월가 대형 금융사 10곳의 한국 이전 계약을 가져와야 한다.","산업은행 리먼 인수 판단 루프","한전 부지 금융허브 계약·규제 완화·미국 금융사 유치 루프","KEEP_T8_R8_H8_RIBBON_NOTE","L48810~L48978: 대통령에게 제2 IMF를 경고해 산업은행 리먼 인수를 제동하고 한전부지 금융허브 허가거래를 얻는다. 월가 대형 금융사 10곳의 한국 이전 계약은 다음 미국 출장 과제다.","ENDPOINT_AUDIT_44_OF_131"
"043","DCA-N27B","286","L50615~L50766","KEEP","실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다.","실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다.","천민정이 리그 오브 챔피언스의 한국어 보완과 한·미 베타테스트를 곧바로 시작한다.","천민정이 리그 오브 챔피언스의 한국어 보완과 한·미 베타테스트를 곧바로 시작한다.","500억 달러 통화스와프 실행; 미래산업·탄소감축 법안의 여야 추진 경로; 한·미 게임 베타 승인","미래산업·탄소감축 법안 실제 통과; 리그 오브 챔피언스 베타·출시; 미국 자동차사 인수","KEEP_T5_R8_H6_RIBBON_NOTE","L50615~L50766: 500억 달러 통화스와프는 실행되고 미래산업·탄소감축 법안의 여야 추진선과 한·미 게임 베타가 승인된다. 법안 통과·게임 출시와 흥행은 아직 없다.","ENDPOINT_AUDIT_44_OF_131"
"044","DCA-N28","296","L52303~L52474","KEEP","타미플루 권리·세계급 연구자·제약 생산사가 하나의 감염병 대응 축으로 결합된다.","타미플루 권리·세계급 연구자·제약 생산사가 하나의 감염병 대응 축으로 결합된다.","태미플루 생산권을 받은 서정준과 연구자 김정우가 처음 마주해 한국 감염병 대응팀의 실행 속도가 시험대에 오른다.","태미플루 생산권을 받은 서정준과 연구자 김정우가 처음 마주해 한국 감염병 대응팀의 실행 속도가 시험대에 오른다.","신종 독감 대응 기반","AI 바이오 상용화·차기 팬데믹","KEEP_T5_R8_H7_RIBBON_NOTE","L52303~L52474: 타미플루 권리와 김정우·서정준의 연구·생산축이 실제 연결된다. 마지막은 두 사람이 처음 마주하는 장면으로 AI바이오 상용화·차기 감염병 대응 속도가 열린다.","ENDPOINT_AUDIT_44_OF_131"
"045","DCA-N28B","301","L53126~L53287","EDIT","태우의 미래 포트폴리오가 지상 이동·AI·우주·바이오로 분기한다.","리그 오브 챔피언스 스킨 하루 약 10억 원 판매, 스페이스X 네 번째 발사 성공, 타미플루 대량생산 성공과 일본 주문이 지급된다. 전 공장 월 1천만 명분 생산은 지시·전망 단계다.","WHO 팬데믹 선언이 무료 광고가 될 전망이다.","세계보건기구의 팬데믹 선언이 타미플루 수요를 얼마나 키울지 기다린다.","리그 오브 챔피언스 스킨 첫날 판매; 스페이스X 네 번째 발사 성공; 타미플루 대량생산 성공·일본 주문","바둑 AI 공개전; 타미플루 전 공장·2교대 증산; WHO 팬데믹 선언과 세계 주문","EDIT_NOTE;KEEP_T6_R8_H7_RIBBON","L53126~L53287: 스킨 약 10억 원 판매, 스페이스X 4차 발사 성공, 타미플루 대량생산 성공·일본 주문은 현재 영수증이다. 월 1천만 명분은 전 공장·2교대 지시 뒤의 생산능력 전망이다.","ENDPOINT_AUDIT_88_OF_131"
"046","DCA-N29","316","L55616~L55812","EDIT","애플카는 제품 발표를 넘어 미국 제조업 회생과 전기차 정책의 지렛대가 된다.","애플카 원격주차·아이폰 호출 공개시연, 검색어 1위·영상 800만 조회, 태우차·카이차 주가 8퍼센트 이상 상승과 미국 정부의 긍정 검토가 지급된다. 보조금 액수와 GM 공장 전환은 미지급이다.","스티브가 휴식 대신 이틀짜리 아이디어 회의를 시작한다.","네 시간만 잔 스티브가 휴식 대신 이틀짜리 아이디어 회의를 시작한다.","애플카 원격주차·호출 공개시연; 검색어 1위·800만 조회; 태우차·카이차 주가 상승","전기차 보조금 액수; GM 공장 전환·양산; 스티브의 이틀 아이디어 회의","EDIT_NOTE;R9_TO_8;KEEP_T6_H6_RIBBON","L55616~L55812: 아이폰 연결 실차시연, 검색 1위·800만 조회와 두 자동차주 8퍼센트 이상 상승은 완료됐다. 보조금 액수와 GM 생산설비 전환은 뒤의 실행과제다.","ENDPOINT_AUDIT_88_OF_131"
"047","DCA-N30","326","L57323~L57487","EDIT","전기차 동맹이 완승하고 카노스가 장기 적으로 남는다.","테슬라 공매도 세력의 공개 항복, 테슬라 신고가와 태우차·카이차 30만 원대, 승부조작 의심경기·최소 가담규모 확인이 지급된다. 전체 가담자 확정과 처벌은 남는다.","카노스가 태우 폭락을 기다린다.","카노스가 태우그룹 전체의 폭락을 기다리며 장기 공매도 복수를 노린다.","테슬라 공매도 세력 항복; 전기차주 상승; 게임 승부조작 의심경기·최소 인원 확인","게임팀 전수조사·검찰 이첩; 카노스의 태우그룹 공매도","EDIT_NOTE_RIBBON;KEEP_T6_R9_H7","L57323~L57487: 공매도 세력의 공개항복·전기차주 상승 뒤 천민정이 경기영상으로 최소 3명, 연루 5명 이상의 승부조작 의혹을 제시한다. 수사·처벌은 미완료다.","ENDPOINT_AUDIT_88_OF_131"
"048","DCA-N31","333","L58496~L58665","EDIT","태우는 2011년 수확까지 적자를 감수한다.","노무라 50억 달러를 포함한 150억 달러 초과 보험계약 체결이 지급된다. 일본 제조업 공매도 100억 달러와 엔화 공략 50억 달러는 남은 자금의 계획이다.","대지진 시점이 다가온다.","건설·로켓의 큰 현금소모를 감수한 채 2011년의 대지진·금융 수확을 기다린다.","노무라 50억 달러 포함 150억 달러 초과 보험계약 체결; 태우전자·반도체·IT 기록적 판매 확인","일본 제조업 100억 달러 공매도; 엔화 50억 달러 공략; 대지진·건설 PF·로켓 수확","EDIT_SCORE_NOTE_RIBBON;R6_TO_8;H9_TO_6;KEEP_T5","L58496~L58665: 노무라 50억 달러를 포함한 여러 금융사·기업의 보험계약 체결액이 150억 달러를 넘는다. 남은 150억 달러의 100억/50억 배분은 아직 계획이며 마지막은 2011년 수확 대기다.","ENDPOINT_AUDIT_88_OF_131"
"049","DCA-N31B","337","L59167~L59333","EDIT","일본 수확이 유럽전과 물류망을 강화한다.","일본 금융사 정산 완료, 현금 300억 달러와 주식·부동산·특허를 합친 500억 달러 초과 회수, 최재석 지지율 15퍼센트 상승이 지급된다. 700억 달러와 일본 해운사 인수는 전망·계획이다.","서울 무상급식 주민투표가 다가온다.","서울 무상급식 주민투표가 최재석 진영의 다음 정치시험으로 다가온다.","일본 금융사 정산; 현금 300억 달러·총 500억 달러 초과 회수; 최재석 지지율 상승","일본 해운사 인수; 유럽 금융전; 서울 무상급식 주민투표","EDIT_SCORE_NOTE_RIBBON;R8_TO_9;KEEP_T5_H6","L59167~L59333: 15일 안 정산을 마쳐 현금 300억 달러·총자산 500억 달러 초과를 회수한다. 700억 달러와 일본 해운사 인수는 아직 전망·준비이고 마지막은 주민투표다.","ENDPOINT_AUDIT_88_OF_131"
"050","DCA-N31C","341","L59812~L59973","EDIT","국민경제당 후보가 서울시장 보궐선거에서 36대34, 2퍼센트 차이로 당선된다.","국민경제당 후보의 서울시장 보궐선거 36대34 승리와 디도스 증거의 내부 인계가 지급된다. 증거 공개와 최재석의 공식 대선선언은 아직 전이다.","서울시장 승리를 발판으로 최재석이 오랜 침묵을 깨고 실제 대권 도전에 나설 것인가?","최재석이 긴 침묵을 끝내고 이제 움직이겠다고 말한다.","서울시장 보궐선거 36대34 승리; 디도스 증거 내부 인계","디도스 증거 공개; 최재석의 공식 대권선언; 해외투자","EDIT_NOTE;R7_TO_8;KEEP_T8_H7_RIBBON","L59812~L59973: 36대34 당선은 확정되지만 디도스 자료는 개표 뒤 공개하라고 기획실장에게 넘긴 단계다. 마지막은 최재석의 이제 움직이겠다는 말이며 공식 출마선언은 없다.","ENDPOINT_AUDIT_88_OF_131"
"051","DCA-N32","344","L60319~L60493","EDIT","태우가 세계 제약 연구비를 대는 핵심 주주로 오른다.","인슐린 아시아 생산권, 당뇨 신약 연구비 전액지원·신약지분 30퍼센트 계약과 데이비드의 트럼프 지원 담당 확정이 지급된다.","데이비드가 트럼프 후원을 시작한다.","데이비드는 덴마크 일을 마치고 한국으로 돌아와 다음 임무를 기다린다.","인슐린 아시아 생산권; 당뇨 신약 30퍼센트 계약; 덴마크 협상","당뇨 신약 개발·생산; 트럼프 정치지원","EDIT_NOTE;R7_TO_8;KEEP_T5_H6_RIBBON","L60319~L60493: 연구비 전액과 신약 30퍼센트·인슐린 아시아 생산권을 묶은 계약이 실제 체결된다. 데이비드는 트럼프 지원을 맡고 덴마크 일을 끝내 한국으로 돌아온다.","ENDPOINT_AUDIT_88_OF_131"
"052","DCA-N32B","351","L61506~L61665","EDIT","태우 동맹이 에너지·정치·금융으로 입체화된다.","체서피크 셰일 협력계약 체결과 트럼프의 전폭 정치후원 수락이 지급된다. 금융타워 입주와 유럽 금융사 이전은 아직 전이다.","유럽 금융사를 더 끌어와야 한다.","다음 달 완공될 금융타워에 월가 30곳과 유럽 금융사를 실제 입주시킬 수 있는가?","체서피크 셰일 협력계약; 트럼프 전폭 후원 수락","금융타워 완공·월가 30곳 입주; 유럽 금융사 유치","EDIT_NOTE;R6_TO_8;KEEP_T5_H7_RIBBON","L61506~L61665: 체서피크 협력계약에 서명하고 트럼프가 전폭 후원을 수락한다. 금융타워는 다음 달 완공 예정이며 월가 30곳과 유럽 금융사 입주는 대기 중이다.","ENDPOINT_AUDIT_88_OF_131"
"053","DCA-N32C","356","L62332~L62511","EDIT","성공 보상이 직원 가족의 삶으로 내려간다.","신사옥 외관 90퍼센트와 전 직원 익명설문 결과, 휴가·야근·육아휴직·재택·단축근무·안식년의 시행지침이 지급된다. 건물 완공과 제도 정착은 미지급이다.","정책을 실제 정착시켜야 한다.","새 휴가·육아·근무제도가 직원들의 일상에 실제로 정착할지 남는다.","전 직원 익명설문 실시·결과 수령; 직원복지 시행지침 확정","신사옥 완공; 휴가·야근·육아휴직·재택·안식년 정착","EDIT_NOTE;R9_TO_7;KEEP_T4_H6_RIBBON","L62332~L62511: 신사옥 외관은 90퍼센트이고 일주일 익명설문 결과는 수령했다. 복지제도는 구체 지침이지만 직원 삶에서 정착한 결과는 아직 없다.","ENDPOINT_AUDIT_88_OF_131"
"054","DCA-N33","368","L64429~L64601","EDIT","태우는 독사과를 넘기고 미래 600억 달러 설계사를 얻는다.","투게더워크 90퍼센트↔ARN 교환과 베릴 10퍼센트 1억 달러 매각·ARN 재투자에 대한 당사자 합의가 지급된다. 계약서·대금·지분이전은 남는다.","리사에게 사후 통보해야 한다.","손정우가 복잡한 교환안을 곧바로 받아들여 협상이 예상보다 빠르게 끝난다.","투게더워크·ARN 교환조건 합의; 베릴 10퍼센트 1억 달러 매각·재투자 합의","계약서 작성; 1억 달러 지급; ARN·투게더워크 지분이전","EDIT_NOTE;R8_TO_7;KEEP_T6_H6_RIBBON","L64429~L64601: 손정우가 90퍼센트 지분교환과 베릴 10퍼센트 1억 달러 매각·재투자안을 즉시 수락한다. 서명·대금·소유권 이전 장면은 없다.","ENDPOINT_AUDIT_88_OF_131"
"055","DCA-N33B","373","L65295~L65470","EDIT","금융사 전부가 먹어도 남을 새 프로젝트가 열린다.","테이퍼링 신호에 대비한 금융포지션의 소규모 수익과 석유전쟁 담당자·자료·타임라인 과제가 확정된다. 원유 공매도와 산유국 붕괴수익은 아직 없다.","한정훈은 양적완화 연습경기보다 훨씬 큰 3차 석유전쟁 타임라인을 후쿠다·데이비드·다이먼과 짜야 한다.","한정훈이 후쿠다·데이비드·다이먼과 베네수엘라·셰일·크림반도·OPEC을 잇는 석유전쟁 타임라인을 짜야 한다.","테이퍼링 포지션의 소규모 수익 확인; 석유전쟁 담당선 배정","원유 공매도; 크림반도 제재; OPEC 증산; 산유국 붕괴","EDIT_NOTE;R7_TO_6;KEEP_T5_H7_RIBBON","L65295~L65470: 연준 테이퍼링 신호 뒤 준비 포지션의 작은 수익은 확인된다. 석유전쟁은 인물별 자료·타임라인 작성과제이며 실행·수익 전이다.","ENDPOINT_AUDIT_88_OF_131"
"056","DCA-N33C","377","L65986~L66170","KEEP","차기 중국 권력자와 운송사업·20년 계약의 협상선을 열고 주석 보고 약속을 얻는다. 실제 장기계약과 자원 판로는 아직 전이다.","차기 중국 권력자와 운송사업·20년 계약의 협상선을 열고 주석 보고 약속을 얻는다. 실제 장기계약과 자원 판로는 아직 전이다.","사우디 증산 시점과 왕위승계를 확인하러 간다.","사우디 증산 시점과 왕위승계를 확인하러 간다.","리강 소개; 중국 운송사업·20년 계약 제안; 주석 보고 약속","중국 정부 승인·20년 계약 체결; 러시아 허가; 사우디 증산전","KEEP_T5_R8_H6_RIBBON_NOTE","L65986~L66170: 리강은 20년 계약안을 긍정하고 주석에게 보고하겠다고 약속하지만 계약·러시아 판로는 미지급이다. 마지막은 사우디 증산·왕위승계 확인 출장이다.","ENDPOINT_AUDIT_88_OF_131"
"057","DCA-N33D","380","L66548~L66742","KEEP","원유 110→105달러 하락, 5배 레버리지 25% 이상 수익률, 준비기간에 들어간 자금의 하루 만 전액 회수를 확인한다.","원유 110→105달러 하락, 5배 레버리지 25% 이상 수익률, 준비기간에 들어간 자금의 하루 만 전액 회수를 확인한다.","유가 하락이 어느 기업·국가부터 무너뜨릴지 남는다.","유가 하락이 어느 기업·국가부터 무너뜨릴지 남는다.","OPEC 증산 전 준비비 전액 회수; 원유 공매도 첫 수익","추가 유가 하락·산유국과 셰일기업 붕괴; 왕족 숙청정보","KEEP_T9_R9_H7_RIBBON_NOTE","L66548~L66742: OPEC 증산 뒤 원유 110→105달러, 5배 레버리지 25퍼센트 이상과 준비비 전액회수가 한 회차 안에 명시된다. 기존 override가 정확하다.","ENDPOINT_AUDIT_88_OF_131"
"058","DCA-N34","396","L69349~L69537","EDIT","헤스 방어가 월가자산 흡수 단계로 넘어간다.","헤스 공개매수 개시, 퀀텀 지분 3퍼센트의 100퍼센트 프리미엄 이전, 헤스 주가 급등과 카노스 진영 헤지펀드 절반 이상 이탈이 지급된다.","최재석은 중임제와 평창재단 갈취를 상의한다.","최재석이 4년 중임 재선과 평창재단 지원요구를 김민재에게 꺼낸다.","헤스 공개매수 발표; 퀀텀 3퍼센트 이전; 카노스 진영 절반 이상 이탈","버크셔와 추가 공개매수; 카노스 청산; 4년 중임·평창재단 갈취 대응","EDIT_NOTE;R9_TO_8;KEEP_T9_H7_RIBBON","L69349~L69537: 상장폐지·공개매수 발표, 퀀텀 3퍼센트의 100퍼센트 프리미엄 이전과 카노스 진영 절반 이상 이탈이 발생한다. 마지막은 최재석의 중임·재단 요구다.","ENDPOINT_AUDIT_88_OF_131"
