sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"197","197화","","49113","49342","complete","대통령 후보와의 거래가 사하라·안보·국제자산을 묶는다","부시를 장기 동맹으로 만든다","10억 달러 선거지원과 사하라·리비아·에너지 협력을 제안한다","일본과 민주당의 반격 및 나우루 재무장관 아들의 무력지원 요청이 겹친다","백범은 쿠데타 군사지원을 거절해 계약과 정권을 분리한다","부시 가문 접근권과 미국 보호 가능성","관계|권력","정치후원이 개인 구제가 아니라 장기 국가사업 동맹으로 갱신된다","론스타·다윗연합이 백범의 정치 편향을 주시한다","미국 판사 사건","부시 동맹과 나우루 위기","M05","high"
"198","198화","","49343","49546","complete","세계 자본가들이 백범의 베팅을 견제하는 동안 가족은 과열을 경고한다","론스타의 은행 인수를 막고 정치 위험을 관리한다","국동은행 입찰과 미국 대선 후원을 병행한다","다윗연합은 고어 쪽에서 100억 달러를 잃었고 백범의 확장을 위험시한다","부친이 정치와 사업보다 가족·몸을 먼저 보라고 충고한다","가족의 도덕적 브레이크와 경쟁자 정보","가족|위험","외부 성공이 커질수록 아버지의 우려가 실제 비용으로 축적된다","대통령의 감사와 판교 계획이 기다린다","부시 동맹 형성","국동 입찰·가족 경고","M05","high"
"199","199화","","49547","49765","complete","국가를 살린 대가가 판교 공공임대와 존경받는 졸부라는 새 목표로 돌아온다","주거 보상과 지속 가능한 재벌 평판을 만든다","판교 제2신도시 50% 임대·원가공개안을 대통령에게 제시한다","대통령은 경제인 권력이 정치권을 넘어설 위험을 경고한다","대통령과 현성 회장이 참전용사들에게 허리 숙이고 박태웅은 백범을 망나니라 부른다","정책 영향력과 존경받는 졸부라는 정체성","평판|권력","돈 많은 악동의 목표가 국민이 존중하는 장기 후원자로 바뀐다","신벽란도·인천공항과 조부 시신 비밀이 열린다","국동·금 구제 공로","신벽란도와 조부 미스터리","M05","high"
"200","200화","","49766","49963","complete","재산 확장이 신벽란도 국토개조와 조부의 미해결 죽음으로 맞물린다","항만·도로·건설 자산을 국가 성장축으로 만든다","신벽란도 벨트와 국내 건설·자재 투입 및 인천공항 확보를 구상한다","국동 처분 유혹과 사하라·미국 자본 의존 및 관료 저항이 따른다","이신이 조부 시신이 회수되지 않았다는 사실을 다시 꺼낸다","국동 보유·인프라 사업권과 국가설계자 위상","재산|가족","현재의 거대 자산 뒤에 조부의 빈 무덤이라는 가족 결핍이 선명해진다","이신이 백범에게 오래 누리지 못할 수 있다고 경고한다","국동 인수 방향","조부 행방과 다음 인수전","M05","high"
"201","201화","","49964","50209","complete","외국자본과의 국동 입찰을 마지막 호가 한 번으로 뒤집는다","국동을 고용승계 조건으로 확보한다","입찰 마감 직전 가격을 조정하며 스미스와 경쟁한다","론스타 측 스미스가 2990억 원까지 올리고 정부는 공매도·상하한제 개편을 검토한다","이신은 조부 이야기를 흐리며 백범이 부를 오래 누릴지 모른다고 경고한다","국동 인수전의 최종 선택권","재산|위험","자산 사냥의 규모가 커지는 동시에 가족사와 신변 불안이 따라붙는다","대통령이 IMF 요구 중 무엇을 수용할지 결정한다","조부 시신 의문","국동 낙찰과 시장제도","M06","high"
"202","202화","","50210","50427","complete","3000억 원과 전원 고용으로 국동을 외국자본에게서 되찾는다","국동을 인수하고 한국 증시의 안전장치를 지킨다","스미스보다 10억 원 높은 가격과 고용승계를 확약한다","손실기업 부채와 IMF의 공매도 도입 압력이 비용이다","대통령이 16% 가격제한은 받되 공매도는 거부하고 국동이 백범에게 낙찰된다","국동 소유권과 직원들의 일자리","재산|평판","헐값 약탈 예상이 고용을 지키는 백기사 인수로 역전된다","1000톤 금 기반 50억 달러 채권과 현성전자 매각이 열린다","국동 입찰","현성전자와 대북 거래","M06","high"
"203","203화","","50428","50655","complete","전자회사 인수와 소 천 마리 방북이 산업·남북협력을 한 거래로 묶는다","현성전자를 확보하고 대북·사하라 협력을 넓힌다","현성 회장에게 10억 달러와 소 천 마리·사하라 운하 협력을 제안한다","현성은 핵심 전자 계열사를 내놓아야 하고 야당은 판교 특혜를 공격한다","고향이 북인 현성 회장이 소 방북의 상징성과 전자 매각을 수락한다","현성전자와 현성그룹 장기 동맹","재산|관계","경쟁 재벌이 피인수자가 아니라 공동 국가사업 파트너로 갱신된다","론스타가 63빌딩을 노리고 판교 여론이 악화된다","국동 인수","현성전자·공기업 방어","M06","high"
"204","204화","","50656","50905","complete","키움 상장 수익이 판교 임대도시와 건설사 인수 자금으로 환류한다","토지·건설 자산을 공공주거 계획에 연결한다","키움 지분 25%를 1조5000억 원에 팔고 건설사 인수·판교 계획을 발표한다","판교 주민과 가족은 강제 이동·특혜 개발을 의심한다","초기 투자자들이 손실의 70%를 회복하며 백범식 구조조정의 보상을 확인한다","현금 1조5000억 원과 투자자 신뢰","재산|평판","모바일 증권의 성장 보상이 공공임대·건설 확장으로 이어진다","부친이 판교 특혜를 직접 따지러 온다","키움 회생","판교 가족 갈등","M06","high"
"205","205화","","50906","51099","complete","부친의 탐욕 의심을 공공임대·원가공개·교육도시 계획으로 풀어낸다","가족 신뢰를 회복하고 판교·제주 개발 명분을 세운다","수익 전액을 선우재단에 돌리고 후분양·50% 임대 방식을 설명한다","부친은 아들이 사람을 내쫓아 땅값을 올린다고 분노한다","계획을 들은 부친이 오해를 거두고 제주 이주를 선택한다","아버지의 신뢰와 제주 국제학교 사업 기반","가족|평판","아버지 눈에 탐욕스러운 졸부가 공공재를 설계하는 아들로 다시 보인다","하버드·예일·런던 학교와 선매입 토지가 드러난다","판교 특혜 의혹","제주 교육도시","M06","high"
"206","206화","","51100","51314","complete","국채 50억 달러와 우도 소유권을 바꿔 국가 부채와 해양영토를 함께 잡는다","IMF 상환과 7광구 전진기지를 확보한다","한국은행 금 1500톤을 근거로 국채를 액면가에 사고 우도 소유 특별법을 요구한다","정부는 사유화 비난과 론스타의 공기업 매집을 우려한다","백범의 요구가 섬 투기가 아니라 7광구 에너지 전략임이 드러난다","우도 확보 가능성과 국가신용 방어","재산|권력","국채 매입의 대가가 단순 이자가 아닌 해양영토 사업권으로 갱신된다","태양컴퍼니가 한국 기업 지분을 지킬 백기사로 출범한다","국동·현성 인수","우도 특별법과 지분전쟁","M06","high"
"207","207화","","51315","51488","complete","명문대 유치가 비싼 허영이 아니라 부모·도시를 끌어오는 자산 전략으로 드러난다","제주 국제교육도시의 학교 계약을 체결한다","하버드·예일·컬럼비아 이사회에 기부·세계학생 평등·브랜드 확장을 제안한다","이사들은 학교 이름을 부동산 장사에 쓰려 한다며 의심한다","백범이 학생 한 명이 가족과 기업을 데려온다는 구조를 설명해 승인을 얻는다","세계 명문학교 계약과 주변 토지가치 상승","재산|평판","졸부의 기부가 교육과 도시경제를 동시에 움직이는 투자로 역전된다","로버트가 국제학교 인근 토지 매입을 맡는다","제주 교육도시 구상","부모 이주와 부동산 상승","M06","high"
"208","208화","","51489","51703","complete","일본계 고금리 광고를 본 백범이 서민금융 전쟁을 시작한다","대부업 금리를 시장에서 끌어내린다","서민은행 대신 태양저축은행을 만들고 연 33%로 진입하기로 한다","산와머니식 업체의 자본력과 대출광고·추심망이 강하다","백범은 외국대부업 철수까지 노리는 단계적 금리 인하를 설계한다","서민금융 명분과 신규 금융 플랫폼","평판|재산","은행 인수형 재벌에서 고금리 구조를 직접 바꾸는 경쟁자로 이동한다","이신의 대부업 지분과 우도법 지원을 조율해야 한다","일본계 대부업 발견","금리전쟁과 이신 보상","M06","high"
"209","209화","","51704","51918","complete","과거 흑막의 대부업을 정리시키고 교육도시 이익으로 보상한다","이신을 금리전쟁의 적이 아닌 후원자로 둔다","대부업 철수·우도법 협조를 요구하고 제주·필리핀 교육부지 수익을 약속한다","이신은 안정적 고금리 현금흐름을 잃고 정치권 로비 부담을 져야 한다","청와대가 우도와 7광구의 연계를 알아보고 특별법을 밀기로 한다","이신의 철수와 정부 입법 지원","관계|권력","어둠의 돈이 교육·국토개발 수익으로 교환되며 동맹이 갱신된다","백범이 홀로 컵라면을 먹으며 외로움과 조직반발을 맞는다","우도법 설득","저축은행 이사회 반발","M06","high"
"210","210화","","51919","52123","complete","평판 위험을 감수한 금리전쟁이 그룹 구조까지 바꾼다","태양저축은행을 출범시켜 연 20% 이하 시장을 만든다","이신에게 33→20% 단계안을 설명하고 Seed Finance를 태양컴퍼니로 분리한다","이사회는 대부업 이미지와 대규모 손실을 두려워한다","곽이 국내그룹과 미국자본을 분리하는 해법을 내고 새 사명·광고문구가 확정된다","독립된 태양컴퍼니와 실행 가능한 저축은행","조직|평판","개인 지시가 전문경영진의 구조 제안과 결합하는 체제로 성장한다","깨끗한 광고모델과 Loan-Off 공격이 시작된다","태양저축은행 설계","금리 광고·차환 전쟁","M06","high"
"211","211화","","52124","52352","complete","깨끗한 배우와 서민 차환으로 대부업 이미지를 뒤집을 준비를 한다","신뢰받는 얼굴과 실행 책임자를 확보한다","조수종·김희라를 평생 광고모델로 고르고 이헌제를 은행장으로 앉힌다","배우는 사채 광고를 거부하고 백범은 외로움 속 과로한다","우도 사유지 95% 확보와 셰일가스 가능성이 동시에 보고된다","광고 신뢰자산과 우도 실질 지배","관계|재산","대부업 진입이 유명인 착취가 아니라 장기 동반계약으로 설계된다","한아 Loan-Off가 이신 철수 뒤 오만하게 확장한다","태양저축은행 출범","배우 설득과 한아 공격","M07","high"
"212","212화","","52353","52594","complete","잊지 않은 약속과 미래 단말 개발이 금리전쟁의 인간적 비용을 비춘다","에너지 연구·스마트폰·대부업 공격을 병행한다","김도철 약속을 지켜 비밀 에너지연구소를 만들고 스마트폰 시제품 축소를 지시한다","현성은 자원사업을 꺼리고 박태웅은 백범의 외로움과 과로를 걱정한다","반쪽 크기 시제품을 보며 백범이 생활 플랫폼의 완성을 확신한다","약속을 지킨 연구소와 스마트폰 진척","능력|관계","거대 프로젝트 속에서도 개인 약속이 장기 신뢰 자산으로 남는다","청와대 우도·대부광고 회의가 시작된다","김도철 연구 약속","우도법·금리전쟁 승인","M07","high"
"213","213화","","52595","52763","complete","우도 사유화 요구가 7광구 방어와 심층수 채굴 위장으로 대통령을 설득한다","우도법·시추 허가·광고 규제를 얻는다","50억 달러 국채와 7광구 전진기지 논리 및 VANK 대마도 여론전을 제시한다","대통령은 민간기업의 영토도발과 대부업 광고 개입을 부담스러워한다","심층수 사업이 해양자원 탐사의 위장막이라는 사실이 드러난다","우도 특별법과 TV 대부광고 차단 지원","권력|재산","섬 소유가 개인 별장이 아니라 국가 해양전략으로 공식 승인된다","배우 광고와 우도 경매에서 외국 경쟁자가 붙는다","우도법 논쟁","금리광고·우도 입찰","M07","high"
"214","214화","","52764","52957","complete","사채 광고를 거부한 배우가 금리를 절반으로 내린다는 약속에 얼굴을 빌려준다","광고 신뢰와 대규모 차환 수요를 만든다","66% 시장을 33→20%로 낮추겠다고 배우에게 직접 설명한다","배우는 서민 피해에 가담할 수 없다며 처음엔 단호히 거절한다","평생 모델·평생 책임 조건에 배우가 계약하고 광고 직후 1조5000억 원 차환이 몰린다","대중 신뢰와 경쟁사 고객 대이동","평판|재산","대부 광고가 착취의 상징에서 고금리 탈출 신호로 역전된다","스미스와 산와가 우도 입찰에 뛰어든다","광고모델 거절","우도 경매·차환전쟁","M07","high"
"215","215화","","52958","53186","complete","불법대출 구제와 해외자본 100억 달러가 금리전쟁·우도 경매를 동시에 민다","차환을 전국으로 확장하고 우도·마라도를 얻는다","모바일 상담·현장 법률지원을 열고 태양컴퍼니 한국법인 100억 달러로 섬 가격을 올린다","산와·Loan-Off가 금리를 내리며 버티고 외국자본 특혜 비난이 나온다","태양이 우도 가격을 두 배로 높여 낙찰받고 산와 대출 95%가 상환된다","우도·마라도와 서민 고객 기반","재산|평판","공격적 자본이 외국 대부업 이익을 한국 자산·낮은 금리로 바꾼다","숨겨진 심해 시추와 삼성 지분 문제가 열린다","차환 광고 성과","섬 소유·주식 매집","M07","high"
"216","216화","","53187","53392","complete","경쟁사가 따라 내릴수록 태양이 기존 고객 금리까지 더 낮춘다","금리전쟁의 도덕적 우위를 고정한다","기존대출 27%·신규 21%로 다시 내리고 불법추심 지원을 확대한다","Loan-Off도 인하에 동참하고 감독당국은 태양의 삼성계열 20% 보유를 문제 삼는다","규제당국이 주가상승·서민효과 때문에 당장 수사를 유보한다","고객 충성도와 삼성 지분 가치 상승","재산|평판","가격전쟁이 단기 미끼가 아니라 기존고객 보상까지 포함하는 신뢰로 갱신된다","삼성 지배구조를 놓고 총수와 대면한다","금리 33% 진입","삼성전자 인수 압박","M07","high"
"217","217화","","53393","53617","complete","20% 지분과 현성 합병 카드로 삼성 총수를 협상장에 불러낸다","삼성전자를 세계 1위 전자축으로 확보한다","삼성 계열 지분을 모으고 우도 FPSO·시추 허가와 대마도 여론전을 병행한다","삼성가 15% 지배력과 정부 규제 및 일본 반발이 저항한다","백범이 다른 공기업 욕심은 버리고 삼성전자·한국전력·인천공항에 집중한다고 밝힌다","삼성 총수와 대등한 협상권","재산|권력","시장에 흩어진 지분이 국내 최대재벌의 지배구조를 흔드는 권력으로 변한다","총수와 자회사·전자 지분을 맞바꿀 담판이 열린다","삼성 지분 매집","전자 인수·대마도 작전","M07","high"
"218","218화","","53618","53854","complete","금리전쟁은 산와 철수와 Loan-Off 폐업으로 끝나고 한아에너지까지 흔든다","고금리 경쟁자를 퇴출하고 자원자산을 연다","산와 매각 제안을 거절하고 한아에너지 12% 지분으로 장부 공개를 압박한다","외국자본 철수 시 자금 유출과 한아의 정치·재계 인맥이 장애다","한아가 Loan-Off를 닫고 아들을 해외로 보내며 백범이 승전한다","대부업 시장금리 하락과 에너지사 협조","평판|재산","서민금융 보상이 재벌 에너지 자산 통제력으로 이어진다","대마도 역사전과 해양플랜트 거래가 시작된다","대부업 금리전쟁","역사 여론전·한아에너지","M07","high"
"219","219화","","53855","54058","complete","학자에게 욕먹는 망나니가 50억 원 옥으로 대마도 역사전을 시작한다","대마도 요구의 역사 근거와 시추 장비를 확보한다","역사학자를 후원하고 해양플랜트 계약에 4기 추가·지분 27% 압박을 건다","학자는 정치 선전에 이용될까 반발하고 현성은 과도한 요구를 경계한다","학자가 옥 세트를 보고도 백범을 법 없는 망나니라 부르며 결국 자료를 맡는다","역사 연구팀과 추가 시추장비","평판|능력","비난받는 방식이지만 장기 영토전의 증거 생산망이 생긴다","이승만을 이용할지 둘러싼 역사 윤리 논쟁이 열린다","한아 압박","대마도 프레임과 VANK","M07","high"
"220","220화","","54059","54284","complete","독재자 미화는 거부하고 대마도 요구만 역사 카드로 분리한다","VANK를 통해 국제 여론을 선점한다","이승만의 대마도 요구는 쓰되 민간인 학살·독재는 미화하지 말라고 지시한다","일본은 7광구 개발을 준비하고 VANK는 자금 출처와 과도한 구호를 걱정한다","익명 50억 원과 Cube 광고로 대마도는 우리 땅 캠페인이 폭발한다","대중 노출과 역사적 명분","평판|권력","졸부의 국수주의 쇼가 선택적 역사윤리를 가진 장기 압박전으로 갱신된다","우도 추가 시추와 삼성 담판이 동시에 본격화한다","역사학자 합류","삼성·우도 자산전","M07","high"
"221","221화","","54285","54500","complete","조선 수주 이익과 섬 입찰을 묶어 해양산업 자체를 키운다","우도·마라도를 지키고 8기 시추체계를 만든다","현성중공업 주가상승분으로 드릴십·플랜트 8기를 발주하고 산와 자산은 거부한다","스미스가 섬 입찰에 들어오고 일본 자금이 우회 침투한다","현성 회장은 단기 발주가 세계 조선사 도약 발판임을 알아본다","국내 조선 수주와 섬 방어력","재산|관계","피인수 대상이던 현성이 백범과 함께 세계 해양플랜트 파트너로 보상받는다","이지박의 내부자 거래와 삼성 만찬이 열린다","VANK 여론전","삼성 담판·섬 경매","M08","high"
"222","222화","","54501","54732","complete","삼성 만찬 직전 이지박의 비리가 미래 정치 적대로 떠오른다","삼성 총수에게 지분전쟁의 진짜 목표를 드러낸다","이지박의 조카 차명거래를 포착하고 삼성 만찬에서 직접 압박을 시작한다","스미스는 백범과 삼성이 결탁한다고 오판하고 이지박은 정치 진출을 노린다","백범이 예우 대신 적대적 인수 가능성을 정면에 올려 총수의 긴장을 끌어올린다","협상 주도권과 이지박 비리자료","권력|평판","재계 막내가 최대재벌 총수를 위협하는 위치로 올라선다","삼성물산·자연농원 요구 뒤 진짜 전자 거래가 나온다","삼성 만찬 시작","전자 지분 교환과 정치 적대","M08","high"
"223","223화","","54733","54938","complete","딸 때문에 놀이공원과 건설사를 원한다는 엉뚱한 요구가 삼성전자 본심을 숨긴다","전자 지분을 낮은 충돌로 받아낸다","삼성물산·자연농원을 달라 한 뒤 20억 달러짜리 삼성전자 지분 교환을 제시한다","총수는 백범을 아이 때문에 그룹을 흔드는 미치광이로 본다","현성전자 합병과 400억 달러 전쟁 위협이 진짜 협상 카드로 드러난다","전자 지배력과 가족을 위한 실물자산 명분","재산|가족","아버지 역할의 사소한 욕망이 재벌 지배구조를 흔드는 위장으로 기능한다","사하라 참여와 삼성가 생존 조건이 붙는다","삼성 압박","전자지분·사하라 교환","M08","high"
"224","224화","","54939","55186","complete","400억 달러 전쟁 대신 삼성전자와 사하라 동맹을 동시에 얻는다","전자 핵심지분과 섬 소유권을 확정한다","사하라 5000억 원·바이오 참여를 미끼로 삼성 보유 전자지분 양도를 받는다","삼성가는 그룹 지배력 상실을 두려워하고 스미스가 우도 입찰을 추격한다","총수가 가문 지배는 유지한 채 그룹 보유분을 넘기고 백범은 우도 3000억·마라도 1000억에 낙찰받는다","삼성전자 지분과 첫 개인 섬 두 곳","재산|지위","딸 핑계의 괴짜 협상이 국가급 전자·해양 자산 보상으로 폭발한다","제일은행 민영화와 공항 인수가 다음 목표가 된다","삼성 전쟁 위기","은행·공항 민영화","M08","high"
"225","225화","","55187","55436","complete","섬과 전자를 얻은 뒤 은행·공항까지 국가 핵심망으로 연결한다","제일은행과 인천공항을 외국자본보다 먼저 잡는다","제일은행장이 자발적 매각을 밀게 하고 정부에 부분민영화를 제안한다","정부는 외국 입찰 형평성과 일본의 VANK 항의를 동시에 처리해야 한다","외교부조차 일본의 곤혹을 즐기며 백범의 여론전을 방패로 쓴다","은행 입찰 주도권과 정부 내부 우호","권력|재산","사적 캠페인이 국가 협상력으로 인정되어 더 큰 민영화 접근권을 만든다","인천공항 100억 달러 제안이 거절될 위험이 있다","섬·전자 확보","은행·공항 담판","M08","high"
"226","226화","","55437","55651","complete","일본은 대마도·우도·조부를 한 선으로 읽고 백범은 공항을 담보로 은행을 지킨다","일본 감시 속 공항·은행 방어 거래를 만든다","제일은행 51% 인수와 인천공항 100억 달러 제안을 정부에 묶어 낸다","일본 특별보좌관이 백범과 조부의 독립운동 계보를 추적한다","일본이 개인 졸부가 아니라 세대에 걸친 영토 경쟁자로 백범을 규정한다","국가 핵심자산 협상권과 적국의 인정","평판|위험","국내 평판은 구원자지만 일본 정보라인에서는 전략적 적으로 상승한다","대통령이 인천 대신 김포·제주를 역제안한다","제일은행 민영화 시작","공항 교환과 심층수 위장","M08","high"
"227","227화","","55652","55871","complete","인천공항 거절을 김포·제주공항과 전자 빅딜로 바꿔 받는다","대체 공항과 전자독점을 확보한다","100억 달러 대가로 김포·제주공항을 받고 제주국제공항 확장을 택한다","인천공항의 국가 상징성과 심층수 채굴 위장의 노출 위험이 있다","현성·삼성 전자가 태양전자로 합쳐져 반도체·전자 독점축이 생긴다","공항 두 곳과 태양전자 출범","재산|지위","거절당한 거래가 더 실용적인 항공·전자 묶음 보상으로 역전된다","제일은행 매입 가격과 고용문제가 남는다","인천공항 요구","제주허브·전자통합","M08","high"
"228","228화","","55872","56099","complete","헐값 매입 기대를 깨고 30억 달러·무해고로 공기업 가격의 바닥을 높인다","제일은행을 국민 반발 없이 인수한다","지분 51%에 30억 달러를 제시하고 해고 없는 정상화를 약속한다","외국투자자는 바가지라 비웃고 정부는 특혜 논란을 걱정한다","KBC가 국민을 위해 손해 보는 재벌로 보도해 여론이 반전된다","제일은행 경영권과 고용보호 평판","평판|재산","약탈자 예상이 공기업 가치를 지키는 호구형 백기사 이미지로 역전된다","제주 무비자·면세·카지노 구상이 붙는다","은행 가격 협상","제주 관광경제","M08","high"
"229","229화","","56100","56320","complete","은행·공항·전자·공기업 지분이 하나의 민간 경제권으로 보이기 시작한다","반대 정치권을 정당성과 실적으로 묶는다","태양은행·수출입은행 통합과 공항·전자 계획을 공개한다","야당은 특혜 재벌을 공격하려 하지만 IMF 상환과 높은 매입가 때문에 명분이 약하다","야당 참모들조차 특별대우를 공격하기 어렵다고 인정한다","20조 원 태양전자와 정치적 방어력","지위|평판","졸부집 그룹이 국가경제 버팀목이자 견제 대상인 준공공 권력으로 올라선다","우도 시추가 공동개발구역 가까이 이동한다","민영화 특혜 논란","일본과의 7광구 충돌","M08","high"
"230","230화","","56321","56511","complete","국가급 갈등 한가운데서 딸을 안은 아버지라는 사적 보상이 도착한다","가족과 재회하며 우도 매각 요구를 버틴다","미국 집에서 갓난딸 엘리자베스를 안고 은혜와 부부 시간을 보낸다","일본은 우도 회사를 사려 하고 장기 부재가 신혼·육아 관계를 흔든다","섬 소유자·재벌이 우유도 제대로 못 타는 초보 아버지로 축소된다","딸과의 첫 친밀감 및 부부 결속","가족|감정","거대 재산 보상 뒤 가장 작은 가족 역할이 가장 큰 행복으로 갱신된다","일본의 우도회사 매입 협상이 가족시간을 끊는다","공항·은행 인수","딸 육아와 일본 압박","M08","high"
"231","231화","","56512","56792","complete","백일잔치 과시 대신 가난한 미국 아이들에게 기부해 딸 이름의 평판을 만든다","가족 의례를 공공 보상으로 바꾼다","우유 온도를 실수하며 육아를 배우고 백일 비용을 아동에게 기부한다","한국식 관순과 미국식 엘리자베스 이름 사이 가족 문화차가 있다","부친이 직접 음식을 챙기고 정부가 우도·VANK를 보호한다","가족 세대 연결과 딸의 자선 유산","가족|평판","졸부의 잔치 기대가 조용한 양육·기부로 역전된다","일본의 5년짜리 Cube 광고전과 부시 회담이 열린다","초보 아버지 적응","부시·7광구 협상","M09","high"
"232","232화","","56793","57031","complete","5년짜리 검색광고가 일본의 여론전 철수를 막는 족쇄가 된다","부시에게 7광구 국제 보호를 요청한다","Cube 상장 준비와 대마도 광고 장기계약을 유지한 채 부시를 만난다","일본은 광고 차단·우도 매입·고어 지원을 병행한다","광고계약을 깨려면 더 큰 정치비용을 치러야 해 일본이 묶인다","미국 대선 의제에 7광구를 올릴 기회","권력|평판","온라인 광고가 국가 간 협상자산으로 변한다","부시에게 메탄하이드레이트 지분구조를 제안한다","딸 백일 기부","부시 가문과 에너지 동맹","M09","high"
"233","233화","","57032","57186","complete","메탄하이드레이트를 러시아·중국·일본 견제 카드로 팔아 부시 가문을 끌어들인다","우도해양개발을 미국 이해관계와 묶는다","부시에게 가문 30%·미국정부 20% 참여와 7광구 에너지 논리를 제시한다","부시는 정부지분과 일본 충돌이 선거에 부담스럽다며 저항한다","일본이 반대할수록 미국 에너지안보에 유리하다는 역설이 먹히기 시작한다","부시 가문의 잠재 지분과 미국 정치 방패","관계|재산","한국의 섬 회사가 미국 대선 가문의 자산으로 확장된다","일본이 부시 약점을 터뜨릴 준비를 한다","부시 접견","일본의 선거개입","M09","high"
"234","234화","","57187","57389","complete","일본의 폭로 함정을 역이용해 부시에게 공동 적을 만든다","일본의 대선개입을 부시 반감으로 전환한다","마약 과거 폭로와 고어 지원을 예측해 알리고 일본에도 몫을 주는 척하자고 제안한다","부시는 일본과 직접 충돌하고 선거에 질 가능성을 두려워한다","일본이 실제로 약점을 흘리자 부시는 백범의 예측을 믿고 투자에 동의한다","부시의 개인적 분노와 장기 동맹","관계|권력","백범의 경고가 정치예측 실적으로 갱신되어 신뢰가 깊어진다","부시 가문 회사와 우도 합병이 진행된다","메탄 제안 저항","부시 지분·일본 원한","M09","high"
"235","235화","","57390","57644","complete","2000억 원짜리 섬 매입 요구에 1조 원을 불러 국토의 점 하나도 줄이지 않는다","우도 매각을 막고 미국 자본을 더 비싸게 끌어들인다","손정의에게 1조 원을 요구하고 부시 가문 회사와 우도해양개발을 합병한다","일본은 고어 지원·부시 스캔들로 백범을 고립시키려 한다","부시 쪽이 20억 달러로 20%를 사고 한국 신용등급도 오른다","우도 기업가치 상승과 미국가문 방패","재산|국가","섬 투기가 영토 수호와 국제지분 프리미엄으로 역전된다","우도 시추와 서사하라 독립 작업이 시작된다","일본 매입 시도","서사하라·시추 심화","M09","high"
"236","236화","","57645","57892","complete","Cube 상장 수익과 시추 도발을 서사하라 국토 매입으로 넘긴다","현금과 국제여론을 사하라·7광구 양면전에 쓴다","Cube 40% 매각·KOSPI 콜과 우도 5→1해리 시추 및 서사하라 독립 접촉을 지시한다","일본의 영해 반발과 모로코·UN 절차가 장기 비용이다","개인 현금 1000억 원과 시추시설 이동이 동시에 실현된다","상장 현금·해양 전진·사하라 교두보","재산|권력","검색기업 보상이 영토·국가건설 실탄으로 환류한다","SADR·UN·한국 평화유지군 계획이 열린다","부시 지분 합병","서사하라·베트남 확장","M09","high"
"237","237화","","57893","58146","complete","서사하라 독립과 베트남 진출을 한국의 자원·항만축으로 설계한다","사하라 토지와 동남아 생산기지를 동시에 확보한다","로버트에게 SADR·UN·모로코 접촉을 맡기고 태국 금융수익으로 베트남 항만·토지를 노린다","모로코의 영유권과 IMF 조기상환 일정 및 다국적 평화유지군 승인 문제가 있다","청와대가 상환을 두 달 늦추고 서사하라 파병 가능성을 검토한다","국가 외교 지원과 베트남 100억 달러 구상","권력|재산","사막 토지 매입이 민간 거래에서 한국 외교·파병 의제로 상승한다","대양자동차와 베트남 정부 담판이 열린다","서사하라 접촉","베트남 산업도시","M09","high"
"238","238화","","58147","58361","complete","부실 자동차와 축구를 베트남 산업·브랜드 확장의 도구로 바꾼다","베트남에 자동차·항만·자원 권리를 심는다","대양자동차를 인수하고 전 회장에게 베트남 태양자동차 10%를 주며 ASEAN 축구마케팅을 설계한다","낡은 기술·현지노동력·정치 인허가가 비용이다","몰락한 회장이 버려질 예상과 달리 현지 지분·역할을 받아 감격한다","자동차 인재 보존과 베트남 정부 접촉권","관계|재산","패자를 축출하는 인수 대신 새 시장의 동업자로 보상한다","화교자본을 대체할 병원·보험 제안으로 간다","대양자동차 인수","베트남 의료·자본전","M09","high"
"239","239화","","58362","58589","complete","화교자본을 밀어낼 두 번째 한국 네트워크를 병원·보험으로 만든다","베트남과 한국의 자본·의료망을 묶는다","스미스에게 영리병원법 로비와 태양생명 5~10% 지분을 제시한다","박태웅은 공공의료를 돈벌이로 만드는 위험을 지적하고 다윗연합은 미국 풋을 의심한다","백범이 50개 지역병원을 응급·산과·흉부외과 중심으로 짓겠다고 구체화한다","론스타 협력과 의료체인 설계","관계|평판","외국 투기자본도 통제 가능한 사업 파트너로 편입된다","박태웅의 윤리 반발을 직접 풀어야 한다","베트남 산업계획","영리병원 윤리와 전쟁기억","M09","high"
"240","240화","","58590","58815","complete","영리병원 반발을 돈 안 되는 필수과·헬기 구조로 뒤집고 전쟁기억에 절한다","의료 수익과 공공성을 동시에 증명한다","50개 병원에 산과·흉부외과·외상센터·헬기를 두고 주차·장례·보험으로 보전한다","박태웅은 가난한 환자를 버릴 것이라 오해하고 베트남은 한국 자본의 속내를 경계한다","박태웅이 설명을 듣고 사과하며 하노이 전쟁기념비 절을 현지 지도층이 목격한다","측근의 재신뢰와 베트남의 정서적 호감","관계|평판","수익만 보는 재벌 이미지가 필수의료를 교차보조하는 설계자로 갱신된다","위안부상·학교·200억 달러 독배 제안이 이어진다","영리병원 오해","베트남 대형 협정","M09","high"
