sequence,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
123,"N11·러시아 에너지 동맹",7,9,8,0.31,0.17,0.31,0.06,0.15,"올리가르히 해체 지원 범위와 한국 에너지 권리를 교섭해 자원 조건과 푸틴 동맹에 오래 머문다.","L22406-L22595"
124,"N11·장수영 축출 비용",7,9,8,0.16,0.26,0.32,0.19,0.07,"인사권으로 장수영을 밀어내 복수를 지급하지만 김태중의 상실감을 감수해 관계·감정 비용이 크다.","L22596-L22793"
125,"N12·현 건설 부도 시계",6,7,9,0.39,0.14,0.25,0.05,0.17,"디아블로2 실적 뒤 장경준에게 미수금 1조·손실 2조·10월 부도를 제시해 재무 정보와 거래 시간표가 중심이다.","L22794-L22969"
126,"N12·애플 매집·첫 부도",7,6,8,0.29,0.23,0.29,0.05,0.14,"명동 원로에게 애플을 모으게 하고 은행 기회를 약속한 뒤 현 건설 첫 부도를 압박해 정보·동맹이 균형을 이룬다.","L22970-L23156"
127,"N12·최대 채권자 압박",8,7,9,0.25,0.25,0.20,0.05,0.25,"SAVE 달러채권으로 현 건설 생사를 쥐고 최고가 매각·반도체 계약을 강제해 금융 권력과 실행 압박이 높다.","L23157-L23305"
128,"N12·현 총수의 구조 요청",7,7,8,0.23,0.22,0.39,0.10,0.06,"장영주가 다른 총수에게 입찰 포기를 호소하고 김태중에게 살려 달라 청해 재벌 권력관계 역전이 중심이다.","L23306-L23477"
129,"N12·협상 우위 유지",6,6,9,0.36,0.17,0.25,0.04,0.18,"장영주의 반도체 요청에도 서두름을 숨기며 주식 소각·퀄컴 매수를 준비해 전략 정보와 협상 관계가 앞선다.","L23478-L23644"
130,"N12·미 공장·애플 수요처",6,8,8,0.27,0.19,0.30,0.05,0.19,"부시에게 100억 달러 공장을 약속하고 잡스에게 독점 공급을 제시해 정치·수요처 관계와 투자 규모가 크다.","L23645-L23831"
131,"N12·부채 65퍼센트 탕감",7,9,8,0.26,0.20,0.20,0.05,0.29,"아이폰 일정의 조급함을 감춘 채 현 반도체 부채 65퍼센트 탕감을 받아 금융 조건 보상이 높다.","L23832-L24029"
132,"N12·태우반도체 출범",6,9,8,0.22,0.21,0.31,0.05,0.21,"현 반도체 인수를 공식화하고 유석재를 책임자로 세우며 세금 감면을 요구해 인재·조직 지위가 앞선다.","L24030-L24220"
133,"N12·상속과 두 부사장",5,9,8,0.22,0.14,0.38,0.08,0.18,"낮은 주가에 상속을 마치고 유석재·웨이를 공동 부사장으로 세워 승계 자산과 리더십 관계가 중심이다.","L24221-L24408"
134,"N12·아이폰 300만 대",5,10,9,0.16,0.30,0.20,0.08,0.26,"CES 공개와 300만 대 대기 수요·애플 주가 반등이 한꺼번에 터져 제품 행동과 시장 보상이 솟는다.","L24409-L24613"
135,"N12·미국 방패·중국 경로",5,7,8,0.27,0.17,0.38,0.05,0.13,"부시의 공장 약속을 고정하고 쩡홍친을 만나러 가며 미·중 최고위 관계 관리에 오래 머문다.","L24614-L24799"
136,"N12·텐센트 51퍼센트",5,9,8,0.27,0.23,0.28,0.04,0.18,"중국차 성장 확인 뒤 마화명과 51퍼센트 합작을 만들고 게임을 주문해 계약 관계와 모바일 선점이 크다.","L24800-L24980"
137,"N13·김태중 구속 위험",8,5,9,0.33,0.25,0.25,0.13,0.04,"게임 투자 도중 윤현길 수사와 김태중 구속 위험이 터져 공격 시간표 정보와 역공 준비가 중심이다.","L24981-L25166"
138,"N13·다국적 약점 수집",7,7,8,0.37,0.17,0.31,0.08,0.07,"장례식에 모인 푸틴·중국·미국 인맥의 비리 자료를 받아 약한 건부터 흘려 정보·외교 관계가 앞선다.","L25167-L25375"
139,"N13·돈 증거와 이간질 공개",8,7,8,0.27,0.29,0.33,0.07,0.04,"사진·영상·장부로 측근을 빼내고 장영준 메모를 장경준에게 보여 주어 행동과 관계 역공이 크다.","L25376-L25549"
140,"N13·장수영의 퇴로 봉쇄",7,6,8,0.24,0.21,0.42,0.09,0.04,"장경준과 오해를 풀고 축출된 장수영이 희생양을 거부하게 해 배신자 관계의 역설이 중심이다.","L25550-L25727"
141,"N13·윤현길 항복",8,10,8,0.20,0.28,0.30,0.10,0.12,"태우 무혐의를 확인하고 국제 비리 자료로 윤현길을 항복시켜 가족 보호·정치 복수 보상이 절정이다.","L25728-L25921"
142,"N13·김태중의 베트남 퇴진",6,8,9,0.19,0.17,0.41,0.17,0.06,"윤현길을 미끼로 묶고 은퇴하려는 김태중에게 베트남 체류를 허용해 총수권과 조손 감정이 중심이다.","L25922-L26107"
143,"N14·WIPI 외부 압박",7,5,9,0.38,0.23,0.25,0.07,0.07,"통신 카르텔 협상 실패 뒤 데이비드를 미국으로 보내 무역 압박을 설계해 제도 정보와 대응 행동이 앞선다.","L26108-L26283"
144,"N14·301조로 법규 제거",8,9,8,0.26,0.31,0.25,0.06,0.12,"아이폰 흥행·슈퍼 301조·공동성명을 가동해 방송위원회 철회 지시를 받아 정치 행동과 관계 보상이 크다.","L26284-L26459"
145,"N14·카르텔 내부 분열",7,7,8,0.24,0.29,0.37,0.05,0.05,"장경준 정치망과 300만 대 부품계약·일본 대체 압박으로 삼진·CL 내부 이해를 갈라 관계전이 지배한다.","L26460-L26621"
146,"N14·국내 아이폰 길",6,9,8,0.20,0.25,0.26,0.06,0.23,"삼진의 WIPI 철회와 국내 조립비 부담을 받아 판매 길을 열어 계약 행동과 시장 지위 보상이 크다.","L26622-L26781"
147,"N15·10만 대와 와이파이망",5,9,8,0.18,0.31,0.18,0.07,0.26,"아이폰 10만 대 일주일 완판 뒤 500곳 와이파이·충전망을 깔아 제품·인프라 행동이 중심이다.","L26782-L26941"
148,"N15·AI 50대50 합의",5,9,8,0.25,0.16,0.29,0.05,0.25,"전자 주가 회복을 확인하고 잡스와 AI 비용·지분을 절반씩 나눠 기술 정보·동맹·지분이 균형을 이룬다.","L26942-L27105"
149,"N15·TV·태블릿·로봇 제안",5,7,9,0.35,0.20,0.27,0.04,0.14,"애플 TV 70대30 조건과 베조스 로봇 공장을 연달아 제안해 사업 설계 정보와 파트너 관계가 앞선다.","L27106-L27278"
150,"N15·아마존 동맹·WTC 임차",6,8,9,0.22,0.23,0.27,0.05,0.23,"로봇 공동개발과 WTC 99년·32억 달러 임차를 체결해 글로벌 관계와 실물 거점 보상이 크다.","L27279-L27463"
151,"N15·WTC 생존장치",7,7,9,0.27,0.34,0.18,0.10,0.11,"보험·전면 리모델링·입주자 비우기·구조 인력과 장비 배치가 이어져 준비 행동과 위험 정보가 중심이다.","L27464-L27639"
152,"N15·9·11 무사망 구조",10,10,9,0.14,0.39,0.16,0.22,0.09,"9·11 직후 크레인·구조대를 투입해 건물 내부 사망을 막고 붕괴를 통제해 행동·생존 감정이 최고점이다.","L27640-L27823"
153,"N15·제임스 힌톤·미국 방패",6,9,9,0.26,0.16,0.39,0.05,0.14,"토론토대 교수 제임스 힌톤을 영입하고 미국 식당에서 조지 슐츠와 반덤핑 예외·SAVE 보호를 교환해 세계급 인재와 미국 정치 관계가 중심이다.","L27824-L28005"
154,"N16·세이월드 투자 기회",5,7,8,0.30,0.15,0.37,0.07,0.11,"아이폰·스마트TV 실적을 받은 뒤 서광수에게 투자·독립경영을 제안하고 KS 계약 변수를 들어 관계 협상에 머문다.","L28006-L28171"
155,"N16·강탈 계약과 복수 선언",7,6,9,0.31,0.25,0.31,0.09,0.04,"70억 원 계약과 박동희 강압을 확인하고 독자 SNS로 계약을 독으로 만들겠다고 선언해 정보·관계·행동이 팽팽하다.","L28172-L28345"
156,"N16·SNS 조직·카드 임무",6,7,8,0.24,0.25,0.37,0.06,0.08,"태우IT 100명에게 기능과 복지를 나누고 다이먼에게 CL카드를 맡겨 조직 관계와 임무 배치가 중심이다.","L28346-L28515"
157,"N16·마크·삼진 특허 협상",6,8,8,0.24,0.17,0.43,0.05,0.11,"마크를 30퍼센트 장학생으로 묶고 오희건과 핵심특허를 협상해 창업자·경쟁사 관계에 오래 머문다.","L28516-L28676"
158,"N16·기본 앱 생태계",5,8,8,0.32,0.16,0.29,0.04,0.19,"특허료를 낮추는 대신 태우 앱 기본탑재를 얻고 카드 부실을 재확인해 장기 수익 구조 정보가 앞선다.","L28677-L28838"
159,"N16·메신저·숏폼 창업자",5,9,8,0.22,0.17,0.44,0.05,0.12,"임재범과 서문영에게 지분·50억 원을 제시해 메신저·숏폼 핵심 개발자를 묶으므로 인재 관계가 지배한다.","L28839-L29001"
160,"N16·CL카드 금융 포위",7,6,9,0.32,0.30,0.24,0.05,0.09,"10조 원 유동성 문제를 설명하고 명동에 대출 차단·채권 압박을 맡겨 금융 정보와 포위 행동이 중심이다.","L29002-L29175"
161,"N16·CL카드 인수 조건",8,8,8,0.23,0.27,0.31,0.06,0.13,"현금서비스 중단 뒤 2조 원·부채 조건과 정부 탕감을 협상해 채권단 관계와 인수 행동이 앞선다.","L29176-L29348"
162,"N16·카드채 20조 방어",7,8,8,0.27,0.24,0.19,0.05,0.25,"CL카드를 인수하고 숨은 부실 2조·카드채 20조를 태우증권과 추심망으로 버텨 금융 정보·자금 압박이 크다.","L29349-L29514"
163,"N16·월드컵 광고 선점",5,7,8,0.28,0.20,0.27,0.06,0.19,"불법 정치자금을 끊고 대표팀·히딩크·선수 광고권을 미리 잠가 계약 정보와 브랜드 관계가 중심이다.","L29515-L29678"
164,"N16·BIS 조작 폭로",8,8,9,0.29,0.31,0.22,0.07,0.11,"이일석 증언을 감사원·청와대 수사로 연결해 론스타 매각판을 깨고 CES를 준비해 정보·행동 압박이 높다.","L29679-L29858"
165,"N16·스마트TV·은행 내부선",6,8,8,0.18,0.27,0.34,0.05,0.16,"CES 공동제품 공개와 이수현 회유를 병행해 발표 행동과 외환은행 내부 관계가 앞선다.","L29859-L30047"
166,"N16·외환은행 1조5천억",7,10,9,0.16,0.25,0.22,0.06,0.31,"다이먼이 1조5천억 원으로 론스타를 누르고 외환은행·글로벌 결제거점을 얻어 소유·지위 보상이 절정이다.","L30048-L30224"
167,"N17·천민정 구출",7,7,9,0.26,0.29,0.30,0.11,0.04,"S급 천민정을 채용자료에서 찾아 술집 위험에서 즉시 구하고 영입해 추적 행동과 보호 관계가 중심이다.","L30225-L30423"
168,"N17·검사 가족 제압",8,9,8,0.16,0.32,0.34,0.13,0.05,"강 대위·검찰 인맥으로 가해 검사 가족을 눌러 아들을 해외로 보내 천민정 가족 보호가 실제 권력으로 지급된다.","L30424-L30612"
169,"N17·비트코인 극비팀",5,8,8,0.36,0.19,0.33,0.05,0.07,"천민정·암호학자에게 채굴·분산장부 구조를 설명하고 극비팀을 시작해 기술 정보와 인재 관계가 지배한다.","L30613-L30819"
170,"N17·월드컵 8강 광고",6,9,8,0.17,0.35,0.19,0.19,0.10,"대표팀 승리와 실시간 광고·붉은 응원단이 함께 폭발해 대중 행동과 전국적 감정 보상이 높다.","L30820-L31015"
171,"N17·4강·가족빚 지급",5,9,8,0.15,0.18,0.34,0.22,0.11,"4강 광고를 결산하고 천민정 부친의 사채를 정리해 회사가 가족 안전망이 되는 관계·감정 보상이 크다.","L31016-L31200"
172,"N17·개인화 AI 제품화",5,8,8,0.36,0.19,0.32,0.05,0.08,"밤샘 통화로 추천·광고·푸시 알고리즘을 제품화해 AI 정보와 민재·천민정 협업 관계에 오래 머문다.","L31201-L31388"
173,"N17·구태 임원 축출",6,7,8,0.22,0.28,0.38,0.08,0.04,"서정준을 내친 안상수와 임원을 조사해 베트남으로 보내고 젊은 인재를 살려 조직 관계 변화가 중심이다.","L31389-L31569"
174,"N17·열애 오해 해소",4,8,8,0.17,0.13,0.42,0.24,0.04,"천민정에게 열애설 상대가 자신임을 밝혀 불안을 풀고 코코아톡 금융안을 받아 관계·감정 체류가 가장 길다.","L31570-L31756"
175,"N17·무료 SNS·데이터센터",5,8,8,0.34,0.20,0.22,0.05,0.19,"페이스북·코코아톡 무료 출시와 5천억~1조 원 데이터센터 입지를 설계해 플랫폼 정보·실물 규모가 앞선다.","L31757-L31915"
176,"N17·세이월드 복수 지급",6,10,8,0.15,0.26,0.40,0.11,0.08,"서광수와 핵심 직원을 페이스북으로 되찾아 박동희 강탈을 독으로 만들므로 관계 회수와 복수 보상이 절정이다.","L31916-L32080"
177,"N18·가족 허락",4,9,8,0.14,0.11,0.43,0.27,0.05,"김태중이 천민정의 배경을 따지지 않고 손자 곁을 허락해 새 가족 수용의 관계·감정 보상이 회차를 지배한다.","L32081-L32276"
178,"N18·페이팔·머스크",6,9,9,0.23,0.19,0.37,0.05,0.16,"20억 달러로 페이팔을 사고 머스크와 직접 만나 전기차·에너지·우주 동맹을 열어 인재 관계와 자산이 크다.","L32277-L32455"
179,"N18·100억 달러 미래 투자",6,8,8,0.28,0.17,0.28,0.04,0.23,"머스크에게 100억 달러 장기 투자를 약속하고 페이팔을 코코아톡 은행과 결합해 금융 구조·자산이 앞선다.","L32456-L32617"
180,"N18·IIT 교육 거점 구상",5,7,9,0.42,0.14,0.27,0.05,0.12,"힌톤 교수진과 IIT 한국 캠퍼스로 장기 인재 공급을 설계해 교육 정보와 제도 구상이 중심이다.","L32618-L32797"
181,"N18·정치자금 전면수사",8,8,9,0.27,0.29,0.32,0.07,0.05,"KS 불법자금을 조사하고 검찰총장 라인으로 재벌 수사를 점화해 정치 행동과 권력관계가 팽팽하다.","L32798-L32963"
182,"N18·KS 증거·SNS 복수",8,10,8,0.20,0.32,0.30,0.11,0.07,"100억 원이 넘는 정치자금과 총 2천억 원 비자금·현금차량 사진을 넘기고 세이월드 몰락을 확인해 행동·복수 보상이 크다.","L32964-L33126"
183,"N18·틱탁톡 비밀 개발",5,7,8,0.35,0.17,0.32,0.05,0.11,"깨끗한 태우의 위치를 굳힌 뒤 서문영 팀에 숏폼 SNS를 맡겨 기술 정보와 인재 협업에 머문다.","L33127-L33294"
184,"N18·비트코인 실사용",5,8,9,0.31,0.24,0.26,0.04,0.15,"게임 아이템·국경 없는 결제로 비트코인 첫 수요를 만들고 WWDC로 가 기술 정보와 생태계 행동이 앞선다.","L33295-L33460"
185,"N18·WWDC 통합 시연",6,10,9,0.18,0.37,0.21,0.08,0.16,"시리·가전 IoT·자동차 원격 시동을 세계 무대에서 실시간 시연해 공개 행동과 기업 지위 보상이 솟는다.","L33461-L33664"
186,"N18·이어폰·시계 선행기획",4,9,8,0.34,0.15,0.32,0.04,0.15,"잡스와 노이즈캔슬링 이어폰·건강·지도·음성 시계를 기획해 기술 정보와 공동개발 관계가 중심이다.","L33665-L33838"
187,"N19·품절과 생산 병목",6,8,9,0.29,0.26,0.23,0.07,0.15,"세계 주문 폭증을 확인하고 우성일에게 책임을 물어 베트남·인도 증설을 지시해 생산 정보·행동 압박이 앞선다.","L33839-L34048"
188,"N19·인도 공장·IIT 거래",6,8,8,0.32,0.16,0.39,0.04,0.09,"미모안 싱에게 공장·선거 지원과 IIT 캠퍼스를 교환해 국제 정치 관계와 협상 정보에 오래 머문다.","L34049-L34214"
189,"N19·허준·허황후 여론전",5,7,8,0.38,0.22,0.24,0.08,0.08,"허준·허황후 다큐와 한류 캠페인으로 IIT 여론을 만들고 아노르 협업을 타진해 문화 전략 정보가 중심이다.","L34215-L34387"
190,"N19·델핀 신뢰",5,8,8,0.25,0.17,0.43,0.10,0.05,"델핀에게 미래 가전·AI를 보여 주고 중국 허가를 해결해 가문 파트너·혼인 후보 관계가 부각된다.","L34388-L34604"
191,"N19·아노르 지급·정치 훅",6,9,10,0.31,0.13,0.29,0.12,0.15,"아노르 유통·협업과 태우 청렴을 확인한 뒤 독자 정치세력 필요가 명시돼 결산 정보와 다음 훅이 강하다.","L34605-L34776"
192,"N20·교섭단체 목표·민우 위험",7,5,10,0.33,0.17,0.29,0.17,0.04,"30명 정치연합을 설계하는 중 민우 학교폭력 보고가 들어와 제도 정보와 직원 가족 보호 감정이 겹친다.","L34777-L34942"
193,"N20·학교 구출·증거",8,6,8,0.24,0.34,0.25,0.13,0.04,"경호원을 보내 민우를 구하고 추영택의 폭행·교사 묵인을 모아 현장 행동과 권력 배후 정보가 중심이다.","L34943-L35136"
194,"N20·학부모 회의 보호",8,7,9,0.18,0.30,0.35,0.14,0.03,"민재가 학부모 회의에 나타나 학교·동문·검찰선을 움직여 공개 보호 행동과 권력관계 대결이 크다.","L35137-L35343"
195,"N20·사과·전학 지급",8,10,8,0.12,0.31,0.38,0.15,0.04,"화원정밀 거래를 끊고 검사 상급자를 압박해 무릎 사과·전학을 받아 천민정의 신뢰와 보호 보상이 절정이다.","L35344-L35519"
196,"N20·딥러닝·정치방벽 확장",6,8,9,0.36,0.14,0.37,0.07,0.06,"딥러닝·부산 데이터센터·최재석 정당을 연결하고 김태중이 위험을 나눠 기술 정보와 정치 관계가 중심이다.","L35520-L35684"
197,"N20·국민경제당 원칙",5,8,8,0.24,0.14,0.50,0.06,0.06,"김태중이 최재석에게 깨끗한 의원 50명과 국가사업 지원 원칙을 맡겨 조부·정치 지도자 관계가 지배한다.","L35685-L35841"
198,"N20·데이터센터·태우상사",6,7,8,0.35,0.19,0.24,0.05,0.17,"부산 데이터센터·정책팀을 붙이고 태우상사를 원자재 회사로 바꿔 조직 설계 정보가 가장 크다.","L35842-L36008"
199,"N20·광산·경제공약",6,7,9,0.31,0.25,0.22,0.05,0.17,"리튬·코발트·니켈 광산 매입과 미국 선거 전문가·경제공약을 동시에 지시해 정보·실행이 앞선다.","L36009-L36165"
200,"N20·글로벌 영상협상 미결",6,7,9,0.32,0.18,0.35,0.05,0.10,"CES 가전 지급 뒤 김익수에게 수천억 원 글로벌 영상 연합을 제시하고 답을 남겨 사업 정보·협상 관계와 훅이 크다.","L36166-L36346"
