sequence,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
539,연합전선 결속·현금 축적,6,7,8,0.31,0.22,0.16,0.08,0.23,한중러 공세를 굳히고 러시아 전쟁·가짜 팹을 살 달러와 현금을 쌓는 대비 회차다,L94125-L94313
540,산업 결산·신종병 발화,7,8,10,0.29,0.19,0.16,0.13,0.23,김정권 소재 성과와 HBM·양자·AI 투자 결정을 정리하다 우한 신종병 정보로 긴장이 바뀐다,L94314-L94486
541,감염 발견·전면 대응 개시,10,6,10,0.39,0.29,0.09,0.18,0.05,이동수 의료진의 병원 데이터로 신종 코로나를 알아채고 백신·진단 개발을 즉시 여는 정보 봉우리다,L94487-L94679
542,방역 체계 가동·조직 전환,9,6,9,0.26,0.38,0.11,0.16,0.09,우한 병원 격리와 그룹 원격근무·메타버스 체계를 한꺼번에 까는 생존 행동이 지배한다,L94680-L94849
543,다중 충격 대비·물량 확대,9,6,9,0.22,0.40,0.09,0.17,0.12,귀국 의료진 격리·공매도·마스크 원료·무인택시를 최대치로 올리는 전면 대비 행동이다,L94850-L95015
544,진단 돌파·국가 투입,8,9,9,0.21,0.27,0.29,0.16,0.07,자가진단키트 성공을 최재석에게 알리고 국가 검역에 투입해 정부 신뢰와 실행이 중심이다,L95016-L95182
545,정상 압박·생존선 수호,9,7,9,0.24,0.18,0.36,0.17,0.05,리강천의 검역 완화 압박을 최재석이 거부해 경제보다 생존을 택하는 정상관계 장면이다,L95183-L95364
546,공식 발화·첫 환자 포착,9,9,9,0.18,0.33,0.15,0.24,0.10,공식 보도와 동시에 한국이 첫 환자를 잡고 마스크 가격을 통제해 행동·충격이 크게 솟는다,L95365-L95529
547,내부 배신·물량 위기,9,5,9,0.15,0.38,0.13,0.27,0.07,민동규의 마스크 100만 장 빼돌리기를 현장에서 적발해 내부 배신 행동과 분노가 강하다,L95530-L95717
548,배신 처벌·중국 진입,8,8,8,0.18,0.29,0.22,0.14,0.17,유출선을 처벌하고 센트리언 키트의 중국 승인·수출을 성사시켜 행동과 외교관계가 높다,L95718-L95886
549,세계 주문 폭발·공급자 승격,6,10,7,0.16,0.16,0.21,0.11,0.36,미국이 3억 개 뒤 추가 6억 개 키트·마스크를 주문해 공급자 지위와 매출 보상이 폭발한다,L95887-L96065
550,IP 방어·일본 카드 준비,8,7,9,0.29,0.13,0.34,0.10,0.14,리강의 기술·IP 요구를 거절하고 백신을 일본 항복 카드로 묶는 국가관계 협상이다,L96066-L96235
551,봉쇄 확대·공급망 장악,9,8,9,0.29,0.27,0.12,0.18,0.14,우한 봉쇄와 WHO 지연을 확인하며 월 10억 장 마스크·KF94 공급망을 실제로 가동한다,L96236-L96405
552,정치 불신·경주마 재검토,8,4,9,0.30,0.12,0.25,0.25,0.08,바이러스를 경시하는 트럼프를 보며 생존정책을 위해 경주마를 바꿀지 고민하는 정치 긴장 회차다,L96406-L96580
553,구조 준비·출항 직전,9,5,10,0.23,0.42,0.13,0.17,0.05,WHO 선언 직후 선박·음압텐트·검사팀을 배치해 크루즈 승객 구조를 준비하는 행동이 지배한다,L96581-L96746
554,구조 실행·유가전 병렬화,9,6,9,0.21,0.41,0.09,0.18,0.11,구조선을 출항시키는 동시에 사우디·러시아 유가전쟁 숏을 유지해 두 실행선이 빠르게 교차한다,L96747-L96944
555,인명 구조 결산·백신 약속,9,10,9,0.13,0.28,0.24,0.27,0.08,크루즈 승객 300명을 무사히 구하고 최재석과 거리두기·백신을 약속해 안도와 국가 신뢰가 높다,L96945-L97147
556,시장 폭락·포지션 작동,9,8,9,0.26,0.35,0.09,0.16,0.14,AI 예측에 맞춰 금융타워·국민연금 포지션을 조정하고 다우 급락을 저점 기회로 바꾼다,L97148-L97327
557,집단감염 차단·체계 증명,10,9,9,0.18,0.43,0.10,0.24,0.05,원격근무를 실전 가동하고 종교단체 SNS를 해킹해 대규모 집회를 막는 생존 행동 봉우리다,L97328-L97505
558,유가전 격화·숏 우위,9,8,9,0.29,0.31,0.13,0.14,0.13,감산 실패와 빈 살만의 증산 결정을 읽고 유가 붕괴 포지션을 유지해 정보·금융 행동이 크다,L97506-L97678
559,백신 한계·윤리 제동,8,5,9,0.27,0.12,0.24,0.30,0.07,백신이 중증만 막는 한계와 이영한의 약탈적 대출욕을 마주해 실망·윤리 갈등이 중심이다,L97679-L97865
560,저점 수확·정치선 전환,9,8,9,0.25,0.26,0.12,0.17,0.20,서킷브레이커 뒤 자산을 저점매수하고 트럼프·바이든을 비교해 금융 행동과 정치 전환이 맞선다,L97866-L98046
561,금융 생환·미국선 진입,8,8,9,0.29,0.22,0.19,0.17,0.13,공매도 80퍼센트를 청산하고 제2 금융타워를 세운 뒤 트럼프의 백신 회의론을 확인한다,L98047-L98227
562,현직 회수·차기권력 접촉,6,8,8,0.20,0.16,0.35,0.09,0.20,트럼프에게 400억 달러 원유자산 재매입을 얻고 데이비드에게 바이든 접촉을 맡기는 양면 관계전이다,L98228-L98402
563,부양책 선점·물류 비축,5,7,8,0.27,0.25,0.09,0.06,0.33,나스닥·선박·컨테이너를 부양책 전에 사들여 헬리콥터 머니의 물질 상승을 준비한다,L98403-L98564
564,석유 협상·백신 의무화 요구,8,6,9,0.21,0.17,0.35,0.10,0.17,엑슨 자산을 흥정하고 바이든·오바마에게 백신 의무화를 요구해 정치관계 협상이 중심이다,L98565-L98760
565,경주마 전환·양면관계 유지,6,9,7,0.18,0.12,0.39,0.17,0.14,바이든의 조건부 의무화 약속을 받고도 트럼프 선을 지켜 두 진영과의 신뢰 조율이 지배한다,L98761-L98946
566,국가산업 재배치·허브 준비,5,7,7,0.30,0.20,0.17,0.08,0.25,대통령 회의에서 원전·레거시칩·모든 선박 매입을 묶어 팬데믹 뒤 산업지도를 설계한다,L98947-L99104
567,일본 압박·G7 조건 설계,6,6,8,0.28,0.12,0.38,0.11,0.11,최재석과 일본 의료봉쇄·개도국 백신·한국 G7 진입을 거래 묶음으로 맞추는 정치관계 회차다,L99105-L99284
568,구조 요청·외교 협상 진입,8,5,9,0.22,0.12,0.36,0.20,0.10,일본 의료붕괴의 비밀 요청을 받고 호주 회담에서 G7 지지를 요구하기로 해 관계 긴장이 높다,L99285-L99462
569,20조엔 제안·답변 대기,8,6,9,0.18,0.12,0.36,0.08,0.26,손정우·다이키요에게 의료물자와 20조 엔 자산 인수를 내걸어 외교관계와 거래 규모가 중심이다,L99463-L99633
570,한일 합의·FDA 결산,8,10,9,0.12,0.14,0.24,0.19,0.31,일본의 조건 수락과 FDA 승인 연락이 겹쳐 한일 의료전의 감정·지위·자산 보상이 솟는다,L99634-L99819
571,승인 후 배분·국가브랜드 상승,7,9,9,0.19,0.30,0.17,0.14,0.20,한국·미국 승인 뒤 백신을 일본과 세계로 보내 실제 배분 행동과 제약사 지위가 앞선다,L99820-L99993
572,마이너스 유가 결전·수익 지급,10,10,9,0.19,0.37,0.06,0.17,0.21,WTI가 마이너스로 무너질 때 원유와 돈을 받고 곧바로 롱 전환하는 금융 행동 봉우리다,L99994-L100194
573,중국 합작·기술 방어,8,8,8,0.24,0.12,0.36,0.09,0.19,베이징에서 리강과 80대20 합작·파벌 안전을 교환해 기술을 지키는 관계 협상이 중심이다,L100195-L100359
574,포트폴리오 점검·아프리카 설계,4,6,7,0.36,0.17,0.13,0.07,0.27,무인택시·HBM·슈퍼앱을 점검하고 아프리카 광물 협상안을 짜는 포트폴리오 숨 고르기다,L100360-L100529
575,자원 외교·장기권 지급,7,8,8,0.20,0.15,0.31,0.12,0.22,아프리카연합에 인프라·백신을 주고 장기 광물권을 받는 국가관계와 전략자산 거래다,L100530-L100709
576,EU 봉쇄·여론 역공,9,6,9,0.25,0.30,0.19,0.16,0.10,EU 수출봉쇄에 아프리카 규탄과 충전·독점규제 압박으로 되받아치는 외교 행동이 강하다,L100710-L100879
577,유럽 합의·개미전 예고,7,9,8,0.20,0.13,0.32,0.08,0.27,EU 1달러 위탁생산으로 생산비를 넘기고 시장·정책 호의를 얻는 협상 결산이다,L100880-L101041
578,유가 후일담·대중전 점화,6,7,9,0.28,0.18,0.22,0.12,0.20,OPEC 감산의 짧은 유가 후일담 뒤 베릴을 개인투자자 영웅으로 세울 서사·시장 전략을 연다,L101042-L101213
579,캠페인 실행·매수 확산,7,7,8,0.21,0.29,0.18,0.13,0.19,게임스핀 300만 주를 베릴 캠페인에 붙여 소액투자자 매수를 실제 시장 행동으로 키운다,L101214-L101381
580,국제지위 요구·시장세력 성장,5,7,8,0.24,0.12,0.26,0.13,0.25,한국의 독립된 G8·G9 지위를 요구하는 외교선과 베릴 성장 보상이 병렬로 놓인다,L101382-L101561
581,개미전 확대·실적 확인,8,8,9,0.19,0.32,0.14,0.18,0.17,베릴 100만 구독자와 게임스핀 8달러 상승으로 개미 반란이 실제 시장사건이 된다,L101562-L101723
582,국내동맹 보상·결전 전야,5,7,9,0.20,0.17,0.33,0.08,0.22,오용재에게 불리한 백신 위탁을 맡기고 레거시칩 정보를 보상해 국내 동맹관계가 중심이다,L101724-L101897
583,게임스핀 결전·영웅 지급,10,10,9,0.13,0.43,0.08,0.24,0.12,게임스핀 200~370달러 급등과 매수 제한 속 한국 개미까지 합류해 시장전투가 최고조다,L101898-L102092
584,시장 후일담·낸드 전환,7,7,9,0.36,0.17,0.13,0.08,0.26,3억 명 접종과 변이 표본을 점검한 뒤 미국 칩 규제로 인텔 낸드를 노리는 전략 전환 회차다,L102093-L102272
585,규제 유예·낸드 계약,7,9,8,0.22,0.13,0.31,0.07,0.27,바이든의 중국 팹 4년 유예와 인텔 낸드 75억 달러를 맞바꾸는 정책관계·자산 협상이다,L102273-L102428
586,전기차 동맹·표준 확장,5,8,7,0.24,0.16,0.34,0.07,0.19,머스크와 미국·EU·한국 전기차 동맹과 T 충전표준을 만들어 기업관계가 시장규칙이 된다,L102429-L102578
587,AI 인프라 설계·대규모 투자,4,6,7,0.37,0.17,0.12,0.06,0.28,NAND를 AI 저장장치로 재정의하고 60~70조 데이터센터를 승인해 기술설명과 투자비가 크다,L102579-L102728
588,제약 결산·장비 재배치,5,8,8,0.35,0.20,0.12,0.07,0.26,센트리언 실적·변이백신·병원AI를 점검하고 중국 유휴 장비를 해외 팹으로 돌린다,L102729-L102918
589,북한 변수 재점화·비밀 요청,8,5,9,0.30,0.13,0.31,0.19,0.07,CIA의 북한 백신 요청을 받으며 과거 살린 장남의 생존선과 정치 파장을 조심스럽게 탐색한다,L102919-L103092
590,가짜사업 환수·설비 지급,8,8,8,0.22,0.34,0.09,0.11,0.24,이준수가 중국 보조금 팹 장비를 암호화폐로 넘기게 해 가짜사업을 실제 설비로 회수한다,L103093-L103264
591,선거 우위·G7 협상 개시,5,6,8,0.32,0.11,0.28,0.10,0.19,최재석 우세·연기된 G7·EU 차량용칩 요구를 읽어 국가 위상 협상판을 여는 정보 회차다,L103265-L103426
592,산업동맹 결성·가입권 지급,7,8,8,0.24,0.13,0.36,0.07,0.20,유럽·미국·한국 기업을 GDC로 묶고 칩·배터리·충전망을 조건부 공급해 동맹관계가 지배한다,L103427-L103586
593,G7플러스 결산·국가 승격,7,10,8,0.18,0.12,0.25,0.19,0.26,G7 화상회의에서 한국·호주의 G7+ 가입이 확정돼 외교 신뢰와 국제 지위 보상이 높다,L103587-L103760
594,재선 결산·관계 휴식,3,10,6,0.12,0.08,0.37,0.30,0.13,최재석 재선과 G7+를 가족 식사처럼 축하하며 원전·연금의 다음 부탁을 나누는 정서적 휴식이다,L103761-L103927
595,성과 회수·미래기술 재투자,5,8,9,0.33,0.15,0.12,0.08,0.32,태우상사 흑자·치료제 승인 뒤 양자·AI에 50조 이상을 넣어 성과를 미래자본으로 바꾼다,L103928-L104106
596,제약로비 발화·무료약 반격,8,6,9,0.25,0.24,0.15,0.26,0.10,특허를 노리는 제약로비에 SMA 치료제 무료 공급으로 맞서 생명구호 감정과 여론 행동이 크다,L104107-L104260
597,환자 여론전·협회 굴복,9,7,9,0.19,0.28,0.22,0.25,0.06,환자 가족과 SNS 여론이 제약협회를 몰아붙여 행동·관계·연민이 함께 상승한다,L104261-L104422
598,제도권 계약·미국대선 예고,7,9,9,0.23,0.11,0.36,0.07,0.23,스티븐 허블과 해외 공장·필수약 아시아권·무료약 비용을 교환해 제도권 협상이 중심이다,L104423-L104592
599,정권이양 위기·패자 진정,9,7,9,0.17,0.15,0.37,0.25,0.06,패배한 트럼프의 분노를 달래 소송·폭동을 막고 차기 선까지 살리는 관계·감정 회차다,L104593-L104768
600,새 정부 협상·전쟁 대비 개방,8,7,10,0.30,0.14,0.31,0.08,0.17,바이든에게 가이아나 무기·유전·100억 달러 금융을 제안하고 반도체·러시아 감시를 연다,L104769-L104942
