sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"138","ⓚ남자의 길 138화","33. SGL","16464","16601","푸틴은 미국 자본을 막았고 SGL에는 50억달러가 비어 있다.","강혁이 한국 국민연금을 상대로 국가급 자금을 끌어낸다.","차기호를 움직여 장기 저리 자금 50억달러를 확보한다.","서울에서 차기호에게 10년 만기 투자를 제안하고 200억원 대가 중 100억원을 먼저 건넨다.","국민연금 돈을 러시아 가스관에 넣는 정치적 부담과 실패 시 책임이 크다.","고수익·정부 관계·현금 대가가 맞물리며 차기호가 내부 승인을 밀기로 한다.","SGL 금융 조달의 결정적 창구가 열린다.","자금·권력","러시아 마피아 구상이 한국 공적 연기금이 참여하는 국제 사업으로 격상된다.","국민연금 5퍼센트 승인과 푸틴 최종 재가가 남는다.","비미국 자금원 탐색","국민연금 투자 승인","M05 레드 마피아 전쟁을 SGL 동업으로 바꾸고 푸틴과 한중일을 움직이다","high"
"139","ⓚ남자의 길 139화","","16602","16700","차기호가 국민연금 투자를 밀고 있지만 실제 심의와 러시아 최종 승인은 끝나지 않았다.","자금과 대통령 재가가 동시에 떨어지며 강혁이 공개 인물로 부상한다.","50억달러와 푸틴 승인을 확정하고 배관 노선 경쟁을 관리한다.","국민연금 5퍼센트 수익 조건을 성사시키고 언론 인터뷰를 감수한 뒤 러시아와 협상을 마친다.","공적 자금 논란과 중국·일본의 노선 유치전이 사업을 흔든다.","푸틴이 최종 승인하자 중국의 천위창과 일본 측이 막대한 지원을 들고 접근한다.","SGL 착공 조건이 갖춰지고 강혁은 국제 에너지 사업가로 알려진다.","지위·사업","비밀 세계의 인물이 공개 경제 기사와 국가 협상장에 등장하는 회장이 된다.","중국과 일본 중 어느 노선을 택할지 압박이 시작된다.","국민연금·푸틴 승인","중일 노선 경쟁","M05 레드 마피아 전쟁을 SGL 동업으로 바꾸고 푸틴과 한중일을 움직이다","high"
"140","ⓚ남자의 길 140화","","16701","16815","SGL은 승인됐고 중국과 일본이 자국 경유 노선을 놓고 경쟁한다.","국가 제안 뒤의 개인 돈까지 드러나는 협상전이 벌어진다.","양국의 최대 조건을 끌어내되 원래 노선 주도권은 놓치지 않는다.","천위창에게서 중국 정부 20억달러 지원과 개인 10억달러 리베이트 제안을 받고 일본 요시히로의 15억달러 무이자 조건을 재협상시킨다.","한쪽을 택하면 다른 시장과 외교관계를 잃고 뇌물은 폭로 위험이 있다.","강혁은 일본에 중국 조건을 넘어서라고 요구해 공개 지원과 뒷돈 경쟁을 격화시킨다.","두 나라가 스스로 조건을 끌어올리는 경매 구도가 만들어진다.","협상·권력","자금 부족 사업이 중국과 일본이 돈을 얹어 유치하는 우위 협상으로 뒤집힌다.","일본의 최종 제안과 강혁의 실제 노선 선택이 남는다.","중국 제안 파악","일본 최종 조건과 노선 결정","M05 레드 마피아 전쟁을 SGL 동업으로 바꾸고 푸틴과 한중일을 움직이다","high"
"141","ⓚ남자의 길 141화","","16816","16941","중국은 20억달러 지원과 10억달러 뒷돈을 제시했고 일본은 이를 넘어야 한다.","가장 큰 제안을 받아도 강혁은 처음부터 정한 러시아 북쪽 노선을 지킨다.","지원금을 최대화하고 SGL의 전략적 독립성을 유지한다.","일본의 23억달러 무상지원과 15억달러 리베이트를 끌어낸 뒤 푸틴과 맞춰 러시아 전용 북부 노선을 확정한다.","중일 양국을 속였다는 반발과 푸틴의 감시, 동업자들의 분배 갈등이 잠재한다.","노선 경쟁은 자금만 받아내기 위한 협상 수단이었음이 드러난다.","15억달러를 세 동업자가 나누고 12억달러를 사업 지원금으로 남긴다.","결산·진로","SGL은 외국 경유 사업이 아니라 러시아 내륙 기간망으로 정체성이 확정된다.","확대된 러시아 조직과 북한 접촉이 새 국면을 연다.","중일 노선 경쟁과 SGL 자금","북한 마약·위조담배 거래","M05 레드 마피아 전쟁을 SGL 동업으로 바꾸고 푸틴과 한중일을 움직이다","high"
"142","ⓚ남자의 길 142화","34. 접촉","16942","17050","러시아 조직은 정식 500명과 주변 1200명 규모로 커졌고 강혁은 200명을 더 보강한다.","국가 사업 뒤 곧바로 북한 국경의 거친 현물 거래가 열린다.","두만강 접선에서 마약 공급 조건을 자신에게 유리하게 정한다.","문성철 대좌를 만나 300kg씩 세 차례 보내겠다는 북한 제안을 검토하고 가격·물량 주도권을 요구한다.","북한은 외화가 급하고 군 장교는 강혁을 하급 거래상처럼 다룬다.","강혁은 마약만이 아니라 북한이 더 안정적으로 벌 수 있는 위조담배 사업을 꺼낸다.","북한과 직접 협상하는 창구를 얻고 거래 범위를 넓힐 여지가 생긴다.","거래·대결","국제 사업가의 국면이 두만강 현장 협상과 권위 충돌로 급전환된다.","문성철의 태도와 39호실 임병석의 7000만달러 요구를 다뤄야 한다.","러시아 조직 재편","북한 마약·위조담배 계약","M06 문성철과 맞서 북한 마약 거래를 가짜 담배로 바꾸다","high"
"143","ⓚ남자의 길 143화","","17051","17158","북한은 300kg 단위 마약 공급을 제시했고 강혁은 거래 조건을 되받아친다.","박종석을 업신여긴 북한 장교가 강혁의 의리 기준과 충돌한다.","가격·물량을 확정하고 위조담배까지 묶되 부하의 체면을 지킨다.","판매량과 단가를 직접 정하고 국정원 도민성의 USB 정보로 39호실 임병석의 7000만달러 필요를 계산해 담배안을 제시한다.","문성철은 박종석을 탈북자라 모욕하고 북한 측은 급전 때문에 무리한 조건을 낼 수 있다.","강혁은 거래보다 부하 모욕을 먼저 문제 삼아 문성철에게 선을 넘지 말라고 경고한다.","협상의 주도권과 박종석의 확고한 충성을 함께 얻는다.","의리·협상","박종석은 용병이 아니라 강혁이 공개적으로 보호하는 자기 사람이 된다.","1억달러 마약·8000만달러 담배 계약을 최종 닫아야 한다.","북한 수요와 39호실 자금 사정 파악","문성철 사과·대형 거래 확정","M06 문성철과 맞서 북한 마약 거래를 가짜 담배로 바꾸다","high"
"144","ⓚ남자의 길 144화","","17159","17292","문성철과 힘겨루기는 끝났고 북한은 외화가 급하다.","거친 거래가 부하 칭찬과 어머니·수영의 일상으로 부드럽게 결산된다.","북한 계약을 확정하고 한국의 가족·연인 자리로 돌아간다.","마약 1억달러와 위조담배 8000만달러 거래를 성사시키고 박종석을 치하한 뒤 귀국해 어머니를 만나고 수영에게 선물을 건넨다.","불법 거래의 위험과 러시아·한국을 오가는 이중생활이 관계에 부담을 준다.","강혁은 부하의 체면을 지킨 결과 충성을 얻고 수영과 평범한 데이트를 이어간다.","북한 거래가 닫히고 가족·연인 관계의 온기가 회복된다.","관계·결산","국경 협상가가 아들과 연인의 목소리로 돌아오며 다음 국내 사업 국면을 맞는다.","미리내 유통·대호가드의 공개 경영 문제가 기다린다.","북한 마약·위조담배 계약과 문성철 갈등","국내 기업 결산과 공개 회장 역할","M06 문성철과 맞서 북한 마약 거래를 가짜 담배로 바꾸다","high"
"145","ⓚ남자의 길 145화","","17293","17406","강혁은 귀국해 수영과 만났고 국내 기업의 연간 성과를 점검해야 한다.","연애의 선물과 회사 숫자가 같은 삶의 결산 안에 놓인다.","수영과 관계를 다지고 미리내 유통·대호가드의 성장 방향을 정한다.","수영에게 가방을 선물하고 데이트한 뒤 매출 1250억원·순익 150억원의 미리내에 50억원 보너스를 지시하고 대호가드가 시큐리티테크를 인수하게 한다.","대호가드는 매출 520억원에도 순익 1억원뿐이고 인수 회사 부채 70억원까지 떠안는다.","강혁은 단기 수익보다 300개 카페와 보안 기술·인력을 미래 기반으로 본다.","직원 보상과 시큐리티테크 65퍼센트 지분, 100억원 증자 계획이 확정된다.","관계·경영","사적 연애와 공개 경영이 함께 굴러가는 회장으로 삶의 폭이 넓어진다.","차문호의 행사와 발크가 가져올 미국 압박이 예고된다.","귀국 후 수영 선물","대호가드 기술 인수와 SGL 미국 반응","M07 공개 회장으로 국내 기업을 결산하고 SGL 원칙을 지키다","high"
"146","ⓚ남자의 길 146화","","17407","17518","국내 기업은 성장하지만 SGL이 러시아를 강화한다는 미국의 불만이 커진다.","강혁이 재벌과 CIA 양쪽의 압박에도 동등한 사업가 목소리를 낸다.","SGL 시공 배분은 공정하게 검토하고 미국에는 종속 관계가 아님을 밝힌다.","미래·대주 측 요청을 조건대로 비교하겠다고 답하고 발크에게 메코맥의 반대에도 SGL은 포기하지 않는다고 말한다.","국내 대기업 청탁과 CIA의 영향력은 공개 사업을 흔들 수 있다.","강혁은 자신을 CIA 하청이 아니라 거래 대가를 주고받는 동등한 파트너로 규정한다.","SGL에 대한 자기 결정권과 국내 경영 원칙을 지킨다.","진로·자존","강혁의 공개 경영인 정체성이 외세와 재벌 앞에서도 독립적인 원칙으로 굳어진다.","한성 건설을 이용한 백민용의 마약 밀수가 국내 영토를 침범한다.","SGL 외압에 대한 입장","백민용 밀수·주가조작 사건","M07 공개 회장으로 국내 기업을 결산하고 SGL 원칙을 지키다","high"
"147","ⓚ남자의 길 147화","","17519","17645","강혁이 공개 사업에 집중하는 틈에 백민용이 한성건설 물류망을 범죄에 쓴다.","국내 재벌 2세의 탐욕이 강혁의 사업·조직 영토를 동시에 건드린다.","한성건설 컨테이너 밀수의 규모와 책임자를 파악한다.","마포 식구와 결탁한 백민용이 중국 컨테이너와 인천 보세창고로 마약을 들여와 회당 20억원을 번 경로를 추적한다.","합법 대기업 물류를 이용해 증거가 감춰지고 백민용은 돈과 집안 배경을 믿는다.","밀수가 강혁의 인천 세력권에서 월 80억원 규모로 벌어졌음이 드러난다.","응징할 명분과 구체적인 돈길을 확보한다.","영토·대결","외부 조직전이 국내 재벌 범죄를 합법·금융 수단으로 되받는 싸움으로 이동한다.","백민용이 전 재산을 건 주가조작을 시작한다.","한성건설 밀수망 발견","백민용의 광성 솔라텍 작전","M08 백민용의 주가조작과 밀수를 역으로 삼켜 미리내 솔라텍을 세우다","high"
"148","ⓚ남자의 길 148화","35. 작전","17646","17774","백민용의 밀수와 주가조작 정황이 잡히는 동안 SGL 시공사 선정과 가족 행사가 겹친다.","국제 사업·가족 소개·복수 준비가 한 회차에서 교차 결산된다.","SGL 계약을 공정하게 닫고 수영을 가족에게 소개한 뒤 백민용 대응에 들어간다.","100억달러대 SGL 열 구간과 한국 3개사를 확정하고 무기거래 수수료 1억달러를 받아 데이비드 김에게 50만달러를 준다.","사업 배분 청탁과 어머니 생일 자리의 긴장, 백민용의 빠른 작전이 동시에 있다.","어머니 앞에 수영을 정식으로 세운 직후 차문호가 백민용 문제를 보고한다.","SGL 계약·수수료와 가족 관계 진전이 보상되고 복수의 초점이 선다.","관계·사업","연인 수영이 가족 관계 안으로 들어오고 강혁은 다시 금융 대결자로 돌아선다.","백민용이 노리는 광성 솔라텍을 역으로 먹을 작전이 열린다.","SGL 시공사·무기 수수료와 수영 소개","광성 솔라텍 역작전","M08 백민용의 주가조작과 밀수를 역으로 삼켜 미리내 솔라텍을 세우다","high"
"149","ⓚ남자의 길 149화","","17775","17893","백민용은 강혁 영토에서 월 80억원을 벌고도 집안 배경을 믿고 있다.","강혁이 주먹 대신 증거와 시장을 무기로 고른다.","밀수 증거를 확보하고 백민용의 전 재산이 걸린 주가조작을 역이용한다.","대호가드에 밀수 증거 수집을 지시하고 백민용의 차입·지분 구조와 작전 목표를 조사한다.","백민용은 상속 주식과 빚까지 끌어 2000억원 판에 올인하고 여동생까지 모욕한다.","표적이 세계 점유율 28퍼센트와 특허 30개를 가진 광성 솔라텍임이 확정된다.","개인 모욕과 영토 침범을 법·금융 양면에서 응징할 설계도가 생긴다.","대결·정보","감정적 보복이 적의 레버리지를 이용해 자산까지 빼앗는 역작전으로 구체화된다.","홍콩·뉴욕 전문가와 5억달러 자금으로 선매집을 시작한다.","백민용 범죄·자금 구조 파악","광성 솔라텍 지분 선점","M08 백민용의 주가조작과 밀수를 역으로 삼켜 미리내 솔라텍을 세우다","high"
"150","ⓚ남자의 길 150화","","17894","17987","광성 솔라텍은 기술력은 있지만 시가총액 약 6000억원으로 작전 세력의 표적이 됐다.","백민용이 올리는 주가를 강혁이 뒤에서 통째로 거둬들인다.","작전 전에 채권과 지분을 확보해 출구를 장악한다.","창동에 홍콩·뉴욕 전문가 10명과 경호 20명을 모으고 5억달러를 투입해 채권과 페이퍼펀드 지분 17퍼센트를 산다.","여러 시장에서 흔적 없이 사야 하고 백민용은 나운학의 허위 셰일가스 M&A 소문으로 주가를 띄운다.","강혁이 채권자이자 주요 주주가 되어 회사와 백민용 양쪽의 목을 쥔다.","광성 솔라텍을 삼킬 사전 지분과 금융 통제력을 얻는다.","자금·주도권","복수 작전의 승부점이 주가 하락이 아니라 회사 소유권 획득으로 확장된다.","허위 방송으로 폭등한 물량을 언제 털지가 관건이다.","역작전 준비","백민용 계좌로 대량 물량 넘기기","M08 백민용의 주가조작과 밀수를 역으로 삼켜 미리내 솔라텍을 세우다","high"
"151","ⓚ남자의 길 151화","","17988","18108","나운학의 허위 M&A 방송으로 광성 솔라텍이 연속 상한가를 치고 백민용 측이 70퍼센트를 쥔다.","상승장에서 이익을 내던 강혁이 마지막 자전거래 함정을 기다린다.","유통 주식을 더 모으고 백민용이 스스로 대량 매수하게 만든다.","조정 때마다 사들여 21퍼센트까지 확보하고 60억원 수익을 낸 뒤 700억원 자전거래 시점을 포착한다.","금감원 임명호가 이상 거래를 조사하지만 부패 팀장이 눌러 시장 제동이 없다.","시장 감시가 막힌 것이 오히려 백민용의 과신과 대량 주문을 키운다.","강혁은 유통 물량 대부분과 결정적 매도 타이밍을 손에 넣는다.","정보·금융","상승 추격 국면이 백민용의 계좌를 출구로 쓰는 붕괴 직전으로 바뀐다.","인터넷을 늦추고 21퍼센트를 한꺼번에 넘길 순간이 온다.","지분 21퍼센트 확보","대량 매도와 악재 공개","M08 백민용의 주가조작과 밀수를 역으로 삼켜 미리내 솔라텍을 세우다","high"
"152","ⓚ남자의 길 152화","","18109","18256","백민용은 700억원 자전거래로 마지막 상승을 만들고 강혁은 21퍼센트 물량을 쥐고 있다.","단 몇 분의 통신 지연이 거대한 주가조작을 역으로 삼킨다.","백민용에게 고점 물량을 떠넘기고 손실 없이 빠져나간다.","인터넷 체결을 지연시켜 21퍼센트를 백민용 계좌에 넘긴 뒤 악재를 풀고 문 사장의 30퍼센트 투매까지 유도한다.","타이밍이 어긋나면 5억달러 자금이 묶이고 일반 투자자 피해도 커진다.","회사 경영진마저 살기 위해 던지면서 백민용은 40퍼센트 넘는 휴지 주식만 떠안는다.","강혁 측은 약 5200억원 이익을 확정하고 백민용의 자금줄을 파괴한다.","대결·결산","백민용의 승부수는 강혁에게 현금과 회사 지배권을 넘기는 자멸로 끝난다.","폭락 뒤 밀수 증거를 검찰과 어떻게 연결할지가 남는다.","광성 솔라텍 역작전 수익","백민용 형사처벌과 회사 인수","M08 백민용의 주가조작과 밀수를 역으로 삼켜 미리내 솔라텍을 세우다","high"
"153","ⓚ남자의 길 153화","","18257","18381","광성 솔라텍 주가는 붕괴했고 백민용은 손실을 떠안았지만 아직 법적으로 자유롭다.","금융 응징이 검찰 수사와 정치 거래로 이어진다.","밀수 증거를 가장 효과적으로 써 백민용과 마포 조직을 함께 잡는다.","차기호와 검사 배춘복을 만나 증거를 넘기고 정치권의 시선 돌리기와 검사 승진을 대가로 거래한다.","재벌가와 마포 조직을 동시에 치면 수사 외압이 크고 증거 사용 주도권을 내줘야 한다.","배춘복은 대형 사건으로 이름을 올릴 기회를 보고 즉시 압수수색을 건다.","검찰 공권력이 강혁의 복수 집행자로 움직이기 시작한다.","법·권력","사적 금융전이 공개 수사와 정치적 성과로 변환된다.","한성건설 본사와 백민용 체포가 임박한다.","주가조작 폭락","한성건설·마포 식구 검찰 수사","M08 백민용의 주가조작과 밀수를 역으로 삼켜 미리내 솔라텍을 세우다","high"
"154","ⓚ남자의 길 154화","","18382","18486","배춘복 검사가 증거를 들고 한성건설과 마포 조직을 칠 준비를 끝냈다.","재벌가 아들이 아버지에게도 버림받고 빈손이 되는 결산이 온다.","백민용의 범죄·재산·조직 기반을 동시에 제거한다.","한성건설 본사를 압수수색해 백민용과 최씨를 체포하고 마포 정동조까지 잡게 한 뒤 주식과 채권을 회수한다.","한성그룹의 방어와 증거 인멸 가능성이 있지만 회장은 가문을 살리려 아들을 버린다.","백민용의 아버지가 구명 대신 선을 그으면서 마지막 보호막이 사라진다.","백민용은 감옥과 파산을 함께 맞고 강혁은 광성 솔라텍 지배권을 굳힌다.","응징·결산","개인 원한과 영토 침범이 법적 파멸과 기업 인수라는 이중 결말을 낳는다.","망가진 광성 솔라텍을 실제 기업으로 살릴 책임이 남는다.","백민용·정동조 체포","광성 솔라텍 인수·재건","M08 백민용의 주가조작과 밀수를 역으로 삼켜 미리내 솔라텍을 세우다","high"
"155","ⓚ남자의 길 155화","36. 평양","18487","18613","백민용은 몰락했고 강혁은 한성 계열 지분과 광성 솔라텍을 손에 넣었다.","복수의 전리품이 새 기업으로 살아나고 곧 평양 초청으로 길이 바뀐다.","광성 솔라텍을 정상화하고 SGL 착공을 확인한 뒤 북한 호출에 대응한다.","1500억원에 회사를 인수해 1000억원을 넣고 미리내 솔라텍으로 개명한 뒤 이르쿠츠크 SGL 기공식에 참석한다.","폭락 회사의 신뢰를 회복해야 하고 북한의 갑작스러운 소환 의도를 알 수 없다.","주가와 회사가 회복되는 순간 문성철이 김정일 쪽의 평양 초청을 전한다.","한성전자 3퍼센트·한성증권 10퍼센트와 재건 기업, SGL 착공을 얻는다.","진로·사업","국내 복수극이 기업가의 성과로 닫히고 북측 최고 권력과 만나는 외교 국면으로 넘어간다.","김정일이 왜 강혁을 부르는지 확인해야 한다.","백민용 응징·미리내 솔라텍 재건과 SGL 착공","평양 초청","M08 백민용의 주가조작과 밀수를 역으로 삼켜 미리내 솔라텍을 세우다","high"
"156","ⓚ남자의 길 156화","","18614","18721","이르쿠츠크 기공식을 마친 강혁에게 김정일의 평양 초청장이 왔다.","러시아 사업가가 두만강을 넘어 북한 최고 권력의 공간으로 들어간다.","초청 의도를 읽고 안전하게 김정일 접견까지 간다.","야쿠보프를 만난 뒤 문성철·이기백과 두만강을 건너 함흥 초대소와 장강희의 호위를 거쳐 평양으로 이동한다.","폐쇄된 북한에서는 이동과 신변을 북측에 맡겨야 하고 CIA 관계가 발각될 위험이 있다.","단순 거래상이 아니라 국가급 귀빈 동선과 숙소가 제공된다.","강혁이 북한 수뇌부와 직접 만나는 위치에 올라선다.","지위·외교","마약·담배 거래 관계가 김정일 개인 접견이라는 정치적 관계로 격상된다.","김정일과 임병석이 요구할 역할이 남는다.","평양 입성","김정일 접견과 중재 요청","M09 김정일의 밀사가 되어 나진 특구와 1조2100억 공사를 성사시키다","high"
"157","ⓚ남자의 길 157화","","18722","18843","강혁은 평양 귀빈 숙소에 들어왔지만 김정일의 의도와 안전을 모른다.","최고지도자와의 첫 대면에서 강혁의 공개 위상이 급상승한다.","김정일의 신뢰 수준과 자신에게 원하는 역할을 확인한다.","임병석의 안내로 김정일을 만나 가짜 담배 성과를 보고하고 공개 사진까지 함께 찍는다.","김정일은 강혁의 CIA 연계를 알고 있다는 식으로 압박해 이중 관계를 시험한다.","처벌 대신 친근한 칭찬과 밀착 사진을 내주며 강혁을 쓸 수 있는 외부 인물로 인정한다.","북한 최고지도자와 바로 연락 가능한 희소한 지위를 얻는다.","권력·관계","상거래 관계가 서로 약점을 아는 정치적 신뢰·감시 관계로 바뀐다.","김정일이 남북 대화 중재를 직접 요구할 가능성이 열린다.","김정일 첫 접견과 신뢰 확인","남북 중재 역할","M09 김정일의 밀사가 되어 나진 특구와 1조2100억 공사를 성사시키다","high"
"158","ⓚ남자의 길 158화","","18844","18981","김정일은 강혁의 미국·한국 인맥을 알고 있고 그를 외부 통로로 본다.","거절하기 어려운 중재 요구가 개인 향응과 대규모 물자 협상으로 이어진다.","김정일 요구를 받아들이되 북한 원조에 상응하는 양보를 얻는다.","남북 대화 중재를 수락하고 연회 뒤 박정애와 밤을 보낸 다음 장성택의 시멘트·쌀·밀가루 각 10만톤 요구를 협상한다.","북한 최고 권력의 요구를 거절하기 어렵고 무상 지원은 한국을 설득할 명분이 없다.","강혁은 원조를 그냥 주지 않고 북한 측 양보 조건을 받아낸다.","김정일의 신임과 남북 협상용 상호 거래 틀을 확보한다.","외교·관계","강혁은 거래상이 아니라 양측 요구를 바꿔 전달하는 비공식 밀사가 된다.","봉인된 편지를 한국 정부에 전달하고 협상팀을 움직여야 한다.","김정일 중재 요청과 북측 원조 조건","청와대 전달·남북 협상","M09 김정일의 밀사가 되어 나진 특구와 1조2100억 공사를 성사시키다","high"
"159","ⓚ남자의 길 159화","","18982","19096","강혁은 북측 요구와 봉인 편지를 들고 평양을 나왔다.","밀사의 말이 한국 국가 의사결정으로 들어간다.","북한 메시지의 진위를 증명하고 청와대가 협상에 나서게 한다.","블라디보스토크를 거쳐 귀국해 국정원 안가에서 신상득·정영철에게 봉인 편지를 넘기고 경위를 설명한다.","정보기관은 범죄 경력이 있는 민간인의 말을 믿기 어렵고 협상 실패는 정치적 타격이 된다.","편지와 북측 접촉 경로가 검증되자 전노민 대통령이 협상 추진을 결정한다.","한국 정부의 공식 협상팀과 대통령 승인을 끌어낸다.","외교·신뢰","개인의 비밀 거래가 남북 정부가 움직이는 공식 절차로 넘어간다.","원조·이산가족·핵·나진 특구를 실제 교환해야 한다.","북측 메시지 전달","남북 합의와 사업권 결산","M09 김정일의 밀사가 되어 나진 특구와 1조2100억 공사를 성사시키다","high"
"160","ⓚ남자의 길 160화","37. 내전","19097","19196","청와대는 대화에 응했지만 남북 양측의 요구 차이가 크다.","밀실 협상이 공개 합의와 1조2100억원 공사로 터진다.","원조를 이산가족·핵대화·나진 특구와 맞바꾸고 사업 몫을 확보한다.","시멘트·쌀·밀가루 지원 대신 이산가족 상봉과 핵회담, 나진 2000만평 20년 임대·연 200억원 조건을 중재한다.","양측 체면과 불신을 조정해야 하고 대규모 원조·개발비가 걸려 있다.","판문점 합의가 발표되고 강혁에게 1조2100억원 기반공사가 돌아온다.","미래·대주와 공사를 나누며 외교 성과를 실물 사업으로 결산한다.","결산·지위","비공식 밀사가 국가 간 합의와 초대형 개발사업을 만든 인물로 올라선다.","리오스의 긴급 연락이 콜롬비아 내전으로 국면을 끊는다.","남북 중재·나진 특구 계약","콜롬비아 반군의 보고타 공세","M09 김정일의 밀사가 되어 나진 특구와 1조2100억 공사를 성사시키다","high"
"161","ⓚ남자의 길 161화","","19197","19310","나진 사업을 얻은 직후 리오스가 ELN·M19와 차베스 지원군의 보고타 공세를 경고한다.","전쟁을 막지 못해도 강혁은 자산과 시장의 방향을 먼저 읽는다.","FARC와 자기 사업을 보전하고 내전이 낳을 가격 급등을 선점한다.","FARC 마약 200kg을 사주고 콜롬비아 자산을 분산시킨 뒤 12억달러를 석유·백금 선물에 넣고 발크에게 경고한다.","T-62까지 동원한 공세가 임박했고 잘못된 시장 베팅이면 막대한 손실을 본다.","강혁은 수도 함락이 원유와 백금 공급 충격을 만들 것이라 판단한다.","조직의 현금화를 돕고 전쟁 변동을 수익으로 바꿀 포지션을 잡는다.","판단·자금","외교 중재자가 전쟁 조짐을 읽는 사업가·정보 제공자로 즉시 전환된다.","미국과 콜롬비아 정부가 무시한 경고가 실제로 맞는지 시험된다.","리오스 경고와 자산 대비","보고타 함락과 선물 포지션","M10 보고타 함락을 예견하고 내전 속 파이프라인을 지키며 PMC 기회를 얻다","high"
"162","ⓚ남자의 길 162화","","19311","19451","강혁은 대공세를 경고했지만 CIA와 마리오는 수도가 버틸 것으로 본다.","무시당한 판단이 보고타 붕괴로 증명된다.","조직원과 핵심 인물을 빼내고 시장 포지션을 유지한다.","현지 보고를 모아 철수선을 준비하고 발크에게 다시 상황의 심각성을 알린다.","ELN·M19 연합군이 전차와 중화기로 예상보다 빠르게 밀어붙이고 정부군 지휘가 무너진다.","공격이 시작되자 보고타 방어선이 연쇄 붕괴해 강혁의 예측이 현실이 된다.","미리 준비한 자산·인력은 혼란 속에서도 움직일 여지를 얻는다.","전쟁·판단","정치적 소요가 아니라 수도가 무너지는 전면 내전으로 위험 수준이 급상승한다.","마리오와 미국 인력의 긴급 탈출, 원자재 급등이 이어진다.","내전 발발 예측","보고타 함락 후 탈출·시장 결산","M10 보고타 함락을 예견하고 내전 속 파이프라인을 지키며 PMC 기회를 얻다","high"
"163","ⓚ남자의 길 163화","","19452","19574","정부군이 무너지고 마리오 등 미국 측 인력도 보고타에 갇혔다.","이틀 만의 수도 함락이 강혁의 정보·금융 승리로 결산된다.","우호 인물을 탈출시키고 최고점 전에 선물 포지션을 청산한다.","발크의 미군 헬기로 마리오를 빼내게 하고 유가·백금이 110퍼센트 오르자 20억달러 넘는 이익으로 전량 매도한다.","미국 개입 시 가격이 꺾일 수 있고 내전은 장기 대리전으로 번질 가능성이 크다.","강혁은 미국이 직접 개입하기 직전 빠져나오며 단기 급등의 끝을 맞힌다.","20억달러 이상 수익과 마리오 생존을 얻는다.","결산·전망","예측 보상은 끝났지만 콜롬비아는 미국·베네수엘라의 대리전으로 더 위험해진다.","미군 개입과 15구역 파이프라인 공격이 사업을 직접 친다.","보고타 함락·선물 투자","파이프라인 방어와 반군 지도부 응징","M10 보고타 함락을 예견하고 내전 속 파이프라인을 지키며 PMC 기회를 얻다","high"
"164","ⓚ남자의 길 164화","","19575","19685","미국이 개입해 정부군은 반격하지만 내전이 강혁의 15구역 파이프라인을 덮쳤다.","시장 수익을 낸 강혁이 이제 현장 자산을 몸으로 지키러 간다.","원유 계약 조건을 지키고 공격 책임자 카를로스를 제거한다.","구매자의 가격 인하 요구를 거절하고 혁명투사 조직의 산헬레나 기지를 직접 치기로 한다.","파이프라인 파손으로 판매 차질이 생기고 카를로스 세력은 정글 지형을 장악한다.","손해를 가격 양보로 메우지 않고 공격자에게 직접 비용을 돌려주기로 선택한다.","사업 조건을 지키면서 조직에 명확한 보복 목표를 준다.","선택·영토","금융 대응 국면이 30명 규모의 정글 응징전으로 바뀐다.","산헬레나 기지 급습에서 카를로스를 잡아야 한다.","원유 가격 협상","카를로스 제거","M10 보고타 함락을 예견하고 내전 속 파이프라인을 지키며 PMC 기회를 얻다","high"
"165","ⓚ남자의 길 165화","","19686","19828","카를로스의 산헬레나 기지가 파이프라인 공격의 지휘점으로 확인됐다.","사업가의 결단이 정글 총격전의 피값으로 치러진다.","카를로스를 죽이고 반복 공격을 억제한다.","피케·이경식과 30명을 이끌고 산헬레나를 급습해 방어선을 뚫고 카를로스를 사살한다.","험한 지형과 반군의 저항으로 강혁 쪽에서도 사상자가 발생한다.","손실을 감수한 직접 보복이 반군에게 파이프라인 공격의 대가를 각인시킨다.","카를로스 제거와 단기 억지력을 얻는다.","대결·비용","자산 방어가 단순 경비가 아니라 보복 능력에 기반한 억지 체계가 된다.","장기 내전 속 전문 경비 수요가 강혁에게 들어온다.","산헬레나 응징","셰브론 앙골라 PMC 계약","M10 보고타 함락을 예견하고 내전 속 파이프라인을 지키며 PMC 기회를 얻다","high"
