sequence,visible_label,source_lines,semantic_status,score_status,ribbon_status,old_tension,new_tension,old_reward,new_reward,old_hook,new_hook,old_ribbon,new_ribbon,actual_action,actual_paid_reward,actual_ending_hook,concrete_event_before,concrete_event_after,pacing_note_before,pacing_note_after,adjudication
277,277,L49145~L49297,PASS,EDIT,PASS,6,6,9,8,8,8,0.25/0.25/0.31/0.09/0.10,0.25/0.25/0.31/0.09/0.10,산업은행 인수 포기와 보유 보험 청구로 리먼은 반드시 파산한다고 설명해 오바마의 불안을 잠재우고 규제 완화를 요청한 뒤 데이비드·조지 소로스가 이틀 만에 금융사 12곳의 한국 이전 서명을 받는다.,김민재는 차기 미국 대통령과 역차별 방지·신산업 규제 완화 관계를 만들고 금융허브의 첫 12개 입주 약정을 확보한다.,귀국 비행기를 미루고 워렌 버핏을 직접 만나 버크셔 한국 지점을 설득한다.,김민재가 리먼 파산으로 오바마 당선을 보증하고 이틀 만에 금융사 12곳 이전 계약을 얻는다.,산업은행 인수 포기와 보유 보험 청구로 리먼은 반드시 파산한다고 설명해 오바마의 불안을 잠재우고 규제 완화를 요청한 뒤 데이비드·조지 소로스가 이틀 만에 금융사 12곳의 한국 이전 서명을 받는다; 오바마가 평생 친구가 될 수 있다고 호감을 보이고 퀀텀의 협박 지원으로 계약 목표 10곳을 넘긴 가운데 버크셔 해서웨이가 관심을 보인다; 김민재는 차기 미국 대통령과 역차별 방지·신산업 규제 완화 관계를 만들고 금융허브의 첫 12개 입주 약정을 확보한다,오바마의 신뢰와 금융사 12곳 서명을 이틀 만에 얻어 외교 관계 보상이 크게 오른다.,오바마의 신뢰와 금융사 12곳 서명을 이틀 만에 얻어 외교 관계 보상이 크게 오른다.,보상은 실제 지급만 세어 9→8 판정
278,278화,L49298~L49458,PASS,EDIT,PASS,5,5,9,8,8,7,0.27/0.18/0.31/0.10/0.14,0.27/0.18/0.31/0.10/0.14,전기차·환경·IT 비전을 제시하다 버핏의 ‘공포에 사라’ 투자관에 맞춰 골드만삭스·뱅크오브아메리카 워런티 투자를 정확히 짚어 신뢰를 얻는다.,태우의 개인 인맥에 워렌 버핏이 편입되고 금융허브 계약은 위기 기업의 강요가 아닌 세계적 가치투자자의 자발적 선택으로 격상된다.,귀국해 계약서를 내밀자 허가가 순조로울 듯했지만 예상 밖 정치 여론이 발목을 잡는다.,워렌 버핏과 투자관을 맞춰 버크셔 한국 지점 계약과 빌 게이츠 후속 만남을 얻는다.,전기차·환경·IT 비전을 제시하다 버핏의 ‘공포에 사라’ 투자관에 맞춰 골드만삭스·뱅크오브아메리카 워런티 투자를 정확히 짚어 신뢰를 얻는다; 투자관이 일치한 버핏이 4년간 태우 명성 유지 조건으로 버크셔 아시아 지점을 한국에 내고 빌 게이츠와의 후속 식사까지 제안한다; 태우의 개인 인맥에 워렌 버핏이 편입되고 금융허브 계약은 위기 기업의 강요가 아닌 세계적 가치투자자의 자발적 선택으로 격상된다,투자관을 맞춰 버핏의 한국 지점과 후속 인맥을 얻는 대화·관계 보상이 중심이다.,투자관을 맞춘 끝에 버핏의 한국 지점과 후속 인맥을 얻는다. 숫자 흥정보다 서로 장기투자자를 알아보는 대화가 다음 거래를 여는 보상으로 남는다.,보상은 실제 지급만 세어 9→8 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49298~L49458 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체
279,279화,L49459~L49610,PASS,EDIT,PASS,8,8,8,7,9,8,0.31/0.24/0.21/0.10/0.14,0.31/0.24/0.21/0.10/0.14,최재석과 별장에서 청와대 발표의 역효과와 규제 완화 연대를 논의해 중립 이상의 지원을 확보하고 추석 연휴 리먼 660조 원 파산 직후 환율 1400원·15조 원 KIKO 보험 청구를 준비한다.,최재석은 당리보다 한국 금융·신산업 규제 개혁을 위해 협력하고 한정훈은 한국 금융사들을 굽히게 할 실탄을 얻는다.,수요일 대형 이벤트와 KIKO 보험금 회수라는 두 수확이 동시에 열린다.,정부 불신을 해결할 공개행사를 준비하는 순간 리먼이 660조 원 부채로 파산하고 KIKO 수확이 열린다.,최재석과 별장에서 청와대 발표의 역효과와 규제 완화 연대를 논의해 중립 이상의 지원을 확보하고 추석 연휴 리먼 660조 원 파산 직후 환율 1400원·15조 원 KIKO 보험 청구를 준비한다; 세계 최대 파산이 김민재의 경고를 증명하고 국내 은행들이 팔았던 KIKO 보험의 조건이 현실화되며 금융허브 홍보 이벤트와 시기가 맞물린다; 최재석은 당리보다 한국 금융·신산업 규제 개혁을 위해 협력하고 한정훈은 한국 금융사들을 굽히게 할 실탄을 얻는다,정치 여론을 조율하는 사이 리먼 파산·환율·15조 KIKO가 동시에 현실화되어 정보 긴장이 높다.,"정치권 여론을 맞추는 사이 리먼 파산, 환율 급등, 15조 원 KIKO가 동시에 현실이 된다. 준비하던 숫자들이 같은 날 사건으로 터져 금융타워가 어느 불부터 끌지 선택해야 한다.",보상은 실제 지급만 세어 8→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 9→8 판정; L49459~L49610 수동 재독; 편집 메타어를 실제 장면·숫자·사람 반응으로 교체; L49459~L49610 수동 재독; 편집 메타어를 실제 장면·숫자·사람 반응으로 교체
280,280,L49611~L49802,EDIT,EDIT,PASS,7,7,10,9,8,7,0.18/0.26/0.22/0.16/0.18,0.18/0.26/0.22/0.16/0.18,금융허브 비전을 발표한 뒤 퀀텀·CITI·버크셔 대표를 차례로 공개하고 버핏이 한국 지점 개설과 태우증권·자동차·IT·철강·부품 투자를 직접 선언하게 한다.,"금융허브에 대한 공개 신뢰와 여야 지지, 대통령실장의 조속한 한전 부지 허가 약속을 얻는다. 실제 개발 허가는 아직 발급 전이다.",대통령실장은 한전 부지 허가를 약속하면서도 태우가 만든 무대의 공을 청와대와 나누라고 요구한다.,금융허브 비전을 발표한 뒤 퀀텀·CITI·버크셔 대표를 차례로 공개하고 버핏이 한국 지점 개설과 태우증권·자동차·IT·철강·부품 투자를 직접 선언하게 한다.; 빅데이터상 찬성 여론이 급등하고 국민경제당이 청와대보다 먼저 당론 지지를 선언하며 대통령실장이 한전 부지 허가를 확약한다.; 김민재의 계약은 국민이 믿는 공개 약속으로 바뀌고 금융허브는 초당 지지·정부 인허가를 모두 얻는다.,"금융허브 비전을 발표한 뒤 퀀텀·CITI·버크셔 대표를 차례로 공개하고 버핏이 한국 지점 개설과 태우증권·자동차·IT·철강·부품 투자를 직접 선언하게 한다; 빅데이터상 찬성 여론이 급등하고 국민경제당이 청와대보다 먼저 당론 지지를 선언하며 대통령실장이 한전 부지 허가를 확약한다; 금융허브에 대한 공개 신뢰와 여야 지지, 대통령실장의 조속한 한전 부지 허가 약속을 얻는다. 실제 개발 허가는 아직 발급 전이다",퀀텀·CITI·버크셔가 무대에 서고 여론·허가가 뒤집혀 공개 행동과 환호 보상이 크다.,"금융허브 발표 무대에서 퀀텀·CITI·버크셔 대표를 차례로 공개하고 버핏이 한국 지점과 태우 계열 투자까지 직접 선언한다. 여야 지지와 한전 부지의 조속한 허가 약속은 받았지만, 대통령실장이 공을 청와대와 나누라고 요구해 개발허가 전 정치 대가를 남긴다.","보상은 실제 지급만 세어 10→9 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정; L49611~L49802 수동 재독; 점수·리본 유지, 기계적 note만 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체; L49611~L49802 수동 재독; 기계적 note를 장면별 편집문으로 교체"
281,281,L49803~L49976,PASS,EDIT,PASS,5,5,9,8,8,8,0.16/0.18/0.34/0.17/0.15,0.16/0.18/0.34/0.17/0.15,콜라·투자 철학을 나누며 GM 또는 포드 인수 의도를 인정하자 버핏이 김민재 개인 비전을 믿고 지분 50억 달러를 약속하고 정부·국회 허가 후 에너지·금융 쌍둥이 빌딩 지반공사를 시작한다.,태우는 금융·에너지 허브 마천루와 버핏의 자동차 투자 약속을 얻고 한정훈은 KIKO 보험으로 국내 은행 회동에 대응한다.,코코아뱅크를 규제하려는 은행 대표들에게 한정훈이 KIKO 보험이라는 ‘도움’을 들고 간다.,버핏이 미국 자동차에 50억 달러 투자를 약속하고 금융·에너지 쌍둥이 빌딩이 착공한다.,콜라·투자 철학을 나누며 GM 또는 포드 인수 의도를 인정하자 버핏이 김민재 개인 비전을 믿고 지분 50억 달러를 약속하고 정부·국회 허가 후 에너지·금융 쌍둥이 빌딩 지반공사를 시작한다; 돈보다 가치가 큰 버핏의 이름이 미국 자동차 인수의 신뢰 담보가 되고 수년 묶였던 한전 부지가 마침내 공사장으로 바뀐다; 태우는 금융·에너지 허브 마천루와 버핏의 자동차 투자 약속을 얻고 한정훈은 KIKO 보험으로 국내 은행 회동에 대응한다,버핏의 50억 달러 약속과 지반공사 뒤 한정훈의 은행 회동으로 관계·지위가 이어진다.,버핏의 50억 달러 약속과 지반공사 뒤 한정훈의 은행 회동으로 관계·지위가 이어진다.,보상은 실제 지급만 세어 9→8 판정
282,282,L49977~L50135,PASS,PASS,PASS,7,7,6,6,8,8,0.30/0.26/0.25/0.08/0.11,0.30/0.26/0.25/0.08/0.11,정태섭에게 5조 원 지급 준비를 통보하고 은행 내에서 달러 기근·1500원 환율을 경고한 박대훈 과장을 포착한 뒤 보험료 환급·5천억 합의안을 거절하며 노무라에 리먼 보험증서를 판다.,국내 은행의 오만이 청구 리스크로 바뀌고 태우는 산업은행 뒤 남은 리먼 증서까지 현금화한다.,환율 1400원 돌파 전까지 협상을 미룬 정태섭이 평생 후회할 선택을 한다.,한정훈이 신화은행에 5조 원 KIKO 보험 청구를 경고하고 박대훈을 발견하며 리먼 증서를 노무라에 판다.,정태섭에게 5조 원 지급 준비를 통보하고 은행 내에서 달러 기근·1500원 환율을 경고한 박대훈 과장을 포착한 뒤 보험료 환급·5천억 합의안을 거절하며 노무라에 리먼 보험증서를 판다; 환율 흐름을 정확히 읽는 박대훈이 한정훈의 스카우트 후보가 되고 노무라가 더 많은 적자 사업을 안도록 보험증서를 자청해 산다; 국내 은행의 오만이 청구 리스크로 바뀌고 태우는 산업은행 뒤 남은 리먼 증서까지 현금화한다,5조 지급과 환율 전망을 놓고 정태섭·박대훈·노무라를 읽는 금융정보와 협상이 중심이다.,5조 원 지급과 환율 전망을 놓고 정태섭·박대훈·노무라의 속내를 번갈아 읽는다. 같은 돈을 두고 각자가 다른 계산을 하는 협상이라 현금보다 표정과 조건이 오래 남는다.,기존 점수·리본 유지; 원문 하드 경계와 인접 회차 대비 재확인; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L49977~L50135 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체
283,283,L50136~L50295,PASS,EDIT,PASS,8,8,8,7,7,6,0.22/0.31/0.27/0.10/0.10,0.22/0.31/0.27/0.10/0.10,김민재가 뒤에서 압박하고 한정훈이 20% 보상안을 거절하며 은행의 협력 요구와 코코아뱅크 규제 시도를 모순으로 몰아세운다.,코코아뱅크가 견제 없이 5대 은행급으로 성장할 보호막을 얻고 태우는 15조 청구권을 협상 자산으로 유지한다.,"IIT 캠퍼스를 둘러보던 김민재에게 청와대가 연락하고, 태우의 도움이 필요한 호출인지 확인할 차례가 된다.",김민재가 뒤에서 압박하고 한정훈이 20% 보상안을 거절하며 은행의 협력 요구와 코코아뱅크 규제 시도를 모순으로 몰아세운다.; 정태섭이 코코아뱅크와 태우 관계를 몰랐다고 둘러대며 규제 회동을 즉시 철회하고 본협상은 한정훈에게 넘어간다.; 코코아뱅크가 견제 없이 5대 은행급으로 성장할 보호막을 얻고 태우는 15조 청구권을 협상 자산으로 유지한다.,김민재가 뒤에서 압박하고 한정훈이 20% 보상안을 거절하며 은행의 협력 요구와 코코아뱅크 규제 시도를 모순으로 몰아세운다; 정태섭이 코코아뱅크와 태우 관계를 몰랐다고 둘러대며 규제 회동을 즉시 철회하고 본협상은 한정훈에게 넘어간다; 코코아뱅크가 견제 없이 5대 은행급으로 성장할 보호막을 얻고 태우는 15조 청구권을 협상 자산으로 유지한다,15조 청구권으로 코코아뱅크 규제 회동을 철회시켜 행동과 권력관계의 역전이 강하다.,15조 청구권으로 코코아뱅크 규제 회동을 철회시켜 행동과 권력관계의 역전이 강하다.,보상은 실제 지급만 세어 8→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 7→6 판정
284,284,L50296~L50455,PASS,EDIT,PASS,7,7,8,7,8,7,0.32/0.24/0.22/0.08/0.14,0.32/0.24/0.22/0.08/0.14,IIT의 무료 기숙사·세계 교수진·5년 취업 조건을 점검하고 우익준의 민간인 사찰 시인과 거친 거래에도 400억 달러 스와프를 역제안한다.,IIT라는 자립 성장 기반이 완공되고 태우는 정권에 줄선 대가가 아닌 미래산업 법제화와 외국 인수 자유를 확보한다.,데이비드·다이먼·한정훈을 통해 스와프 금액을 실제로 끌어올려야 한다.,우익준이 300억 달러 통화스와프를 요구하고 김민재는 미래산업 규제·해외 인수 비간섭으로 거래한다.,IIT의 무료 기숙사·세계 교수진·5년 취업 조건을 점검하고 우익준의 민간인 사찰 시인과 거친 거래에도 400억 달러 스와프를 역제안한다; 김민재는 이권을 거절하고 미래산업 규제·해외 인수 비간섭을 얻으며 스와프 지원이 훗날 미국 정부가 자동차 인수를 먼저 부탁하게 할 빚이 된다고 계산한다; IIT라는 자립 성장 기반이 완공되고 태우는 정권에 줄선 대가가 아닌 미래산업 법제화와 외국 인수 자유를 확보한다,IIT 완공을 확인하고 사찰 시인·400억 달러 스와프·법제를 맞바꾸는 정책정보가 크다.,"IIT 완공을 확인한 뒤 미국의 사찰 시인과 400억 달러 통화스와프, 후속 법제를 맞바꾼다. 캠퍼스라는 실물성과가 국가 간 사과와 안전망 계약으로 이어져 협상의 범위를 넓힌다.",보상은 실제 지급만 세어 8→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정; L50296~L50455 수동 재독; 편집 메타어를 실제 장면·숫자·사람 반응으로 교체; L50296~L50455 수동 재독; 편집 메타어를 실제 장면·숫자·사람 반응으로 교체
285,285,L50456~L50614,PASS,EDIT,PASS,5,5,8,7,8,8,0.28/0.20/0.23/0.09/0.20,0.28/0.20/0.23/0.09/0.20,태우증권·핀테크 보증으로 스와프 증액을 지시하고 봉 감독 영화·임희영 좀비극·이서희 로맨스 성공을 확인한 뒤 데이비드에게 오스카의 공정 심사 출발선 로비를 맡긴다.,태우엔터의 콘텐츠는 국내 극장 밖에서 세계 흥행 브랜드가 되고 금융팀은 국가 협정까지 움직이는 실무력을 증명한다.,미국 자동차사 줄파산 정보가 들어오며 기다린 과실이 익는다.,스와프가 500억 달러 가능권에 들고 태우 OTT 흥행작의 오스카 공정 심사 로비를 시작한다.,태우증권·핀테크 보증으로 스와프 증액을 지시하고 봉 감독 영화·임희영 좀비극·이서희 로맨스 성공을 확인한 뒤 데이비드에게 오스카의 공정 심사 출발선 로비를 맡긴다; 아카데미 회원 인맥과 위기 중 후원 부족을 이용하면 OTT 작품도 공정 심사를 받을 수 있고 스와프는 400~500억 달러 가능권에 든다; 태우엔터의 콘텐츠는 국내 극장 밖에서 세계 흥행 브랜드가 되고 금융팀은 국가 협정까지 움직이는 실무력을 증명한다,스와프 증액과 콘텐츠 흥행·오스카 로비를 병행해 정보·관계·지위가 고르게 쌓인다.,스와프 증액과 콘텐츠 흥행·오스카 로비를 병행해 정보·관계·지위가 고르게 쌓인다.,보상은 실제 지급만 세어 8→7 판정
286,286,L50615~L50766,EDIT,EDIT,PASS,5,5,9,8,8,6,0.27/0.21/0.24/0.08/0.20,0.27/0.21/0.24/0.08/0.20,최재석과 비밀 회동해 여야 거래용 탄소감축 법안을 설계하고 국민경제당 청년정치인 SNS 육성을 약속하며 천민정의 AOS 게임 ‘리그 오브 챔피언스’ 한·미 베타를 승인한다.,"실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다.",천민정이 리그 오브 챔피언스의 한국어 보완과 한·미 베타테스트를 곧바로 시작한다.,최재석과 비밀 회동해 여야 거래용 탄소감축 법안을 설계하고 국민경제당 청년정치인 SNS 육성을 약속하며 천민정의 AOS 게임 ‘리그 오브 챔피언스’ 한·미 베타를 승인한다.; 국민경제당이 미래산업법을 주도하고 환경법으로 야당 체면을 세우는 초당 통과 경로가 생기며 태우IT에 장기 캐시카우 게임이 완성된다.; 태우의 협상은 500억 달러 국가 안전판·미래산업 법제·차세대 정치인 육성·신작 게임으로 다중 결실을 낸다.,"최재석과 비밀 회동해 여야 거래용 탄소감축 법안을 설계하고 국민경제당 청년정치인 SNS 육성을 약속하며 천민정의 AOS 게임 ‘리그 오브 챔피언스’ 한·미 베타를 승인한다; 국민경제당이 미래산업법을 당론으로 추진하고 환경법으로 야당 체면을 세우는 초당 입법 경로가 생기며, 리그 오브 챔피언스의 한·미 베타 진행이 승인된다; 실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다",500억 달러 스와프·미래산업법·청년정치·AOS 베타가 제도와 지위 보상으로 묶인다.,"500억 달러 통화스와프 성과를 짚은 뒤 최재석과 탄소감축 법안의 여야 거래선, 청년 정치인의 SNS 육성을 맞춘다. 천민정의 ‘리그 오브 챔피언스’ 한·미 베타 승인으로 끝나며 정책 협상에서 게임 실행으로 속도를 가볍게 전환한다.","보상은 실제 지급만 세어 9→8 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→6 판정; L50615~L50766 수동 재독; 점수·리본 유지, 기계적 note만 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체; L50615~L50766 수동 재독; 기계적 note를 장면별 편집문으로 교체"
287,287,L50767~L50931,PASS,EDIT,PASS,5,5,7,6,8,7,0.31/0.18/0.19/0.10/0.22,0.31/0.18/0.19/0.10/0.22,데이비드의 대선·오스카 규정 성과를 확인하고 미국 자동차의 180억 달러 임시구제를 분석한 뒤 한경신문·주안그룹의 백선 지분 인수를 지시한다.,오바마가 차기 대통령으로 확정되고 태우 콘텐츠는 흥행을 넘어 심사 제도 자체를 바꿀 힘을 얻는다.,백선 지분을 얻으려면 오희건의 삼진그룹과 더 큰 기브 앤 테이크가 필요하다.,오바마 승리·빅3 청문회·OTT 오스카 규정과 백선 예술대상 인수 문제가 동시에 열린다.,데이비드의 대선·오스카 규정 성과를 확인하고 미국 자동차의 180억 달러 임시구제를 분석한 뒤 한경신문·주안그룹의 백선 지분 인수를 지시한다; OTT 외국어영화가 오스카 후보 등록 가능권에 들고 태우는 기존 영화제에 구걸하는 대신 백선 예술대상 주최권을 노린다; 오바마가 차기 대통령으로 확정되고 태우 콘텐츠는 흥행을 넘어 심사 제도 자체를 바꿀 힘을 얻는다,오바마 승리·빅3 구제·오스카 규정을 읽고 백선 지분을 노려 정보와 자산 구상이 앞선다.,오바마 승리·빅3 구제·오스카 규정을 읽고 백선 지분을 노려 정보와 자산 구상이 앞선다.,보상은 실제 지급만 세어 7→6 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정
288,288,L50932~L51085,PASS,EDIT,PASS,5,5,9,8,8,7,0.27/0.20/0.27/0.08/0.18,0.27/0.20/0.27/0.08/0.18,오희건에게 OLED 개발비 30% 지원과 태우전자 우선·원가 공급을 교환하고 한경 지분을 넘겨받은 뒤 한정훈에게 코닥의 OLED 원천기술 인수까지 설명한다.,태우-삼진 관계가 LCD 고객사에서 비공개 OLED 공동투자 관계로 확장되고 백선 예술대상은 태우 소유로 넘어온다.,데이비드가 코닥 OLED 원천기술 또는 사업부 전체를 사들이러 간다.,오희건에게 OLED 공동개발을 주고 백선 지분·우선 공급을 받아 코닥 특허까지 노린다.,오희건에게 OLED 개발비 30% 지원과 태우전자 우선·원가 공급을 교환하고 한경 지분을 넘겨받은 뒤 한정훈에게 코닥의 OLED 원천기술 인수까지 설명한다; 코닥 원천특허를 위기 헐값에 사면 삼진 개발비는 로열티로 회수되고 태우는 패널·특허·시상식 세 이득을 모두 얻는다; 태우-삼진 관계가 LCD 고객사에서 비공개 OLED 공동투자 관계로 확장되고 백선 예술대상은 태우 소유로 넘어온다,오희건과 개발비·우선공급·한경 지분을 교환해 동맹 관계와 원천권리 보상이 크다.,오희건과 개발비·우선공급·한경 지분을 교환해 동맹 관계와 원천권리 보상이 크다.,보상은 실제 지급만 세어 9→8 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정
289,289,L51086~L51250,PASS,EDIT,PASS,6,6,8,7,8,7,0.29/0.22/0.18/0.10/0.21,0.29/0.22/0.18/0.10/0.21,코닥 특허를 핀테크 명의로 인수하고 빅3 회장들의 전용기 청문회 역풍·대공황 이하 주가를 분석하며 백선에 해외 거장 시상자를 부르고 ‘리그 오브 챔피언스’ 접속 폭증을 확인한다.,태우는 차세대 디스플레이 원천권·자체 시상식·글로벌 게임이라는 세 신규 자산을 확보한다.,한국 해운 불황과 현진그룹 왕자의 난이 또 다른 10% 가격 자산 기회를 연다.,코닥 OLED 특허와 AOS 흥행을 얻는 동안 빅3 전용기 청문회가 주가를 대공황 이하로 떨어뜨린다.,코닥 특허를 핀테크 명의로 인수하고 빅3 회장들의 전용기 청문회 역풍·대공황 이하 주가를 분석하며 백선에 해외 거장 시상자를 부르고 ‘리그 오브 챔피언스’ 접속 폭증을 확인한다; OLED 특허가 싸게 넘어오고 AOS 베타가 북미·한국에서 화제가 되며 대중 여론은 빅3 경영진을 구제할 명분을 깎는다; 태우는 차세대 디스플레이 원천권·자체 시상식·글로벌 게임이라는 세 신규 자산을 확보한다,코닥 특허·빅3 여론·게임 접속·해운 불황을 한꺼번에 읽어 정보와 자산 비중이 높다.,"코닥 특허, 미국 빅3 여론, 게임 접속자와 해운 불황을 한 회의에서 훑는다. 서로 먼 산업 신호를 빠르게 넘기며 다음 인수·공매도 후보를 고르는 사장단 점검의 박자가 난다.",보상은 실제 지급만 세어 8→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L51086~L51250 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체
290,290,L51251~L51425,PASS,EDIT,PASS,5,5,8,7,8,6,0.26/0.19/0.28/0.09/0.18,0.26/0.19/0.28/0.09/0.18,추영희와 20년 무이자·부동산 100%·선박 10% 담보자금 조건에 합의하고 한정훈에게 2~3년 뒤 조선소 경매 선박도 45% 이하에서 사도록 준비시킨다.,태우는 금융·자동차뿐 아니라 장기 물류 주권까지 선점하고 김태중이 귀국해 미국 출장 동안 그룹을 맡겠다고 한다.,김태중의 든든한 위임 아래 오바마 취임식과 미국 자동차 협상을 위해 장기 출국한다.,추영희와 20년 무이자·부동산 100%·선박 10% 담보자금 조건에 합의하고 한정훈에게 2~3년 뒤 조선소 경매 선박도 45% 이하에서 사도록 준비시킨다.; 현진해운이 불황을 대신 견디고 파산할 때 태우가 대형선단을 흡수해 태우상사 자원과 그룹 수출의 다음 호황을 독식하는 구조가 만들어진다.; 태우는 금융·자동차뿐 아니라 장기 물류 주권까지 선점하고 김태중이 귀국해 미국 출장 동안 그룹을 맡겠다고 한다.,추영희와 20년 무이자·부동산 100%·선박 10% 담보자금 조건에 합의하고 한정훈에게 2~3년 뒤 조선소 경매 선박도 45% 이하에서 사도록 준비시킨다; 현진해운이 불황을 대신 견디고 파산할 때 태우가 대형선단을 흡수해 태우상사 자원과 그룹 수출의 다음 호황을 독식하는 구조가 만들어진다; 태우는 금융·자동차뿐 아니라 장기 물류 주권까지 선점하고 김태중이 귀국해 미국 출장 동안 그룹을 맡겠다고 한다,추영희가 20년 무이자·부동산·선박 담보 조건을 받아들이고 계약서 작성을 약속받아 관계·물류자산의 씨앗이 생긴다.,추영희가 20년 무이자·부동산·선박 담보 조건을 받아들이고 계약서 작성을 약속받아 관계·물류자산의 씨앗이 생긴다.,보상은 실제 지급만 세어 8→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→6 판정
