ordinal,arc_id,start_sequence,end_sequence,source_arc_ids,decision,arc_name,dominant_question,evidence_anchor,boundary_line_evidence,predecessor_payoff,next_first_action,bridge_climax_ownership,ledger_sha256,source_sha256
67,DCA-N38,436,440,DCA-N38,SPLIT,용선료·2M·로보소송과 반도체도시 기반,용선료·2M·로보소송과 반도체도시 기반의 약속을 태우해운의 세계 4위 규모와 반도체 도시 1구역의 선매입·7천억 원 차익·빠른 착공 기반을 확인한다. 미국 주도 해운동맹과 연구진 영입은 아직 진행 중이다.까지 실제 장면으로 결산하는가?,L77132~L77149,L77132~L77149; predecessor=435화 L76118~L76286: 권력교체 세 건이 금융·외교 자산으로 결산되고 다음 세계분쟁으로 넘어간다.; next=436화 L76287~L76460: 5년치 선납을 제시한 뒤 태우가 이미 60만 TEU 자가선복을 갖췄다고 공개해 계약 파기 시 직접 운항하겠다고 압박한다.,435화 L76118~L76286: 권력교체 세 건이 금융·외교 자산으로 결산되고 다음 세계분쟁으로 넘어간다.,436화 L76287~L76460: 5년치 선납을 제시한 뒤 태우가 이미 60만 TEU 자가선복을 갖췄다고 공개해 계약 파기 시 직접 운항하겠다고 압박한다.,440화의 지급 ‘태우해운의 세계 4위 규모와 반도체 도시 1구역의 선매입·7천억 원 차익·빠른 착공 기반을 확인한다. 미국 주도 해운동맹과 연구진 영입은 아직 진행 중이다.’은 DCA-N38 소유다. 끝 훅 ‘명동이 2·3구역과 주변 토지를 더 확보하되 기존 주민의 사연을 해치지 않고 반도체 도시를 확장할 수 있는가?’은 bridge이고 441화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
68,DCA-N38B,441,446,DCA-N38,SPLIT,렌터카 실증·바이오 인재와 중국 산업스파이,렌터카 실증·바이오 인재와 중국 산업스파이의 약속을 내부 침투 피해가 중국 경쟁사의 자멸을 유도하는 공격자산이 된다.까지 실제 장면으로 결산하는가?,L77132~L77149;L78027~L78044,L77132~L77149;L78027~L78044; predecessor=440화 L76962~L77140: 태우해운의 세계 4위 규모와 반도체 도시 1구역의 선매입·7천억 원 차익·빠른 착공 기반을 확인한다. 미국 주도 해운동맹과 연구진 영입은 아직 진행 중이다.; next=441화 L77141~L77310: 원격 이동 가능한 거점 주차장을 매입하게 하고 버클리·브로드 팀을 따로 초청해 mRNA와 돌연변이 연구시설을 여섯 시간 넘게 보여 준다.,440화 L76962~L77140: 태우해운의 세계 4위 규모와 반도체 도시 1구역의 선매입·7천억 원 차익·빠른 착공 기반을 확인한다. 미국 주도 해운동맹과 연구진 영입은 아직 진행 중이다.,441화 L77141~L77310: 원격 이동 가능한 거점 주차장을 매입하게 하고 버클리·브로드 팀을 따로 초청해 mRNA와 돌연변이 연구시설을 여섯 시간 넘게 보여 준다.,446화의 지급 ‘내부 침투 피해가 중국 경쟁사의 자멸을 유도하는 공격자산이 된다.’은 DCA-N38B 소유다. 끝 훅 ‘한 달 뒤 트럼프 취임식에서 해운 동맹 문제를 실제 규제 카드로 바꿀 수 있는가?’은 bridge이고 447화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
69,DCA-N38C,447,450,DCA-N38,SPLIT,트럼프 해운규제와 선박·북해자산 확보,트럼프 해운규제와 선박·북해자산 확보의 약속을 회귀 초반의 기술동맹이 세계기업의 보호자 지위로 완성된다.까지 실제 장면으로 결산하는가?,L78207~L78224,L78207~L78224; predecessor=446화 L78036~L78215: 내부 침투 피해가 중국 경쟁사의 자멸을 유도하는 공격자산이 된다.; next=447화 L78216~L78400: 외국 대형 해운동맹이 미국 중소 해운사를 죽인다고 아메리카 퍼스트 논리로 설득하고 미국 투자·고용 계획을 제시한다.,446화 L78036~L78215: 내부 침투 피해가 중국 경쟁사의 자멸을 유도하는 공격자산이 된다.,447화 L78216~L78400: 외국 대형 해운동맹이 미국 중소 해운사를 죽인다고 아메리카 퍼스트 논리로 설득하고 미국 투자·고용 계획을 제시한다.,450화의 지급 ‘회귀 초반의 기술동맹이 세계기업의 보호자 지위로 완성된다.’은 DCA-N38C 소유다. 끝 훅 ‘금융타워 금융사들이 아직 폭발 전인 알트코인 시장에 올라타 최소 다섯 배 차익 항로를 실제 열 수 있는가?’은 bridge이고 451화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
70,DCA-N39,451,455,DCA-N39,KEEP,이더리온·무인공장과 말레이시아 생존 변수,이더리온·무인공장과 말레이시아 생존 변수의 약속을 즉석 구출전이 장기 지정학 보험으로 안정화된다.까지 실제 장면으로 결산하는가?,L78913~L79845,L78913~L79845; predecessor=450화 L78739~L78912: 회귀 초반의 기술동맹이 세계기업의 보호자 지위로 완성된다.; next=451화 L78913~L79090: 8달러인 이더리온을 금융타워가 매입해 시장조성자에게 빌려주고 강대위의 택시면허 100여 개를 활용해 노조 반대를 우회한다.,450화 L78739~L78912: 회귀 초반의 기술동맹이 세계기업의 보호자 지위로 완성된다.,451화 L78913~L79090: 8달러인 이더리온을 금융타워가 매입해 시장조성자에게 빌려주고 강대위의 택시면허 100여 개를 활용해 노조 반대를 우회한다.,455화의 지급 ‘즉석 구출전이 장기 지정학 보험으로 안정화된다.’은 DCA-N39 소유다. 끝 훅 ‘사우디 정부가 예고한 빈 살만의 방한이 숙청 뒤 우애와 장기 사업동맹을 어떻게 이어갈 것인가?’은 bridge이고 456화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
71,DCA-N40,456,462,DCA-N40,KEEP,빈 살만·국민연금과 게임·통신망 증명,빈 살만·국민연금과 게임·통신망 증명의 약속을 국내 3사 중 하나였던 통신사가 국제망 가격을 정할 상위사업자가 된다.까지 실제 장면으로 결산하는가?,L80524~L80539,L80524~L80539; predecessor=455화 L79657~L79845: 즉석 구출전이 장기 지정학 보험으로 안정화된다.; next=456화 L79846~L80027: 2천억 달러 펀드 중 절반 운용 요청은 거절하되 차기 프로젝트 공동투자를 약속하고 블랙홀·MC소프트를 추천한다.,455화 L79657~L79845: 즉석 구출전이 장기 지정학 보험으로 안정화된다.,456화 L79846~L80027: 2천억 달러 펀드 중 절반 운용 요청은 거절하되 차기 프로젝트 공동투자를 약속하고 블랙홀·MC소프트를 추천한다.,462화의 지급 ‘국내 3사 중 하나였던 통신사가 국제망 가격을 정할 상위사업자가 된다.’은 DCA-N40 소유다. 끝 훅 ‘국제유가가 한 달 새 약 10달러 빠진 가운데 곧 50달러를 회복할 시점과 코로나기의 재폭락 가능성이 함께 열린다.’은 bridge이고 463화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
72,DCA-N41,463,465,DCA-N41,SPLIT,일본 품질정보·북미에너지·가이아나 위기전 포지션,일본 품질정보·북미에너지·가이아나 위기전 포지션의 약속을 지분 참여 전략이 에너지·금융·신기술 브랜드 전반의 선점 방식으로 굳어진다.까지 실제 장면으로 결산하는가?,L81543~L81560,L81543~L81560; predecessor=462화 L80891~L81043: 국내 3사 중 하나였던 통신사가 국제망 가격을 정할 상위사업자가 된다.; next=463화 L81044~L81207: JIS 공개수치와 실험값을 비교해 조작을 확인하고 태우 자동차·항공 계열의 일본산 알루미늄 부품을 비공개로 교체한다.,462화 L80891~L81043: 국내 3사 중 하나였던 통신사가 국제망 가격을 정할 상위사업자가 된다.,463화 L81044~L81207: JIS 공개수치와 실험값을 비교해 조작을 확인하고 태우 자동차·항공 계열의 일본산 알루미늄 부품을 비공개로 교체한다.,465화의 지급 ‘지분 참여 전략이 에너지·금융·신기술 브랜드 전반의 선점 방식으로 굳어진다.’은 DCA-N41 소유다. 끝 훅 ‘수익성을 장담할 수 없어도 인재·기업·VR 기기를 동원해 태우를 메타버스 선두주자로 보이게 만들기로 한다.’은 bridge이고 466화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
73,DCA-N41B,466,470,DCA-N41,SPLIT,중·러 공장철수와 5년 임차·대금회수,중·러 공장철수와 5년 임차·대금회수의 약속을 중러 철수 대비가 현금회수·생산연속성·경쟁사 부담 전가로 완성된다.까지 실제 장면으로 결산하는가?,L81543~L81560;L82423~L82440,L81543~L81560;L82423~L82440; predecessor=465화 L81390~L81551: 지분 참여 전략이 에너지·금융·신기술 브랜드 전반의 선점 방식으로 굳어진다.; next=466화 L81552~L81719: 신약 이익을 10년 성장기반에 재투자하고 명동의 정보망까지 점검한 뒤 이영한에게 10조 원 규모 시장과 비트코인 청산 시점을 알려 준다.,465화 L81390~L81551: 지분 참여 전략이 에너지·금융·신기술 브랜드 전반의 선점 방식으로 굳어진다.,466화 L81552~L81719: 신약 이익을 10년 성장기반에 재투자하고 명동의 정보망까지 점검한 뒤 이영한에게 10조 원 규모 시장과 비트코인 청산 시점을 알려 준다.,470화의 지급 ‘중러 철수 대비가 현금회수·생산연속성·경쟁사 부담 전가로 완성된다.’은 DCA-N41B 소유다. 끝 훅 ‘방한한 러시아 측이 철수 의혹을 묻자 더 큰 신규공장을 약속한다.’은 bridge이고 471화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
74,DCA-N41C,471,477,DCA-N41,SPLIT,일본 품질조작 증거·리콜과 저점매수,일본 품질조작 증거·리콜과 저점매수의 약속을 복수작전이 경쟁사 약화와 자사 시스템 신뢰라는 이중 이익으로 결산된다.까지 실제 장면으로 결산하는가?,L82423~L82440;L83680~L83697,L82423~L82440;L83680~L83697; predecessor=470화 L82249~L82431: 중러 철수 대비가 현금회수·생산연속성·경쟁사 부담 전가로 완성된다.; next=471화 L82432~L82611: 한 부회장에게 몽골 투자 확대를 지시하고 베이징의 리강에게 중국 공장 축소는 철수가 아니라 일대일로 물류 참여를 위한 재배치라고 설명한다.,470화 L82249~L82431: 중러 철수 대비가 현금회수·생산연속성·경쟁사 부담 전가로 완성된다.,471화 L82432~L82611: 한 부회장에게 몽골 투자 확대를 지시하고 베이징의 리강에게 중국 공장 축소는 철수가 아니라 일대일로 물류 참여를 위한 재배치라고 설명한다.,477화의 지급 ‘복수작전이 경쟁사 약화와 자사 시스템 신뢰라는 이중 이익으로 결산된다.’은 DCA-N41C 소유다. 끝 훅 ‘도시바가 러시아 공장 계약을 파기하고 싶다고 연락하자 김민재는 직접 만날 일정을 잡으라고 지시한다.’은 bridge이고 478화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
75,DCA-N41D,478,481,DCA-N41,SPLIT,도시바메모리·웨스팅하우스 가격·담보 인수,도시바메모리·웨스팅하우스 가격·담보 인수의 약속을 단순 인수가 공급망 전반의 옵션·담보·연료 확보로 확장된다.까지 실제 장면으로 결산하는가?,L83680~L83697;L84183~L84200,L83680~L83697;L84183~L84200; predecessor=477화 L83506~L83688: 복수작전이 경쟁사 약화와 자사 시스템 신뢰라는 이중 이익으로 결산된다.; next=478화 L83689~L83856: 러시아 공장 파기를 받아주는 대신 두 회사 매각을 제안하고 미국기업·핀테크은행과 연합해 반독점 규제를 피할 구조를 짠다.,477화 L83506~L83688: 복수작전이 경쟁사 약화와 자사 시스템 신뢰라는 이중 이익으로 결산된다.,478화 L83689~L83856: 러시아 공장 파기를 받아주는 대신 두 회사 매각을 제안하고 미국기업·핀테크은행과 연합해 반독점 규제를 피할 구조를 짠다.,481화의 지급 ‘단순 인수가 공급망 전반의 옵션·담보·연료 확보로 확장된다.’은 DCA-N41D 소유다. 끝 훅 ‘카메코 지분을 3년 동안 조용히 모아 러시아 전쟁 뒤 원전과 우라늄 부활을 함께 맞을 준비를 한다.’은 bridge이고 482화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
76,DCA-N42,482,488,DCA-N42,SPLIT,청나라채권 지시·유전코인 회수와 엔비디아 현재지분,청나라채권 지시·유전코인 회수와 엔비디아 현재지분의 약속을 엔비디아 3% 교환·태우증권 8%+·핀테크 포함 약 10%가 현재 지급이고 25/40/50%는 협상·목표다.까지 실제 장면으로 결산하는가?,L85581~L85598,L85581~L85598; predecessor=481화 L84192~L84351: 단순 인수가 공급망 전반의 옵션·담보·연료 확보로 확장된다.; next=482화 L84352~L84522: 5% 금리·600만 파운드 청나라 채권을 경매·골동품상·미영 재단에서 6개월 안 최소 절반 매집하라고 지시한다.,481화 L84192~L84351: 단순 인수가 공급망 전반의 옵션·담보·연료 확보로 확장된다.,482화 L84352~L84522: 5% 금리·600만 파운드 청나라 채권을 경매·골동품상·미영 재단에서 6개월 안 최소 절반 매집하라고 지시한다.,"488화의 지급 ‘엔비디아 3% 교환·태우증권 8%+·핀테크 포함 약 10%가 현재 지급이고 25/40/50%는 협상·목표다.’은 DCA-N42 소유다. 끝 훅 ‘미중 무역분쟁은 김민재가 20년 동안 기다린 마지막 초대형 기회이고, 반드시 잡아야 한다.’은 bridge이고 489화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
77,DCA-N42B,489,495,DCA-N42,SPLIT,미중 무역전쟁과 중국 5년 금융권한 말합의,미중 무역전쟁과 중국 5년 금융권한 말합의의 약속을 중국 내 5년 금융활동 권한과 5년 뒤 채권양도는 정치적 말합의이고 세부계약·실행은 미지급이다.까지 실제 장면으로 결산하는가?,L85581~L85598,L85581~L85598; predecessor=488화 L85415~L85589: 엔비디아 3% 교환·태우증권 8%+·핀테크 포함 약 10%가 현재 지급이고 25/40/50%는 협상·목표다.; next=489화 L85590~L85766: 트럼프의 호출에 응해 중국 보유채권 20% 이상 매각 가능성을 계산하고 공매도 수익으로 채권을 사겠다고 제안한다.,488화 L85415~L85589: 엔비디아 3% 교환·태우증권 8%+·핀테크 포함 약 10%가 현재 지급이고 25/40/50%는 협상·목표다.,489화 L85590~L85766: 트럼프의 호출에 응해 중국 보유채권 20% 이상 매각 가능성을 계산하고 공매도 수익으로 채권을 사겠다고 제안한다.,495화의 지급 ‘중국 내 5년 금융활동 권한과 5년 뒤 채권양도는 정치적 말합의이고 세부계약·실행은 미지급이다.’은 DCA-N42B 소유다. 끝 훅 ‘데이비드가 니콜라가 조작을 넘어선 사기라고 보고한다.’은 bridge이고 496화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
78,DCA-N43,496,505,DCA-N43,SPLIT,니콜라·희토류·HBM과 팬데믹 공급망 사전방벽,니콜라·희토류·HBM과 팬데믹 공급망 사전방벽의 약속을 다이먼·데이비드에게 비테라 인수를 맡기고 머스크에게 농업위성 구축 약속을 받는다.까지 실제 장면으로 결산하는가?,L87660~L87677;L88506~L88523,L87660~L87677;L88506~L88523; predecessor=495화 L86652~L86827: 중국 내 5년 금융활동 권한과 5년 뒤 채권양도는 정치적 말합의이고 세부계약·실행은 미지급이다.; next=496화 L86828~L87002: 후계자 김정권에게 영상의 각도를 돌려 사기방식을 보여 주고 2주 안에 지분을 팔며 새만금 공장·인력을 배치하라는 조건을 건다.,495화 L86652~L86827: 중국 내 5년 금융활동 권한과 5년 뒤 채권양도는 정치적 말합의이고 세부계약·실행은 미지급이다.,496화 L86828~L87002: 후계자 김정권에게 영상의 각도를 돌려 사기방식을 보여 주고 2주 안에 지분을 팔며 새만금 공장·인력을 배치하라는 조건을 건다.,505화의 지급 ‘다이먼·데이비드에게 비테라 인수를 맡기고 머스크에게 농업위성 구축 약속을 받는다.’은 DCA-N43 소유다. 끝 훅 ‘식량 대란이 오기 전에 비테라 계약과 위성망을 실제로 완성할 시간이 흐르기 시작한다.’은 bridge이고 506화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
79,DCA-N43B,506,510,DCA-N43,SPLIT,기술유출 증거·보호법과 중국 블랙리스트,기술유출 증거·보호법과 중국 블랙리스트의 약속을 리강의 철회 압박을 증거로 물리치고 미국·일본·EU 취업까지 막는 블랙리스트 추진에 들어간다.까지 실제 장면으로 결산하는가?,L88506~L88523;L89355~L89372,L88506~L88523;L89355~L89372; predecessor=505화 L88347~L88514: 다이먼·데이비드에게 비테라 인수를 맡기고 머스크에게 농업위성 구축 약속을 받는다.; next=506화 L88515~L88679: 천민정의 디스플레이 기술유출 증거와 관련자 명단을 이영한에게 넘긴다.,505화 L88347~L88514: 다이먼·데이비드에게 비테라 인수를 맡기고 머스크에게 농업위성 구축 약속을 받는다.,506화 L88515~L88679: 천민정의 디스플레이 기술유출 증거와 관련자 명단을 이영한에게 넘긴다.,510화의 지급 ‘리강의 철회 압박을 증거로 물리치고 미국·일본·EU 취업까지 막는 블랙리스트 추진에 들어간다.’은 DCA-N43B 소유다. 끝 훅 ‘김민재의 미국행 목적이 비테라 인수와 곡물 메이저 ABC 협상으로 구체화된다.’은 bridge이고 511화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
80,DCA-N43C,511,512,DCA-N43,SPLIT,곡물 카르텔 1000억 달러와 비테라 인수,"곡물 카르텔 1000억 달러와 비테라 인수의 약속을 비테라 인수와 태우 곡물회사 전환, 세계 농업 인프라 임차 조건이 확정된다.까지 실제 장면으로 결산하는가?",L89355~L89372;L89688~L89705,L89355~L89372;L89688~L89705; predecessor=510화 L89194~L89363: 리강의 철회 압박을 증거로 물리치고 미국·일본·EU 취업까지 막는 블랙리스트 추진에 들어간다.; next=511화 L89364~L89522: 카길·와이자타 앞에서 연 1천억 달러 곡물 구매와 농장 임차를 제안한다,510화 L89194~L89363: 리강의 철회 압박을 증거로 물리치고 미국·일본·EU 취업까지 막는 블랙리스트 추진에 들어간다.,511화 L89364~L89522: 카길·와이자타 앞에서 연 1천억 달러 곡물 구매와 농장 임차를 제안한다,"512화의 지급 ‘비테라 인수와 태우 곡물회사 전환, 세계 농업 인프라 임차 조건이 확정된다.’은 DCA-N43C 소유다. 끝 훅 ‘태우반도체를 대체 불가능한 공급자로 만들 해외 팹·첨단칩 투자가 다음 과제로 열린다.’은 bridge이고 513화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
81,DCA-N43D,513,516,DCA-N43,SPLIT,인도·베트남 구형팹·ASML·곡물과 28GHz,인도·베트남 구형팹·ASML·곡물과 28GHz의 약속을 ASML 5년 계약 10조 원+·중국행 구형장비 일부·베트남/인도 협상 회고·28GHz/스타링크 지시가 지급되며 단지·곡물/농지 계약은 진행형이다.까지 실제 장면으로 결산하는가?,L89688~L89705,"L89688~L89705; predecessor=512화 L89523~L89696: 비테라 인수와 태우 곡물회사 전환, 세계 농업 인프라 임차 조건이 확정된다.; next=513화 L89697~L89854: 인도·베트남을 중국 구형반도체 시장 50% 대체기지로 잡고 구형 노광장비 선점·2년 제재·악성재고 책임을 설계한다.","512화 L89523~L89696: 비테라 인수와 태우 곡물회사 전환, 세계 농업 인프라 임차 조건이 확정된다.",513화 L89697~L89854: 인도·베트남을 중국 구형반도체 시장 50% 대체기지로 잡고 구형 노광장비 선점·2년 제재·악성재고 책임을 설계한다.,516화의 지급 ‘ASML 5년 계약 10조 원+·중국행 구형장비 일부·베트남/인도 협상 회고·28GHz/스타링크 지시가 지급되며 단지·곡물/농지 계약은 진행형이다.’은 DCA-N43D 소유다. 끝 훅 ‘손실을 감수한 28GHz 전국망과 스타링크 협업으로 통신·자율주행 기반을 실제 구축할 수 있는가?’은 bridge이고 517화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
82,DCA-N44,517,540,DCA-N44,KEEP,일본 소재·금융전을 12나인과 오염수로 역전,일본 소재·금융전을 12나인과 오염수로 역전의 약속을 대화그룹의 소재 국산화 공로가 인정되고 HBM·양자·AI 무제한 투자방침이 확정된다.까지 실제 장면으로 결산하는가?,L91033~L91050;L92752~L92769;L93611~L93628,"L91033~L91050;L92752~L92769;L93611~L93628; predecessor=516화 L90197~L90378: ASML 5년 계약 10조 원+·중국행 구형장비 일부·베트남/인도 협상 회고·28GHz/스타링크 지시가 지급되며 단지·곡물/농지 계약은 진행형이다.; next=517화 L90379~L90540: 일본 초계기 갈등을 계기로 일본 소재를 2~10배 비축하고 관련주 공매도를 준비한 뒤, 내부정보를 구하러 명동으로 향한다.",516화 L90197~L90378: ASML 5년 계약 10조 원+·중국행 구형장비 일부·베트남/인도 협상 회고·28GHz/스타링크 지시가 지급되며 단지·곡물/농지 계약은 진행형이다.,"517화 L90379~L90540: 일본 초계기 갈등을 계기로 일본 소재를 2~10배 비축하고 관련주 공매도를 준비한 뒤, 내부정보를 구하러 명동으로 향한다.",540화의 지급 ‘대화그룹의 소재 국산화 공로가 인정되고 HBM·양자·AI 무제한 투자방침이 확정된다.’은 DCA-N44 소유다. 끝 훅 ‘예상한 팬데믹 수익을 실제로 확보해 HBM·양자·AI 무제한 투자의 위험과 시간을 감당할 수 있는가?’은 bridge이고 541화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
83,DCA-N45,541,555,DCA-N45,SPLIT,우한 조기경보·진단키트와 다이아 프린스 구조,우한 조기경보·진단키트와 다이아 프린스 구조의 약속을 약 300명이 안전하게 한국에 도착하고 최재석 정부·태우병원의 국제이미지가 상승한다.까지 실제 장면으로 결산하는가?,L97139~L97156,L97139~L97156; predecessor=540화 L94314~L94486: 대화그룹의 소재 국산화 공로가 인정되고 HBM·양자·AI 무제한 투자방침이 확정된다.; next=541화 L94487~L94679: 태우병원 이동수 의료진이 우한에서 신종 코로나를 탐지하고 센트리언이 검사키트·백신·치료제 연구에 착수한다.,540화 L94314~L94486: 대화그룹의 소재 국산화 공로가 인정되고 HBM·양자·AI 무제한 투자방침이 확정된다.,541화 L94487~L94679: 태우병원 이동수 의료진이 우한에서 신종 코로나를 탐지하고 센트리언이 검사키트·백신·치료제 연구에 착수한다.,555화의 지급 ‘약 300명이 안전하게 한국에 도착하고 최재석 정부·태우병원의 국제이미지가 상승한다.’은 DCA-N45 소유다. 끝 훅 ‘구조 뒤 최재석에게 약속한 석 달 안 백신과 사회적 거리두기 준비를 실제 방역체계로 만들 수 있는가?’은 bridge이고 556화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
84,DCA-N45B,556,565,DCA-N45+DCA-N46,MERGE_SHIFT,3월 폭락·유가전쟁과 미국 대선 양면보험,3월 시장폭락·유가전쟁·백신 변수 속에서 금융수익과 미국 대선 양면보험을 함께 확보하는가?,L97139~L97156;L98031~L98063;L98926~L98946,L97139~L97156;L98031~L98063;L98926~L98946; predecessor=555화 L96945~L97147: 약 300명이 안전하게 한국에 도착하고 최재석 정부·태우병원의 국제이미지가 상승한다.; next=556화 L97148~L97327: AI가 예측한 3월 폭락에 금융타워·국민연금 포지션을 맞춘다,555화 L96945~L97147: 약 300명이 안전하게 한국에 도착하고 최재석 정부·태우병원의 국제이미지가 상승한다.,556화 L97148~L97327: AI가 예측한 3월 폭락에 금융타워·국민연금 포지션을 맞춘다,565화의 지급 ‘바이든의 조건부 의무화 약속을 받고 주 후원선이 전환되며 트럼프 관계도 보존된다.’은 DCA-N45B 소유다. 끝 훅 ‘바이든을 주 경주마로 바꾸고 트럼프선을 유지한 이중 안전망을 국내 사장단 회의와 백신정책의 실제 실행으로 연결할 수 있는가?’은 bridge이고 566화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
85,DCA-N46,566,570,DCA-N46,SHIFT,사장단 포스트코로나 재편과 일본 20조 엔·FDA 승인,사장단 회의로 코로나 이후 사업을 재편하고 일본 20조 엔·FDA 승인을 실제 계약과 허가로 받는가?,L98926~L98964,L98926~L98964; predecessor=565화 L98761~L98946: 바이든의 조건부 의무화 약속을 받고 주 후원선이 전환되며 트럼프 관계도 보존된다.; next=566화 L98947~L99104: 태우 사장단 회의에서 원전·레거시칩 증산과 태우상사의 선박 매입을 승인하고 계열사별 저점투자 방향을 정한다.,565화 L98761~L98946: 바이든의 조건부 의무화 약속을 받고 주 후원선이 전환되며 트럼프 관계도 보존된다.,566화 L98947~L99104: 태우 사장단 회의에서 원전·레거시칩 증산과 태우상사의 선박 매입을 승인하고 계열사별 저점투자 방향을 정한다.,570화의 지급 ‘일본 내각의 방역물자·G7 비반대·20조 엔 자산거래 수락과 센트리언 백신 FDA 승인을 얻는다. 자산 인수 집행은 남는다.’은 DCA-N46 소유다. 끝 훅 ‘유일한 대량생산자가 백신 가격·배송·국가별 대가를 어떻게 설계할지가 열린다.’은 bridge이고 571화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
