sequence,visible_label,field,source_lines,manager_start_before,pre_rejection_after,stage_after,bidirectional_result,evidence,adjudication
230,230화,ending_hook,L41259~L41447,태우가 실제 4조 원으로 낙찰됐다는 통보가 현재자동차 회장실에 들어온다,한전 부지 입찰 승리가 확인된 뒤 실제 낙찰가와 장경준의 반응은 어떻게 드러날 것인가?,한전 부지 입찰 승리가 확인된 뒤 실제 낙찰가와 장경준의 반응은 어떻게 드러날 것인가?,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
230,230화,opened_loops,L41259~L41447,4조 낙찰·공군 인허가,한전 부지 실제 낙찰가; 공군 인허가,한전 부지 실제 낙찰가; 공군 인허가,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
243,243화,turn_or_reveal,L43451~L43611,강수기가 과거 조폭 소탕 명단에 있었고 SG 지분·양지파 관계까지 이어진다는 단서가 나온다,강수기가 과거 조폭 소탕 명단에 있었고 SG엔터 지분과 조직폭력 배후가 이어진다는 단서가 나온다.,강수기가 과거 조폭 소탕 명단에 있었고 SG엔터 지분과 조직폭력 배후가 이어진다는 단서가 나온다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
243,243화,paid_reward,L43451~L43611,이적 분쟁의 핵심 상대를 강수기와 양지파로 좁히고 비공개 대응팀을 세운다,이적 분쟁의 핵심 상대를 강수기와 정체를 숨긴 조직폭력 배후로 좁히고 비공개 대응팀을 세운다.,이적 분쟁의 핵심 상대를 강수기와 정체를 숨긴 조직폭력 배후로 좁히고 비공개 대응팀을 세운다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
243,243화,opened_loops,L43451~L43611,강수기 면담; SG·양지파의 배후,강수기 면담; SG엔터의 조직폭력 배후,강수기 면담; SG엔터의 조직폭력 배후,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
253,253,action,L45073~L45227,전기차를 걱정하는 김태중 회장에게 장기 선점 논리를 설명해 믿음을 얻고 한 팀장·데이비드에게 연체율·파산율·평가등급 괴리를 보고받아 라구람 라잔 접촉을 지시한다.,전기차를 걱정하는 김태중에게 장기 선점 논리를 설명해 믿음을 얻고 한 팀장·데이비드에게 연체율·파산율·평가등급 괴리를 보고받아 부동산 버블을 경고한 라잔 접촉을 지시한다.,전기차를 걱정하는 김태중에게 장기 선점 논리를 설명해 믿음을 얻고 한 팀장·데이비드에게 연체율·파산율·평가등급 괴리를 보고받아 부동산 버블을 경고한 라잔 접촉을 지시한다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
253,253,turn_or_reveal,L45073~L45227,지역 연방준비은행과 IMF 출신 라잔도 부동산 버블을 경고했다는 사실이 확인되고 라잔이 현재 미국에 있음이 드러난다.,지역 연방준비은행과 IMF 출신 라잔도 2005년부터 부동산 버블을 경고했고 현재 미국에 있음이 확인된다.,지역 연방준비은행과 IMF 출신 라잔도 2005년부터 부동산 버블을 경고했고 현재 미국에 있음이 확인된다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
253,253,ending_hook,L45073~L45227,미국 부동산 붕괴를 2005년부터 경고한 라잔을 영입하러 간다.,2005년부터 미국 부동산 붕괴를 경고한 라잔을 만나 SAVE의 다음 책임자로 영입할 수 있는가?,2005년부터 미국 부동산 붕괴를 경고한 라잔을 만나 SAVE의 다음 책임자로 영입할 수 있는가?,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
253,253,opened_loops,L45073~L45227,라잔 영입과 월가 붕괴 대응 조직 구축 루프,라잔 첫 면담·영입; 월가 붕괴 대응 조직 구축,라잔 첫 면담·영입; 월가 붕괴 대응 조직 구축,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
259,259,action,L46076~L46253,천민정에게 사투리·다국어 통역·방범을 지원하는 픽시2와 바둑 AI를 보고받고 스타크 AI를 용산 프로게이머 이벤트전에 투입한다.,천민정에게 차세대 스마트 셋톱박스와 바둑 AI 진행을 보고받고 스타크 AI를 용산 프로게이머 이벤트전에 투입한다.,"픽시가 전국·북한 사투리, 영어·중국어·일본어·스페인어와 간단 통역, CCTV 방범·자동연락을 지원하며 즉시 출시 가능하다는 보고를 받는다. 래더 2위·프로 상대 승률 50%, 전용 하드웨어 전망 80%인 스타크 AI를 용산 공개전에 투입한다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
259,259,paid_reward,L46076~L46253,천민정의 연구가 연구실을 벗어나 상용 픽시2와 대중 앞의 인간-AI 대결로 진입한다.,천민정의 연구가 연구실을 벗어나 차세대 스마트 셋톱박스 준비와 대중 앞 인간-AI 대결로 진입한다.,"출시 가능한 픽시의 사투리·4개 외국어·통역·방범 기능, 스타크 AI의 래더 2위·프로 승률 50%와 전용 하드웨어 80% 전망, 용산 공개전 1경기 승리를 확인한다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
259,259,closed_loops,L46076~L46253,픽시2·게임 AI 개발 루프,차세대 스마트 셋톱박스·게임 AI 개발점검,픽시 업그레이드 기능·즉시 출시 준비; 스타크 AI 래더 성능 확인; 공개전 1경기 승리,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
264,264,resistance_or_cost,L46932~L47106,자동화 비용은 아직 인건비보다 비싸고 다이먼은 복수심에 들떠 있으며 CITI도 2만 명 감원으로 버틴다.,"자동화 비용은 아직 인건비보다 비싸고 다이먼은 복수심에 들떠 있으며, 대형 금융사들의 실제 부실규모도 아직 드러나지 않았다.","자동화는 30%를 절감했어도 아직 인건비가 더 싸고, 다이먼은 복수심에 들떠 있다. CITI는 2만 명을 감원해도 최소 600억 달러 손실을 현금으로 막지 못한다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
264,264,opened_loops,L46932~L47106,CITI·리먼·AIZ를 고르는 금융 수확 루프,CITI·리먼 등 위기 금융사 수확,CITI 부실자산·리먼 등 위기 금융사 수확; 보험증서 행사시점,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
309,309,ending_hook,L54454~L54614,주유소·휴게소와 해외 충전망이 다음 병목이다.,5년 전기차 인프라 약속을 실제 충전기 설치와 재선 이후 지속사업으로 만들 수 있는가?,5년 전기차 인프라 약속을 실제 충전기 설치와 재선 이후 지속사업으로 만들 수 있는가?,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
327,327화,paid_reward,L57488~L57633,태우가 공격적 확장기에서 현금 축적기로 전환한다.,"일본 KIKO·공매도와 남유럽 디폴트 포지션, 퀀텀·사우디 자금의 참여 방향을 비상회의에서 승인한다. 실제 수익은 아직 전이다.","일본 KIKO·공매도와 남유럽 디폴트 포지션, 퀀텀·사우디 자금의 참여 방향을 비상회의에서 승인한다. 실제 수익은 아직 전이다.",PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
327,327화,state_change,L57488~L57633,태우가 공격적 확장기에서 현금 축적기로 전환한다.,태우가 공격적 확장기에서 대형 위기에 대비한 현금 축적기로 전환한다.,태우가 공격적 확장기에서 대형 위기에 대비한 현금 축적기로 전환한다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
331,331,turn_or_reveal,L58139~L58329,계약 우위가 유지되고 전국 260개 PC방이 여론전에 투입된다.,계약 우위가 유지되고 전국의 PC방 IP를 선거 여론전에 쓸 준비가 끝난다.,계약 우위가 유지되고 전국의 PC방 IP를 선거 여론전에 쓸 준비가 끝난다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
334,334,protagonist_goal,L58666~L58839,1만2천 교민을 대피시키고 최재석의 지도력을 세운다.,일본 교민 대피수단을 마련하고 최재석의 지도력을 세운다.,일본 교민 대피수단을 마련하고 최재석의 지도력을 세운다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
334,334,action,L58666~L58839,항공기·버스·전용기를 투입하고 최재석에게 긴급 기자회견과 현장 대피를 맡긴다.,항공기·버스를 계약하고 최재석에게 긴급 기자회견과 교민협조 역할을 맡긴다.,항공기·버스를 계약하고 최재석에게 긴급 기자회견과 교민협조 역할을 맡긴다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
334,334,paid_reward,L58666~L58839,회귀지식이 돈보다 먼저 생명을 구하는 자산이 된다.,항공기·버스 계약과 현지 교민 협조선을 확보하고 최재석의 일본행·기자회견 역할을 정한다. 실제 대피는 아직 전이다.,항공기·버스 계약과 현지 교민 협조선을 확보하고 최재석의 일본행·기자회견 역할을 정한다. 실제 대피는 아직 전이다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
334,334,state_change,L58666~L58839,회귀지식이 돈보다 먼저 생명을 구하는 자산이 된다.,정부가 움직이지 않는 동안 태우가 민간 대피수단을 준비하고 최재석이 현장 책임을 맡는 단계로 바뀐다.,정부가 움직이지 않는 동안 태우가 민간 대피수단을 준비하고 최재석이 현장 책임을 맡는 단계로 바뀐다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
334,334,opened_loops,L58666~L58839,김민재 기자회견; 1만2천 명 대피·비용 부담의 실제 발표와 실행,김민재 기자회견; 교민 대피·비용 부담의 실제 발표와 실행,김민재 기자회견; 교민 대피·비용 부담의 실제 발표와 실행,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
335,335,paid_reward,L58840~L59004,과잉대응 프레임이 선견으로 뒤집힐 준비가 끝난다.,"교민 1만2천 명 대피 지원과 비용 전액 부담, 미·일 자료 전달·미국 추가자료 요청·구호물자 조달선을 실제로 확보한다.","교민 대피 지원과 비용 전액 책임을 공개하고, 운송수단·미국 추가자료 요청·구호물자 조달선을 확보한다. 1만2천 명 실제 대피는 아직 미지급이다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
335,335,state_change,L58840~L59004,과잉대응 프레임이 선견으로 뒤집힐 준비가 끝난다.,김민재가 회장직과 그룹 신뢰를 담보로 AI 재난예측을 공개해 개인 판단을 태우그룹의 공식 책임으로 바꾼다.,"김민재가 그룹 신뢰를 담보로 AI 재난예측과 민간 대피책임을 공식화하고, 동일본 대지진 발생으로 구조 실행단계에 들어간다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
341,341화,paid_reward,L59812~L59973,최재석은 침묵을 끝내고 대통령 후보로 나설 기반을 얻는다.,"국민경제당 후보가 서울시장 보궐선거에서 36대34, 2퍼센트 차이로 당선된다.",국민경제당 후보의 서울시장 보궐선거 36대34 승리와 디도스 증거의 내부 인계가 지급된다. 증거 공개와 최재석의 공식 대선선언은 아직 전이다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
341,341화,state_change,L59812~L59973,최재석은 침묵을 끝내고 대통령 후보로 나설 기반을 얻는다.,국민경제당이 서울시장 승리를 얻고 김민재는 오래 침묵한 최재석을 당의 대권 중심으로 세울 때라고 판단한다. 실제 대권 선언은 아직 전이다.,국민경제당은 서울시장직을 얻고 최재석은 대권행보를 시작할 정치적 발판을 확보한다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
341,341화,ending_hook,L59812~L59973,최재석의 대권 선언이 기다린다.,서울시장 승리를 발판으로 최재석이 오랜 침묵을 깨고 실제 대권 도전에 나설 것인가?,최재석이 긴 침묵을 끝내고 이제 움직이겠다고 말한다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
341,341화,closed_loops,L59812~L59973,서울 보궐 증거,서울시장 보궐선거 승리,서울시장 보궐선거 36대34 승리; 디도스 증거 내부 인계,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
341,341화,opened_loops,L59812~L59973,최재석 대권·해외 투자,최재석의 대권 결심·선언; 해외 투자,디도스 증거 공개; 최재석의 공식 대권선언; 해외투자,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
347,347,resistance_or_cost,L60801~L60982,센트리언 규모가 작고 오스틴은 외국기업을 거부한다.,텍사스 토지 소유주들은 외국기업의 셰일 개발 참여를 꺼리고 전직 대통령에게도 아직 구체 설득을 부탁하지 않았다.,텍사스 토지 소유주들은 외국기업의 셰일 개발 참여를 꺼리고 전직 대통령에게도 아직 구체 설득을 부탁하지 않았다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
348,348,turn_or_reveal,L60983~L61166,오스틴이 제주도보다 큰 50만 에이커 왜그너 목장을 알려준다.,부시의 소개로 만난 텍사스 토지 소유주가 제주도보다 큰 50만 에이커 목장 매물을 알려 준다.,부시의 소개로 만난 텍사스 토지 소유주가 제주도보다 큰 50만 에이커 목장 매물을 알려 준다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
348,348,ending_hook,L60983~L61166,왜그너 상속자와 협상해야 한다.,이름이 아직 나오지 않은 50만 에이커 목장 매도 측을 찾아 먼저 매물을 확보할 수 있는가?,이름이 아직 나오지 않은 50만 에이커 목장 매도 측을 찾아 먼저 매물을 확보할 수 있는가?,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
351,351,protagonist_goal,L61506~L61665,셰일 합작과 트럼프 후원·금융타워 입주를 확정한다.,셰일 합작과 트럼프 후원·유럽 금융사의 서울 금융허브 입주를 확정한다.,셰일 합작과 트럼프 후원·유럽 금융사의 서울 금융허브 입주를 확정한다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
381,381,paid_reward,L66743~L66910,태우는 마르지 않는 투자우물을 확보한다.,"커넥트 자동번역 완성, 로보가 훔친 신약 AI 오염, 금융사별 유가 하락 수익 배분을 실행하고 원유 100달러선 붕괴·셰일주 15퍼센트 하락을 확인한다.","커넥트 자동번역 완성, 로보가 훔친 신약 AI 오염, 금융사별 유가 하락 수익 배분을 실행하고 원유 100달러선 붕괴·셰일주 15퍼센트 하락을 확인한다.",PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
381,381,state_change,L66743~L66910,석유전과 바이오 정보전이 동시에 전쟁으로 명명된다.,석유 하락 포지션과 로보 바이오 역정보가 동시에 실행되는 두 전쟁으로 전환된다. 20년 뒤 대규모 투자의 정체는 아직 감춰져 있다.,석유 하락 포지션과 로보 바이오 역정보가 동시에 실행되는 두 전쟁으로 전환된다. 20년 뒤 대규모 투자의 정체는 아직 감춰져 있다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
382,382,protagonist_goal,L66911~L67084,헤스와 체셔피크 인수자금을 만든다.,미국 정부가 구조를 요청한 셰일업체 가운데 알짜 자산을 인수할 자금을 만든다.,체셔피크와 헤스를 500억 달러 이상 규모로 인수할 자금을 만들고 헤스의 가이아나 펀드 30%를 태우 목표 60%로 끌어올린다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
382,382,action,L66911~L67084,체셔피크·헤스 공매도를 늘리고 가이아나 해양유전 지분을 노리며 미국대사의 구조요청을 받는다.,셰일업체 공매도를 늘리고 미국 대사의 구조요청을 받은 뒤 알짜 업체·지분만 골라 인수할 뜻을 밝힌다.,"체셔피크·헤스 공매도를 늘려 주가를 낮추고, 헤스가 가진 가이아나 펀드 30%와 태우 목표 60%를 확인한다. 미국 대사가 셰일업체 구조를 요청하자 두 회사를 고유 표적으로 제시한다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
391,391,ending_hook,L68452~L68641,정밀조사 일주일 동안 공매도 자금을 더 끌어들인다.,가이아나 현장팀의 최소 50억 배럴 추정이 실제 대형 유전으로 확인돼 헤스 공매도판을 뒤집을 수 있는가?,가이아나 현장팀의 최소 50억 배럴 추정이 실제 대형 유전으로 확인돼 헤스 공매도판을 뒤집을 수 있는가?,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
394,394,action,L68991~L69182,주식 반환을 거절하고 1억 달러 프리미엄을 요구한 뒤 버크셔가 판 지분을 워런과 협상한다.,"금융타워의 레일·마크 펀드에 1억 달러 프리미엄을 요구해 내보낸 뒤, 버크셔가 헤스 지분 7퍼센트 이상을 모은 이유를 확인하고 워런에게 3년 임대를 제안한다.","금융타워의 레일·마크 펀드에 1억 달러 프리미엄을 요구해 내보낸 뒤, 버크셔가 헤스 지분 7퍼센트 이상을 모은 이유를 확인하고 워런에게 3년 임대를 제안한다.",PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
394,394,turn_or_reveal,L68991~L69182,버크셔가 가치투자로 헤스를 전부 샀고 워런이 작전에 관심을 보인다.,버크셔의 매수 목적은 가치투자였고 워런은 민재를 지지하지만 헤스 지분 매각은 거절한다.,버크셔의 매수 목적은 가치투자였고 워런은 민재를 지지하지만 헤스 지분 매각은 거절한다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
394,394,paid_reward,L68991~L69182,"금융타워 배신자에게 1억 달러 프리미엄 규율을 적용하고, 버크셔와 헤스 지분 임대·공개매수 동맹 협상을 연다. 워런의 참여 확답은 아직 전이다.","배신 펀드 두 곳에 1억 달러 프리미엄 규율을 적용하고, 워런에게 헤스 지분 3년 임대와 정체를 밝히지 않은 시장 이벤트를 제안한다. 지분 임대와 참여 확답은 아직 전이다.","배신 펀드 두 곳에 1억 달러 프리미엄 규율을 적용하고, 워런에게 헤스 지분 3년 임대와 정체를 밝히지 않은 시장 이벤트를 제안한다. 지분 임대와 참여 확답은 아직 전이다.",PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
394,394,state_change,L68991~L69182,"배신자 처분은 실행되고 버크셔는 잠재 우군으로 등장하지만, 지분 임대와 동맹은 제안 단계로 남는다.","금융타워 내부 배신자에게 퇴출성 비용이 부과되고, 버크셔는 작전 내용을 듣기 전 잠재 우군으로 이동한다.","금융타워 내부 배신자에게 퇴출성 비용이 부과되고, 버크셔는 작전 내용을 듣기 전 잠재 우군으로 이동한다.",PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
394,394,ending_hook,L68991~L69182,워런이 헤스 지분 3년 임대와 아직 밝히지 않은 공개매수 작전에 참여할 것인가?,워런은 헤스 지분을 3년 빌려 달라는 제안과 정체가 공개되지 않은 시장 이벤트에 참여할 것인가?,워런은 헤스 지분을 3년 빌려 달라는 제안과 정체가 공개되지 않은 시장 이벤트에 참여할 것인가?,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
394,394,opened_loops,L68991~L69182,버크셔 지분 임대·동맹; 헤스 공개매수·상장폐지,버크셔 헤스 지분 3년 임대; 정체를 밝히지 않은 시장 이벤트,버크셔 헤스 지분 3년 임대; 정체를 밝히지 않은 시장 이벤트,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
399,399,ending_hook,L69891~L70053,유고빈 원형 신약을 헐값에 사야 한다.,로보가 폐기하려는 신약을 태우가 헐값에 확보할 수 있는가?,천민정이 로보가 폐기하려는 신약 후보를 태우가 살릴 수 있다고 보고한다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
414,414,entry_state,L72491~L72663,유고빈 FDA 승인이 임박하고 빈 살만이 한국에 온다.,센트리언의 당뇨병 치료제 FDA 승인이 임박하고 빈 살만이 한국에 온다.,센트리언의 당뇨병 치료제 FDA 승인이 임박하고 빈 살만이 한국에 온다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
414,414,protagonist_goal,L72491~L72663,유고빈 공장을 늘리고 빈 살만을 왕세자로 올린다.,당뇨병 치료제 생산공장을 늘리고 빈 살만을 왕세자로 올린다.,당뇨병 치료제 생산공장을 늘리고 빈 살만을 왕세자로 올린다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
414,414,closed_loops,L72491~L72663,유고빈 심사,당뇨병 치료제 FDA 심사,삼진바이오 흑자·무상 공장지원 제안; 국민경제당 지지율 1위; 빈 살만의 부왕 동의,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
415,415,turn_or_reveal,L72664~L72834,25만 대 렌터카와 미국 화물망이 실험대상이 된다.,렌터카 업체와 미국 화물망이 원격조종·자율주행 실험대상이 될 수 있다.,렌터카 업체와 미국 화물망이 원격조종·자율주행 실험대상이 될 수 있다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
419,419,ending_hook,L73360~L73524,최재석과 해운·PF 정책을 확정한다.,최재석이 생각을 정리한 해운업 문제를 다음 날 어떤 조건으로 풀지 남는다.,최재석이 생각을 정리한 해운업 문제를 다음 날 어떤 조건으로 풀지 남는다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
433,433,ending_hook,L75754~L75944,버클리·브로드 등 세 유전자 가위 진영을 한꺼번에 영입한다.,특허분쟁 중인 세 유전자 가위 진영을 각각 만나 기술·연구진을 한꺼번에 확보할 수 있는가?,특허분쟁 중인 세 유전자 가위 진영을 각각 만나 기술·연구진을 한꺼번에 확보할 수 있는가?,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
445,445,action,L77842~L78035,미국 투자약속을 공식화한 뒤 리강·칭화 회장의 반도체 기술매각 요구를 거절하고 천민정의 무단접속 기록을 정영근의 칭화 연계 정보와 대조한다.,미국 투자약속을 공식화한 뒤 리강·칭화 회장의 반도체 기술매각 요구를 거절하고 천민정의 무단접속 기록을 200명 명단의 이중소속 정보와 대조한다.,미국 투자약속을 공식화한 뒤 리강·칭화 회장의 반도체 기술매각 요구를 거절하고 천민정의 무단접속 기록을 200명 명단의 이중소속 정보와 대조한다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
445,445,turn_or_reveal,L77842~L78035,정영근이 칭화 기획조직과 태우반도체에 동시에 걸친 산업스파이로 드러난다.,200명 명단에서 칭화 기획조직과 태우반도체에 동시에 걸친 산업스파이 후보 한 명이 드러난다.,200명 명단에서 칭화 기획조직과 태우반도체에 동시에 걸친 산업스파이 후보 한 명이 드러난다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
445,445,state_change,L77842~L78035,50억 달러 투자로 미국 우군을 사고 스파이의 실명까지 확보한다.,50억 달러 투자로 미국 우군을 사고 내부 산업스파이 후보를 한 명까지 좁힌다.,50억 달러 투자로 미국 우군을 사고 내부 산업스파이 후보를 한 명까지 좁힌다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
445,445,ending_hook,L77842~L78035,정영근이 칭화그룹 기획팀과 태우반도체 기술개발팀에 동시에 속한 산업스파이임이 드러난다.,두 회사 소속이 함께 적힌 산업스파이 후보의 계좌·접촉선을 조사해 실제 유출 증거를 확보할 수 있는가?,두 회사 소속이 함께 적힌 산업스파이 후보의 계좌·접촉선을 조사해 실제 유출 증거를 확보할 수 있는가?,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
