arc_id,start_sequence,end_sequence,pacing_reading,avg_tension,avg_reward,avg_hook,peak_tension_sequence,peak_tension_label,peak_tension_event,peak_tension_score,peak_reward_sequence,peak_reward_label,peak_reward_event,peak_reward_score,peak_hook_sequence,peak_hook_label,peak_hook_event,peak_hook_score,avg_information,avg_action,avg_relationship,avg_emotion,avg_material_or_status
DCA-N24,235,237,서브프라임 면책 기록을 짧게 닫고 우주·반도체·몽골 투자결정을 빠르게 펼친다. 아직 수익이 없는 계획구간이라 보상점보다 규모와 시간 약속이 리듬을 지배한다.,5.00,7.33,6.67,235,235화,한 팀장에게 보험 매집을 늘리되 경고 보고서를 정부에 남기게 하고 텍사스 공장에서 머스크에게 매년 10억 달러씩 10년·첫해 최대 30억 달러 투자를 약속한다,6,236,236화,김익수·채드 헐리·스티브 첸의 베타 버전을 검수하고 50명 투표로 위튜브라는 이름을 정한 뒤 애플 기본앱·구글·아마존·페이스북 홍보를 약속한다,9,235,235화,한 팀장에게 보험 매집을 늘리되 경고 보고서를 정부에 남기게 하고 텍사스 공장에서 머스크에게 매년 10억 달러씩 10년·첫해 최대 30억 달러 투자를 약속한다,7,0.267,0.193,0.207,0.090,0.243
DCA-N24B,238,242,오디션과 계약 장면에 인물반응을 넓게 쓰고 출시 뒤 순위·가입자 숫자를 연속 보상으로 터뜨린다. 242화 SpaceX 소식은 주봉우리 뒤 짧은 잔향이다.,5.20,7.80,6.80,242,242화,톱10 전원 계약과 순차 음반 제작을 확정한 뒤 100인분 음식을 전용기로 마셜제도에 날라 팰컨1 실패 팀에게 100번 실패해도 지원한다고 선언한다,7,242,242화,톱10 전원 계약과 순차 음반 제작을 확정한 뒤 100인분 음식을 전용기로 마셜제도에 날라 팰컨1 실패 팀에게 100번 실패해도 지원한다고 선언한다,10,242,242화,톱10 전원 계약과 순차 음반 제작을 확정한 뒤 100인분 음식을 전용기로 마셜제도에 날라 팰컨1 실패 팀에게 100번 실패해도 지원한다고 선언한다,8,0.198,0.254,0.208,0.126,0.214
DCA-N24C,243,246,가수들의 위기와 양지파 위협을 길게 끌어 적의 얼굴을 유지한다. 246화 보상은 소유권 완료가 아니라 굴복 약속이라 일부러 중간 강도로 닫는다.,8.00,6.00,6.75,245,245화,흑사회 개입을 알리자 쩡칭훙이 군·탱크로 조직을 습격해 두목을 한국에 보내고 민재는 그에게 사흘 안에 양지파와 SG 비리를 터뜨리라고 명령한다,9,245,245화,흑사회 개입을 알리자 쩡칭훙이 군·탱크로 조직을 습격해 두목을 한국에 보내고 민재는 그에게 사흘 안에 양지파와 SG 비리를 터뜨리라고 명령한다,8,245,245화,흑사회 개입을 알리자 쩡칭훙이 군·탱크로 조직을 습격해 두목을 한국에 보내고 민재는 그에게 사흘 안에 양지파와 SG 비리를 터뜨리라고 명령한다,8,0.175,0.322,0.225,0.132,0.145
DCA-N25,247,247,만남·기술검증·조건·서명을 단화에 압축하지만 지분비율을 정확히 남긴다. 다음 화 시민펀드로 곧장 바뀌므로 짧고 선명한 계약봉우리다.,5.00,7.00,7.00,247,247화,AAA 보험 익스포저와 테슬라 시제품·배터리 공장 계획을 점검한 뒤 부산 게임 결승에서 AOS 유즈맵 개발자들에게 블리야드 지원과 1000만 달러를 제시한다,5,247,247화,AAA 보험 익스포저와 테슬라 시제품·배터리 공장 계획을 점검한 뒤 부산 게임 결승에서 AOS 유즈맵 개발자들에게 블리야드 지원과 1000만 달러를 제시한다,7,247,247화,AAA 보험 익스포저와 테슬라 시제품·배터리 공장 계획을 점검한 뒤 부산 게임 결승에서 AOS 유즈맵 개발자들에게 블리야드 지원과 1000만 달러를 제시한다,7,0.310,0.200,0.160,0.080,0.250
DCA-N25B,248,252,펀드 참여자의 반응과 전기차 공개를 교차해 물질과 대중 보상을 번갈아 준다. 252화 선거승리가 정치봉우리를 닫고 곧바로 서브프라임 경고로 온도를 낮춘다.,5.20,7.80,6.40,249,249화,천민정에게 P2P·증권 전문가를 붙여 펀딩을 만들게 하고 원격조종 보고를 받은 뒤 드라이빙센터에서 10대 차량의 충돌 감지·자동 급제동을 시연한다,6,250,250화,국민경제회복펀드를 출시해 10분 만에 5만 명을 받고 개인 후보 투자·맞춤공약 알고리즘을 보강하며 미국 제작진을 붙인 위튜브 정치채널을 운영한다,9,248,248화,행정기관 이전 정치 합의를 확인하고 경기도지사 출마를 결심한 최재석에게 선거비 보전 후 돌려주는 크라우드펀딩을 제안한다,7,0.204,0.288,0.192,0.106,0.210
DCA-N25C,253,269,"253~258화는 경고·보험료·정치압박으로 보상을 늦춘다. 259화 픽시와 스타크 AI가 중간 기술봉우리를 만들고, 269화 AIZ·SAVE·태우증권 합병·실소유 공개와 김태중 수용이 금융·관계 결산을 함께 준다.",6.71,7.00,7.41,266,266,연준 인사의 모욕에 다이먼과 실제 퇴장해 재무부를 굴복시키고 사전 경고 보고서로 책임 전가를 차단한 뒤 AIZ 70% 이상을 부실 공개 후 4달러에 인수하겠다고 버틴다.,9,267,267,다이먼이 AIZ 청구를 선언해 4달러·70% 지분을 관철하고 태우증권-SAVE-AIZ 합병안을 제시하며 CITI 인수에는 전 경영진 해임과 국세청 압박을 조건으로 건다.,9,264,264,지게차 로봇·자동검수·로봇팔·드론으로 인건비 30%를 줄인 창고를 점검하되 설비보다 인건비가 아직 싸다는 한계를 확인한다. 다이먼에게 CITI가 소진될 때까지 기다리게 하고 김태중의 ‘완벽히 끝내고 오라’는 전언을 받은 뒤 1년을 건너 리먼 파산설을 맞는다.,9,0.262,0.238,0.234,0.119,0.148
DCA-N27,270,275,270~271화 같은 보험증서 평가를 이어 가며 숫자를 충분히 숙성한다. 275화 청와대·이사회 승계 장면은 거래수익보다 관계·직책에 오래 머무는 결산이다.,6.00,7.33,7.00,275,275,대통령에게 산업은행 파산·제2 IMF 가능성을 30% 이상이라고 설명해 재검토 결정을 끌어내고 한전 부지에 대형 금융사 10곳 이상을 모을 마천루·아시아 금융 허브를 제안한다.,8,272,272,AIZ 8천 명 해고·핵심 인재 승진과 연봉 인상을 지시하고 이사회에서 회장직을 수락한 뒤 박만덕을 금융 부회장으로 한정훈을 태우증권 사장으로 의결한다.,9,274,274,데이비드의 예상가 대비 30% 할인 인수를 승인하고 오바마의 면담 요청을 수락한 뒤 천민정에게 미국 트럭 충돌방지·단계적 자율주행·원격조종 실증 계획을 지시한다.,8,0.218,0.215,0.277,0.157,0.133
DCA-N27B,276,286,미국 출장·금융허브 설계는 빠르게 넓히고 281~282화 KIKO 훅과 신화은행 실행은 끊지 않는다. 통화스와프 승인에서 국가급 물질봉우리가 온다.,6.18,7.45,7.36,279,279화,최재석과 별장에서 청와대 발표의 역효과와 규제 완화 연대를 논의해 중립 이상의 지원을 확보하고 추석 연휴 리먼 660조 원 파산 직후 환율 1400원·15조 원 KIKO 보험 청구를 준비한다.,8,280,280,금융허브 비전을 발표한 뒤 퀀텀·CITI·버크셔 대표를 차례로 공개하고 버핏이 한국 지점 개설과 태우증권·자동차·IT·철강·부품 투자를 직접 선언하게 한다.,9,276,276,다이먼에게 임원 상세정보 심사 도움을 약속하고 CITI·핀테크의 한국 이전 계약을 받은 뒤 보험 청구 완화와 4년 뒤 입주를 교환하도록 맡기며 비트코인 거래소 설립과 데이비드 부사장 배치를 지시한다.,8,0.263,0.228,0.256,0.103,0.150
DCA-N28,287,296,정부·노조 협상은 같은 조건검토가 이어져 291~292를 자르지 않고 체류한다. 296화 바이오 인재 결산 뒤 로켓·우주 목표가 열려 산업톤을 바꾼다.,6.20,7.10,7.10,293,293,핀테크가 가진 빅3 채권 약 100억 달러와 채권단·언론을 움직여 GM 파산 확률을 끌어올리고 찾아온 티모시에게 선파산 후인수를 제안한다.,9,288,288,오희건에게 OLED 개발비 30% 지원과 태우전자 우선·원가 공급을 교환하고 한경 지분을 넘겨받은 뒤 한정훈에게 코닥의 OLED 원천기술 인수까지 설명한다.,8,291,291,오바마의 ‘희망과 변화’ 취임사를 들은 뒤 연준 청사에서 티모시와 첫 협상을 열어 단순 부채탕감만으로는 가치가 없다고 하고 전면 체질개선 조건을 건다.,8,0.260,0.234,0.244,0.105,0.157
DCA-N28B,297,301,297화 새 목표 선언 후 창고·배송·발사 현장으로 곧장 움직여 행동리본이 높다. 성공·실패 장면을 짧게 교차해 미래가 자동승리가 아님을 남긴다.,4.60,7.00,6.00,301,301,"용산 공개전을 앞둔 바둑 AI의 승률을 점검한 뒤 리그 오브 챔피언스 스킨이 하루 약 10억 원어치 팔린 실적, 스페이스X 네 번째 발사 성공, 타미플루 대량생산 성공과 일본 주문을 차례로 확인한다. 월 200만 명분 생산을 전 공장·2교대로 늘리라고 지시하지만 월 1천만 명분은 아직 생산능력 전망이다.",6,298,298화,김태중에게 GM 인수를 함께 기뻐하고 기획실 보고에서 파운드리 1위 가능성·상사 사기 저하를 확인한 뒤 유통 치킨게임을 승인한다.,8,301,301,"용산 공개전을 앞둔 바둑 AI의 승률을 점검한 뒤 리그 오브 챔피언스 스킨이 하루 약 10억 원어치 팔린 실적, 스페이스X 네 번째 발사 성공, 타미플루 대량생산 성공과 일본 주문을 차례로 확인한다. 월 200만 명분 생산을 전 공장·2교대로 늘리라고 지시하지만 월 1천만 명분은 아직 생산능력 전망이다.",7,0.226,0.216,0.250,0.128,0.180
DCA-N29,302,316,청문회 공방의 긴장을 앞에서 높이고 각 제품 지급을 연속적으로 보여 준다. 306→307 미국 대사 요청과 면담은 같은 미지급 약속이라 흐름을 끊지 않는다.,5.73,7.20,6.87,303,303,혼잡도 120%를 넘으면 김 의원이 사퇴한다는 약속을 생방송으로 받아내고 개통 뒤 실제 자료를 공개한다.,9,303,303,혼잡도 120%를 넘으면 김 의원이 사퇴한다는 약속을 생방송으로 받아내고 개통 뒤 실제 자료를 공개한다.,9,312,312,가입자 130만 명·멤버십 30%를 확인하고 델핀을 통해 아노르 가문 중저가 명품의 VIP 온라인 입점을 성사시킨다.,8,0.215,0.271,0.238,0.102,0.175
DCA-N30,317,326,제품 시승과 예약반응에 행동·대중체류를 주고 주가전은 숫자를 빠르게 올린다. 공매도 항복 뒤 일본·남유럽 금융위기로 새 압박을 즉시 연결한다.,6.50,7.20,7.20,322,322,3년 뒤 주가가 낮으면 현재가로 전량 매수하겠다고 보증해 펀드를 참전시킨다.,8,326,326화,"테슬라 공매도 세력의 공개 항복과 주가 신고가, 태우차·카이차 30만 원대를 확인한다. 이어 게임팀에서 승부조작 가담자가 최소 3명, 연루자가 5명 이상이라는 경기영상·자료를 받고 전수조사와 검찰 이첩을 지시한다.",9,322,322,3년 뒤 주가가 낮으면 현재가로 전량 매수하겠다고 보증해 펀드를 참전시킨다.,8,0.221,0.274,0.230,0.106,0.169
DCA-N31,327,333,금융시장 숫자는 압축하고 331~332화 선거작전 개시와 PC방 실행은 이어서 보여 준다. 서로 다른 전선을 병렬 배치하되 다음 지진 Arc의 경보로 긴장을 올린다.,5.00,6.71,6.43,331,331,지원 요구를 거절하고 핀테크 대출을 정상금리로 받으며 캡틴 PC방 IP 작전을 가동한다.,6,332,332,국민경제당이 8개 광역단체장을 얻자 무상급식 찬성·서울 보궐 전략을 제시하고 일본에 첫 100억 달러를 투입한다.,8,329,329화,캡틴 PC방을 전국에 적자 확장하고 최재석에게 광역단체 다수 승리를 약속한다.,7,0.267,0.211,0.240,0.091,0.190
DCA-N31B,334,337,334~335화는 운송·자료·물자 준비를 차근히 쌓은 뒤 전화벨과 지진 발생을 10점 훅으로 터뜨린다. 336~337화 재난·금융결산은 같은 약속의 실행이라 숨 돌릴 틈 없이 이어진다.,7.75,8.00,7.75,335,335,"최소 1만2천 명 교민의 대피지원·비용 전액 부담을 선언하고 운송수단, 미국 추가자료 요청, 구호물자 조달선을 준비한다.",10,336,336,한정훈에게 공매도·상품 합의 뒤 엔화 상승 전환을 지시하고 최재석 미담·구호·성금을 확산한다.,10,335,335,"최소 1만2천 명 교민의 대피지원·비용 전액 부담을 선언하고 운송수단, 미국 추가자료 요청, 구호물자 조달선을 준비한다.",10,0.190,0.302,0.230,0.138,0.140
DCA-N31C,338,341,337화 일본 금융결산 뒤 338화 투표현장으로 분명히 전환한다. 개표 숫자와 서버증거를 교차하되 최재석의 대중반응에서 관계보상을 준다.,7.25,6.75,7.00,340,340화,"핀테크 거래기록과 좀비폰으로 필리핀 조직의 보스·조직원·사무실을 특정하고, 위장 취업 경로와 다음 날 출국할 직원·경호인력 50명을 준비한다.",8,341,341화,"서울시장 선거 개표에서 국민경제당 후보가 36대34, 2퍼센트 차이로 이긴다. 디도스 증거는 개표 뒤 공개하도록 기획실장에게 넘기지만 언론·SNS 공개는 아직 없고, 최재석은 긴 침묵 끝에 이제 움직이겠다고 말한다.",8,340,340화,"핀테크 거래기록과 좀비폰으로 필리핀 조직의 보스·조직원·사무실을 특정하고, 위장 취업 경로와 다음 날 출국할 직원·경호인력 50명을 준비한다.",8,0.230,0.310,0.242,0.118,0.100
DCA-N32,342,344,짧은 세 화에서 지분협상보다 연구실 설명에 정보체류를 둔다. 도산 장비·텍사스 부지로 넘어갈 때 임상 가능성을 미지급 훅으로 남긴다.,5.33,7.00,6.33,342,342화,디도스 수사를 확산하고 한정훈에게 유럽 청산·데이비드에게 미국 셰일 인맥 구축을 맡긴다.,6,344,344,"로보와 인슐린 아시아 생산권, 당뇨 신약 연구비 전액지원과 신약지분 30퍼센트를 묶은 계약을 체결한다. 데이비드에게 트럼프 지원을 맡기고 덴마크 임무를 끝낸 뒤 한국으로 돌아오게 한다.",8,343,343,김민재가 인슐린·mRNA 투자를 제안하고 한정훈·데이비드가 로보 지분 약 30%를 모은다.,7,0.313,0.190,0.250,0.080,0.167
DCA-N32B,345,351,장비 목록과 토지조건은 빠르게 정리하고 센트리언 신약실 방문 예고→실행인 346~347을 붙여 읽는다. 351화 이중축 결산 뒤 귀국 장면이 다음 정치·조직 Arc를 연다.,5.29,7.00,6.71,345,345,후분양 10곳 확대를 요구하고 박민용에게 매입가 그대로 현금 인수를 제안한다.,6,349,349,현금·즉시결제를 제시해 각 3.5억 달러를 송금한다.,8,345,345,후분양 10곳 확대를 요구하고 박민용에게 매입가 그대로 현금 인수를 제안한다.,7,0.251,0.230,0.279,0.084,0.156
DCA-N32C,352,356,귀국 보고와 총선표는 압축하고 직원·가족 반응에 호흡을 늦춘다. 356화 문화결산 뒤 신사옥 국제무대가 열리며 규모를 다시 키운다.,4.80,7.60,6.20,355,355,서정준의 공동연구를 승인하고 금융사에 러시아 확장·제재 정보를 공개한다.,6,352,352,퀀텀·버크셔·핀테크·노무라·BNP를 완공식에 모으고 홍콩 통제 위험을 설득한다.,9,355,355,서정준의 공동연구를 승인하고 금융사에 러시아 확장·제재 정보를 공개한다.,7,0.256,0.190,0.262,0.122,0.170
DCA-N33,357,368,신사옥·대선·사드의 관계압박을 길게 쌓고 369화 초 ARN 입금·계약까지 같은 결산으로 읽는다. 연준 테이퍼링 신호는 지급 뒤 날카로운 금융 훅이다.,5.75,6.67,7.08,362,362화,중임제를 제안해 두 후보 동의를 받은 뒤 대선 사퇴·재보궐을 선언한다.,8,357,357,후쿠다·천민정 의견을 받아 임원 접근금지 커뮤니티를 만들고 완공식에서 오희건·머스크를 맞는다.,8,357,357,후쿠다·천민정 의견을 받아 임원 접근금지 커뮤니티를 만들고 완공식에서 오희건·머스크를 맞는다.,8,0.237,0.237,0.291,0.114,0.122
DCA-N33B,369,373,연준 유지·번복·재축소를 세 번의 작은 파동으로 보여 줘 같은 숫자곡선을 피한다. 373화 석유전 설계 뒤 계열사 종무식으로 급히 온도를 낮춘다.,6.00,6.60,6.80,371,371,진동오의 미국혜택 논리에 진동구가 중국 전사업 철수 위험을 경고한다.,7,369,369,긴급계약을 설명하고 ARN·AI 설계를 파운드리 수주와 연결한다.,7,369,369,긴급계약을 설명하고 ARN·AI 설계를 파운드리 수주와 연결한다.,7,0.300,0.218,0.276,0.086,0.120
DCA-N33C,374,377,2013 사업결산은 짧게 지나가고 몽골 철도·국경 병목에 정보체류를 준다. 크림 수익 뒤 협상은 제안상태로 멈춰 378화 사우디 왕궁의 새 상대를 선명하게 만든다.,5.25,7.50,6.75,375,375,루블·주가 하락에 베팅하고 반항 금융사는 내버려둔 뒤 유가자산을 정리하며 러시아 진출 계열사 대책을 세운다.,6,375,375,루블·주가 하락에 베팅하고 반항 금융사는 내버려둔 뒤 유가자산을 정리하며 러시아 진출 계열사 대책을 세운다.,8,374,374,저궤도 통신·전기차·자원 인프라 계획을 재확인하고 금융타워의 크림반도 투자금을 유지한다.,7,0.282,0.208,0.280,0.085,0.145
DCA-N33D,378,380,왕위협상은 관계긴장을 길게 잡고 증산 발표 뒤 가격·레버리지·전액회수를 빠른 숫자연쇄로 터뜨린다. 380화가 정치와 물질의 이중봉우리다.,7.67,7.67,6.67,380,380,천민정이 사우디 왕족 비밀계좌를 찾고 김민재가 텍사스 관계자에게 경고한 뒤 OPEC 증산 발표와 함께 원유 공매도를 실행한다. 원유는 110달러에서 105달러로 내려간다.,9,380,380,천민정이 사우디 왕족 비밀계좌를 찾고 김민재가 텍사스 관계자에게 경고한 뒤 OPEC 증산 발표와 함께 원유 공매도를 실행한다. 원유는 110달러에서 105달러로 내려간다.,9,379,379,불법 왕족 자산을 국고로 환수한다는 명분을 주고 천민정·강 대위·한정훈에게 정보수집 시스템을 맡긴다.,7,0.203,0.263,0.290,0.110,0.133
DCA-N34,381,396,자산·지분 설명이 많은 구간이라 382화 고유 표적과 금액을 또렷이 붙잡고 나머지는 압축한다. 394화는 이벤트만 숨기고 395화에서 공개매수를 지급해 선취 없는 긴장을 만든다.,7.00,7.38,7.00,393,393,태우·핀테크가 지분을 사고 한정훈이 합법 매매로 상승 압력을 더한다.,9,390,390,쉘에서 동전던지기로 태우·엑슨 지분을 1달러씩 사고 핀테크 명의 공매도 수익도 챙긴다.,9,387,387,체셔피크 협상을 맡기고 중국에서 CNOOC 지분을 산 뒤 금융타워 석유포지션을 정리한다.,8,0.249,0.274,0.249,0.100,0.127
DCA-N34B,397,399,397화 손잡기와 398화 실행을 붙여 배신의 무게를 살린다. 399화 한정훈 취임은 환호보다 실제 결재권·자금줄에 머물러 지위보상을 구체화한다.,7.00,8.00,7.33,397,397,박만득 은퇴·인수인계를 지시하고 카노스에게 동료 펀드 배신과 자산 흡수를 제안한다.,8,397,397,박만득 은퇴·인수인계를 지시하고 카노스에게 동료 펀드 배신과 자산 흡수를 제안한다.,8,398,398,"카노스가 2주 만에 헤지펀드들을 파산시키자 태우 300억 달러·금융타워 총 600억 달러를 중국에 배치하고, 한정훈의 부회장 교육·다음 달 이취임식과 태우건설의 부동산 회복을 점검한다.",8,0.230,0.237,0.337,0.103,0.093
DCA-N34C,400,401,"400화 폐기보고·매각안은 저점, 401화 서명이 확실한 보상봉우리다. 후반 중국 D-DAY는 신약권리보다 작게 다뤄 다음 Arc 진입신호로 남긴다.",7.00,7.00,6.00,400,400,천민정의 시스템 정보로 선점하고 데이비드가 포섭한 에릭센을 통해 이사회 매각안을 통과시킨다.,7,401,401,로보와 10억 달러에 폐기신약의 모든 권리·연구자료를 넘기고 인슐린 로열티를 없애는 계약에 당일 서명한다. 귀국 직후 중국 공매도 D-DAY를 시작하지만 수익은 아직 발생 전이다.,9,401,401,로보와 10억 달러에 폐기신약의 모든 권리·연구자료를 넘기고 인슐린 로열티를 없애는 계약에 당일 서명한다. 귀국 직후 중국 공매도 D-DAY를 시작하지만 수익은 아직 발생 전이다.,7,0.275,0.200,0.240,0.075,0.210
DCA-N35,402,410,402~404화 금융·승계는 자원축적이라 빠르게 지나가고 405~410화 환자·연구실·승인에 오래 머문다. 주가하락보다 환자회복을 큰 보상으로 둔다.,7.33,7.00,7.11,405,405,연구원 대폭 증원·신축을 지시하고 위안화 절하 투자 중 국내 메르스 첫 환자를 확인해 사스 자료 인수까지 결정한다.,9,408,408,10% 제안을 거절해 절반 인하를 받아내고 귀국 후 독단 중단 금융사를 처벌하며 위안화 절하 수익을 이어간다.,9,402,402,금융사 이익 일부를 차명계좌로 중국 수뇌부에 보내고 병원에서 오희건의 후계 부탁을 듣는다.,8,0.246,0.223,0.177,0.146,0.209
DCA-N36,411,414,총선 전 지역반응과 일자리 압박을 천천히 보여 준 뒤 공장·생산 배치를 짧게 지급한다. 중국폭락 신호가 들어오며 금융행동으로 속도를 높인다.,7.25,6.25,6.50,413,413,당선 가능성을 재확인하고 강 대위·천민정의 범죄정보망으로 가짜뉴스 없이 양당 악행을 과대포장한다.,8,412,412,태우 선박 5억 달러를 군산 조선소에 일시불 발주하고 시위대에 사과한 뒤 최재석의 공로를 공개한다. 남은 5억 달러는 새만금 몫으로 두고 다른 기업을 끌어들여 총 20억 달러 이상을 만들 계획을 세운다.,7,411,411,서울 지지율 30퍼센트를 계산하고 호남 공략을 위해 군산 조선소와 새만금에 쓸 10억 달러를 별도 자금으로 빼 두라고 지시한다.,7,0.225,0.215,0.228,0.138,0.195
DCA-N36B,415,419,"415→416 중국폭락 약속과 실행, 420 직전 ASML 지급을 끊지 않고 이어 간다. 주가 숫자는 압축하고 자율주행·장비 소유 순간을 길게 잡는다.",6.40,7.60,7.00,416,416,미국 화물사까지 협업을 확대하고 중국 개장 한 시간 7%·700조 원 증발에도 주말까지 청산을 미룬다.,9,416,416,미국 화물사까지 협업을 확대하고 중국 개장 한 시간 7%·700조 원 증발에도 주말까지 청산을 미룬다.,9,416,416,미국 화물사까지 협업을 확대하고 중국 개장 한 시간 7%·700조 원 증발에도 주말까지 청산을 미룬다.,9,0.234,0.198,0.158,0.116,0.294
DCA-N36C,420,426,"420→421, 425→426의 제안·실행을 같은 흐름으로 유지한다. PF 숫자압박 뒤 하야 발표와 대중반응이 정치봉우리를 형성한다.",8.00,7.29,8.00,426,426,탄핵은 국정 공백만 길어진다고 압박하고 동시에 6월 23일 브렉시트 국민투표 투자 준비를 유지한다.,10,426,426,탄핵은 국정 공백만 길어진다고 압박하고 동시에 6월 23일 브렉시트 국민투표 투자 준비를 유지한다.,10,426,426,탄핵은 국정 공백만 길어진다고 압박하고 동시에 6월 23일 브렉시트 국민투표 투자 준비를 유지한다.,10,0.197,0.193,0.170,0.194,0.246
DCA-N37,427,430,도시규모와 전력수요는 정보리본이 높지만 현장부지·선박계약에서 물질감을 준다. 430화 빅딜 뒤 사우디 왕위·총선으로 정치리듬이 열린다.,7.00,7.25,6.75,427,427,정부는 인허가와 기반공사를 맡고 태우가 투자·기업 유치를 담당하는 구도를 최재석에게 제안한다.,8,430,430,현재해운 부채 20퍼센트인 1조6천억 원을 탕감받고 매각계약에 서명한다. 도장을 찍은 뒤 남은 부채를 일시상환하고 현진·현재해운을 태우상사에 편입한다.,9,428,428,토지공사 매각으로 받은 6조 지원금과 4조 보상금을 다시 부지에 투입하고 태우건설이 평생 유지보수 일자리와 용접공·일용직 대규모 채용을 설계하게 한다.,7,0.210,0.158,0.235,0.105,0.292
DCA-N37B,431,435,왕실·개표·브렉시트 세 봉우리를 같은 숫자로 평탄화하지 않고 각 목격자 반응을 짧게 분리한다. 마지막 해운비용 훅이 실물경제로 돌아가게 한다.,8.00,8.00,7.40,431,431,태우 자동차계열이 전기차 타이어 개발 명목으로 2조 원 이상 투자하게 하고 사우디 숙청 대상 정보를 빈 살만에게 제공한다.,9,433,433,최재석의 국익 중심 승리 연설을 지켜본 뒤 한 달 뒤 제리 왕과 용선료 재협상을 준비하고 유전자 가위 특허 자체 인수를 지시한다.,9,434,434,데이비드에게 각 진영 협상과 로비를 맡기고 무제한 연구비·한국 연구소를 제시하는 한편 로보의 유고빈 지분소송에는 AI 기술절도 맞소송을 준비한다.,9,0.182,0.174,0.224,0.174,0.246
DCA-N38,436,440,해운요율과 법정공방을 번갈아 보여 주고 440화 결산 뒤 제주 렌터카로 분명히 전환한다. 긴 거래설명은 선박·법원·도시라는 물건과 장소로 끊어 읽는다.,8.00,6.60,6.80,438,438,과거 협업 중 로보가 AI 신약기술을 빼간 기록을 증거로 미국 대형 로펌의 맞소송을 제기하고 태우해운의 2M 가입도 병행한다.,9,437,437,기존 용선료 50% 인하와 추가 5년 계약·미납금 선납을 묶어 당일 서명시키고 제리 왕에게 동맹 재편 정보를 받는다.,7,436,436,5년치 선납을 제시한 뒤 태우가 이미 60만 TEU 자가선복을 갖췄다고 공개해 계약 파기 시 직접 운항하겠다고 압박한다.,7,0.218,0.226,0.228,0.112,0.216
DCA-N38B,441,446,441화 이동실증의 생활감에서 시작해 인재관계에 호흡을 두고 445→446 스파이 훅·실행을 붙여 긴장을 높인다. 편안한 제품체험이 내부위협으로 변하는 리듬이다.,6.67,6.83,7.33,444,444,러스트벨트와 경합주 결과를 따라 포지션을 유지하고 50억 달러 미국 투자계획을 트럼프 캠프에 연결한다.,9,444,444,러스트벨트와 경합주 결과를 따라 포지션을 유지하고 50억 달러 미국 투자계획을 트럼프 캠프에 연결한다.,9,442,442,두 배 연봉·무제한 연구비·IIT 교수직을 제시하며 모든 유전자 가위 권리를 센트리언·태우와 공유하는 합의를 끌어낸다.,8,0.218,0.185,0.260,0.160,0.177
DCA-N38C,447,450,규제발표로 긴장을 빠르게 올리고 선박명·자산가격·소유권 이전에서 보상을 준다. 450화 지급 뒤 무인공장 기술전으로 장면을 좁힌다.,6.25,7.25,6.75,447,447,외국 대형 해운동맹이 미국 중소 해운사를 죽인다고 아메리카 퍼스트 논리로 설득하고 미국 투자·고용 계획을 제시한다.,8,447,447,외국 대형 해운동맹이 미국 중소 해운사를 죽인다고 아메리카 퍼스트 논리로 설득하고 미국 투자·고용 계획을 제시한다.,8,447,447,외국 대형 해운동맹이 미국 중소 해운사를 죽인다고 아메리카 퍼스트 논리로 설득하고 미국 투자·고용 계획을 제시한다.,7,0.165,0.172,0.295,0.155,0.212
DCA-N39,451,455,공장 자동화 수치는 빠르게 보여 주고 말레이시아 생존변수에서 감정·관계 체류를 늘린다. 기술쾌감 뒤 실제 사람의 비용을 붙이는 완급이다.,7.60,6.80,7.40,454,454,두 여성의 공격 직후 아트로핀을 투여하고 태우 의료캠프에서 완전 처치한 뒤 신분을 숨겨 철수시킨다.,10,454,454,두 여성의 공격 직후 아트로핀을 투여하고 태우 의료캠프에서 완전 처치한 뒤 신분을 숨겨 철수시킨다.,9,453,453,말레이시아 암살정보를 강 대위에게 주고 현장팀과 독살 대응 해독제·의료진을 준비시켜 정권교체가 아닌 협상카드 확보임을 명시한다.,9,0.246,0.282,0.116,0.170,0.186
DCA-N40,456,462,왕실·연금 회의는 정보량을 압축하고 게임 접속·통신반응에서 독자가 쉬며 보상을 체감한다. 이후 일본 품질정보가 조용한 위기신호로 들어온다.,5.57,7.29,6.57,457,457,사우디 전용층과 퀀텀펀드 연계를 검토하며 최재석의 긴급 호출을 받아 중국 피해기업 지원과 국민연금 외부운용 제안을 듣는다.,7,459,459,게임 수익을 투명하게 공개하고 MCA 레코드와 함께 초대형 구형 공연장 건설안을 6조 원 규모로 설계한다.,9,459,459,게임 수익을 투명하게 공개하고 MCA 레코드와 함께 초대형 구형 공연장 건설안을 6조 원 규모로 설계한다.,7,0.233,0.151,0.229,0.091,0.296
