sequence,visible_label,arc_id,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
174,174화,DCA-N17,N17·천민정 보호와 비트코인·AI·SNS 실전배치,4,7,7,0.17,0.13,0.42,0.24,0.04,천민정에게 열애설 상대가 자신임을 밝혀 불안을 풀고 코코아톡 금융안을 받아 관계·감정 체류가 가장 길다.,L31570~L31756
176,176화,DCA-N17,N17·천민정 보호와 비트코인·AI·SNS 실전배치,6,10,8,0.15,0.26,0.40,0.11,0.08,서광수와 핵심 직원을 페이스북으로 되찾아 박동희 강탈을 독으로 만들므로 관계 회수와 복수 보상이 절정이다.,L31916~L32080
177,177화,DCA-N18,N18·가족 허락과 페이팔·머스크 기술방패,4,8,6,0.14,0.11,0.43,0.27,0.05,김태중은 천민정의 배경을 따지지 않고 손자 곁에 있는 사람으로 받아들인다. 사업보고가 아니라 가족 식탁의 허락이 지급되며 천민정과 조손 사이의 거리가 눈에 띄게 줄어든다.,L32081~L32276
178,178화,DCA-N18,N18·가족 허락과 페이팔·머스크 기술방패,6,8,7,0.23,0.19,0.37,0.05,0.16,20억 달러로 페이팔을 사고 머스크를 직접 만나 전기차·에너지·우주 동맹을 연다. 회사 인수 직후 창업자의 다음 야심까지 붙잡아 하나의 자산이 장기 파트너십으로 커진다.,L32277~L32455
181,181화,DCA-N18B,N18B·KS 불법 대선자금과 세이월드 역공,8,7,8,0.27,0.29,0.32,0.07,0.05,"강 대위의 추적과 국세청 인맥이 KS해운 비자금, 현금 운반 차량, 불법선거자금 단서를 한 줄로 잇는다. 야당과 검찰에 흘린 정보가 KS 한 곳을 넘어 전 대기업 수사로 번지는 순간, 복수 작전의 행동보다 관계망의 확산이 더 큰 압박으로 바뀐다.",L32798~L32963
182,182화,DCA-N18B,N18B·KS 불법 대선자금과 세이월드 역공,8,9,8,0.20,0.32,0.30,0.11,0.07,"100억 원이 넘는 정치자금과 총 2천억 원 비자금, 현금차량 사진을 수사선에 넘긴다. 증거가 실제로 이동한 뒤 세이월드 몰락까지 확인돼 정경유착 역공과 사업 정리가 함께 닫힌다.",L32964~L33126
183,183화,DCA-N18B,N18B·KS 불법 대선자금과 세이월드 역공,5,6,9,0.35,0.17,0.32,0.05,0.11,깨끗한 태우의 위치를 굳힌 뒤 서문영 팀에 숏폼 SNS를 맡겨 기술 정보와 인재 협업에 머문다.,L33127~L33294
185,185화,DCA-N18C,N18C·비트코인 게임결제와 WWDC 시리·IoT 시연,6,9,6,0.18,0.37,0.21,0.08,0.16,시리·가전 IoT·자동차 원격 시동을 세계 무대에서 실시간 시연해 공개 행동과 기업 지위 보상이 솟는다.,L33461~L33664
186,186화,DCA-N18C,N18C·비트코인 게임결제와 WWDC 시리·IoT 시연,4,8,7,0.34,0.15,0.32,0.04,0.15,"잡스와 노이즈캔슬링 이어폰, 건강·지도·음성 기능의 시계를 차례로 떠올린다. 완제품 지급 없이 아이디어가 서로의 말을 받아 커지는 공동개발 리듬이 재미를 만든다.",L33665~L33838
188,188화,DCA-N19,N19·인도 공장·IIT와 아노르 프리미엄 동맹,6,7,7,0.32,0.16,0.39,0.04,0.09,미모안 싱에게 공장·선거 지원과 IIT 캠퍼스를 교환해 국제 정치 관계와 협상 정보에 오래 머문다.,L34049~L34214
190,190화,DCA-N19,N19·인도 공장·IIT와 아노르 프리미엄 동맹,5,7,5,0.25,0.17,0.43,0.10,0.05,델핀에게 미래 가전·AI를 보여 주고 중국 허가를 해결해 가문 파트너·혼인 후보 관계가 부각된다.,L34388~L34604
193,193화,DCA-N20,N20·천민우 보호와 국민경제당·원자재 임무,8,6,9,0.24,0.34,0.25,0.13,0.04,경호원을 보내 천민정의 동생을 구하고 추영택의 폭행과 교사 묵인 증거를 모은다. 구조행동이 끝나자 가해 학생 뒤 권력배경을 추적하는 더 큰 싸움이 열린다.,L34943~L35136
194,194화,DCA-N20,N20·천민우 보호와 국민경제당·원자재 임무,8,8,8,0.18,0.30,0.35,0.14,0.03,"사진·영상·녹취·진술서와 바디캠이 회의장의 거짓말을 무너뜨리고, 김민재가 교실에서 천민우를 안아 공개 보호막을 세운다. 학폭위·명동·부장검사 윗라인 압박 지시까지 현재 화가 소유해 관계와 지위 보상이 크게 오른다.",L35137~L35343
195,195화,DCA-N20,N20·천민우 보호와 국민경제당·원자재 임무,8,10,5,0.12,0.31,0.38,0.15,0.04,화원정밀 거래를 끊고 검사 상급자를 압박해 무릎 사과·전학을 받아 천민정의 신뢰와 보호 보상이 절정이다.,L35344~L35519
196,196화,DCA-N20,N20·천민우 보호와 국민경제당·원자재 임무,6,7,8,0.36,0.14,0.37,0.07,0.06,"딥러닝 연구, 부산 데이터센터와 최재석의 정당 구상을 한 판에 연결한다. 김태중이 위험을 함께 지겠다고 나서며 기술계획이 가족과 정치의 공동책임으로 넓어진다.",L35520~L35684
197,197화,DCA-N20,N20·천민우 보호와 국민경제당·원자재 임무,5,7,7,0.24,0.14,0.50,0.06,0.06,델핀과 프리미엄 가전을 점검하는 앞 장면 뒤 김태중이 최재석에게 깨끗한 정치인 50명과 국가사업 지원 원칙을 제안한다. 인사·정책에는 간섭하지 않겠다는 선을 듣고 최재석이 도전을 받아들이며 두 사람의 소주잔이 창당 준비를 실제 관계로 굳힌다.,L35685~L35841
200,200화,DCA-N20B,N20B·판타지TV 50억 합작과 슈퍼볼 영상팀,6,5,8,0.32,0.18,0.35,0.05,0.10,"김익수와 첫 면담을 갖고 서버비·망사용료·저작권, 수백억 원 세계화 비용을 듣는다. 숫자를 확인하는 데서 멈추므로 50억 원 매각·합작 제안은 아직 이 회차의 보상이 아니다.",L36166~L36346
206,206화,DCA-N20C,N20C·리사 수 사장 취임과 남미 리튬 권리,5,9,7,0.18,0.18,0.32,0.17,0.15,천민정과의 밤샘 토론이 리사 수 취임으로 뒤집혀 관계 변화와 승진 보상이 봉우리를 만든다.,L37236~L37418
209,209화,DCA-N20D,N20D·국민경제당 38석과 AI 학습 지급,6,9,6,0.24,0.16,0.20,0.12,0.28,38석 캐스팅보트와 AI 학습자산 2만 편이 확정되어 지위·자산 지급이 가장 크다.,L37766~L37935
217,217화,DCA-N21,N21·김태중 신사옥과 샤롯·한전 부지 카드,5,6,6,0.21,0.20,0.31,0.14,0.14,샤롯 두 아들을 비교하고 조부의 판단으로 차남을 고르는 관계·승계 장면에 무게가 실린다.,L39052~L39226
223,223화,DCA-N22,N22·코코아택시·무료 단말기와 차봉훈 카르텔 붕괴,7,6,9,0.21,0.32,0.18,0.09,0.20,무료 단말 보급과 수사기관 제보에 조폭 반격이 붙어 실행과 긴장이 빠르게 오른다.,L40045~L40202
225,225화,DCA-N22,N22·코코아택시·무료 단말기와 차봉훈 카르텔 붕괴,9,7,9,0.15,0.36,0.20,0.14,0.15,70% 편입 뒤 조폭 100명 습격이 다가와 행동 대기와 관계 배신의 압력이 최고조다.,L40383~L40561
226,226화,DCA-N22,N22·코코아택시·무료 단말기와 차봉훈 카르텔 붕괴,9,10,6,0.13,0.42,0.14,0.12,0.19,20분 제압·배후 구속·80% 편입이 한꺼번에 터져 행동과 지위 보상이 가장 크게 솟는다.,L40562~L40732
228,228화,DCA-N23,N23·강남 쌍부지와 Su-47로 초고층 하늘 확보,5,9,8,0.18,0.22,0.18,0.12,0.30,중국 허가 뒤 1조7400억 원 계약서에 도장을 찍어 물질 보상과 가족 약속이 선명하다.,L40909~L41078
231,231화,DCA-N23,N23·강남 쌍부지와 Su-47로 초고층 하늘 확보,6,9,8,0.17,0.23,0.24,0.13,0.23,4조 낙찰과 조손의 기쁨 뒤 공군 고도제한이 새 병목으로 솟는다.,L41448~L41625
233,233화,DCA-N23,N23·강남 쌍부지와 Su-47로 초고층 하늘 확보,4,7,9,0.23,0.20,0.24,0.10,0.23,부시 승인 확인과 코코아 전국 확장을 지나 수호이 도착을 기다리는 연결 회차다.,L41797~L41960
234,234화,DCA-N23,N23·강남 쌍부지와 Su-47로 초고층 하늘 확보,6,9,7,0.20,0.24,0.18,0.14,0.24,실사용 Su-47 확인과 공군 무반대 약속이 놀람·행동·군사자산 보상을 함께 높인다.,L41961~L42135
236,236화,DCA-N24,N24·스페이스X·반도체·몽골 미래 인프라 투자선언,4,9,6,0.19,0.18,0.23,0.10,0.30,"위튜브 이름과 빅테크 유통망, 첫 초고층 허가가 한꺼번에 확정된다. 브랜드·판매통로·건축허가가 문서와 이름으로 지급돼 여러 준비가 실제 사업의 형태를 얻는다.",L42293~L42483
239,239화,DCA-N24B,N24B·태우엔터·위튜브 출시와 콘텐츠 플랫폼 지급,4,8,6,0.18,0.18,0.31,0.13,0.20,감독·작가에게 제작비와 장기계약을 주는 인재 관계와 선점 보상이 주축이다.,L42804~L42963
242,242화,DCA-N24B,N24B·태우엔터·위튜브 출시와 콘텐츠 플랫폼 지급,7,10,8,0.13,0.31,0.20,0.18,0.18,결승 21%·톱10 음반·세계 3천만과 머스크 격려가 대중 환호와 관계 보상을 폭발시킨다.,L43291~L43450
245,245화,DCA-N24C,N24C·SG·양지파 역공과 전원 양도 약속,9,8,8,0.14,0.42,0.16,0.12,0.16,삼합회 두목을 역으로 이용해 양지파와 SG를 사흘 안에 무너뜨린다. 상대 조직의 힘을 서로 부딪치게 한 뒤 결과를 빠르게 회수해 폭력판을 직접 장악하지 않고 끝낸다.,L43786~L43943
250,250화,DCA-N25B,N25B·시민 선거펀드와 세 전기차 공개 실증,5,9,7,0.18,0.27,0.20,0.10,0.25,400억 원·70만 구독자가 깨끗한 선거조직으로 바뀌어 행동과 지위 보상이 크게 지급된다.,L44568~L44721
264,264,DCA-N25C,N25C·서브프라임 경고·KIKO 보험과 AIZ·CITI 수확,7,7,9,0.32,0.22,0.20,0.12,0.14,"아마존 창고가 인건비 30%를 줄였지만 설비보다 인건비가 아직 싸다는 한계를 확인한다. 뒤이어 CITI 2만 명 감원·최소 600억 달러 손실·부실자산 매각 연락과 1년 뒤 리먼 파산설이 쌓여, 자동화 점검보다 금융 수확기의 숫자가 후반을 압도한다.",L46932~L47106
266,266,DCA-N25C,N25C·서브프라임 경고·KIKO 보험과 AIZ·CITI 수확,9,6,8,0.26,0.34,0.22,0.09,0.09,연준 모욕에 실제 퇴장하고 주당 4달러를 고수해 협상 행동과 압박이 최고조에 가깝다.,L47280~L47441
267,267,DCA-N25C,N25C·서브프라임 경고·KIKO 보험과 AIZ·CITI 수확,9,9,8,0.18,0.33,0.20,0.12,0.17,AIZ 70%와 CITI 왕좌를 관철해 다이먼의 복수·지분·정부지원이 한꺼번에 폭발한다.,L47442~L47596
268,268화,DCA-N25C,N25C·서브프라임 경고·KIKO 보험과 AIZ·CITI 수확,6,8,6,0.19,0.22,0.30,0.15,0.14,"다이먼 치료·충성과 박만덕 승진, SAVE 정체 공개가 사람과 조직의 지위를 재편한다.",L47597~L47759
269,269화,DCA-N25C,N25C·서브프라임 경고·KIKO 보험과 AIZ·CITI 수확,5,8,7,0.19,0.18,0.33,0.17,0.13,"AIZ·SAVE·태우증권 합병이 끝난 뒤 공항 환대와 SAVE 실소유주 공개를 거쳐 김태중에게 미국 최대 보험사의 안정 결과를 보여 준다. 조손 갈등은 수용으로 돌아서고, 태우·SAVE 현금을 쓰지 않고 부채를 온전히 떠안지 않는 조건의 GM·포드 검토만 열리므로 보상은 AIZ 합병·공개·가족 승인에 둔다.",L47760~L47922
271,271화,DCA-N27,N27·리먼 보험증서 거래와 회장 승계,7,6,7,0.17,0.20,0.31,0.22,0.10,김태중 은퇴와 전 사장단 추천을 거부하지 못해 가족·조직 관계와 책임 감정이 무겁다.,L48089~L48270
272,272,DCA-N27,N27·리먼 보험증서 거래와 회장 승계,6,9,6,0.16,0.23,0.31,0.16,0.14,"정식 회장 취임과 박만덕·한정훈 승진, 김태중의 자리 이양이 관계·지위 봉우리다.",L48271~L48457
273,273,DCA-N27,N27·리먼 보험증서 거래와 회장 승계,3,8,6,0.14,0.13,0.34,0.29,0.10,회귀 전 배고픔의 라면을 강 대위·한정훈과 나눠 먹어 동료애와 치유 감정에 오래 머문다.,L48458~L48644
277,277,DCA-N27B,N27B·금융허브·KIKO·통화스와프 국가 방패,6,8,8,0.25,0.25,0.31,0.09,0.10,오바마의 신뢰와 금융사 12곳 서명을 이틀 만에 얻어 외교 관계 보상이 크게 오른다.,L49145~L49297
278,278화,DCA-N27B,N27B·금융허브·KIKO·통화스와프 국가 방패,5,8,7,0.27,0.18,0.31,0.10,0.14,투자관을 맞춘 끝에 버핏의 한국 지점과 후속 인맥을 얻는다. 숫자 흥정보다 서로 장기투자자를 알아보는 대화가 다음 거래를 여는 보상으로 남는다.,L49298~L49458
280,280,DCA-N27B,N27B·금융허브·KIKO·통화스와프 국가 방패,7,9,7,0.18,0.26,0.22,0.16,0.18,"금융허브 발표 무대에서 퀀텀·CITI·버크셔 대표를 차례로 공개하고 버핏이 한국 지점과 태우 계열 투자까지 직접 선언한다. 여야 지지와 한전 부지의 조속한 허가 약속은 받았지만, 대통령실장이 공을 청와대와 나누라고 요구해 개발허가 전 정치 대가를 남긴다.",L49611~L49802
281,281,DCA-N27B,N27B·금융허브·KIKO·통화스와프 국가 방패,5,8,8,0.16,0.18,0.34,0.17,0.15,버핏의 50억 달러 약속과 지반공사 뒤 한정훈의 은행 회동으로 관계·지위가 이어진다.,L49803~L49976
293,293,DCA-N28,N28·금융위기 GM·OLED·해운·바이오 조건부 인수,9,7,8,0.22,0.34,0.24,0.09,0.11,채권·언론으로 GM 파산 확률을 올리고 UAW 양보를 받아 선파산 후인수를 관철한다.,L51786~L51967
296,296,DCA-N28,N28·금융위기 GM·OLED·해운·바이오 조건부 인수,5,8,7,0.23,0.18,0.34,0.14,0.11,김정우에게 AI 연구비전을 주고 센트리언과 연결해 인재 관계·감염병 권리가 지급된다.,L52303~L52474
298,298화,DCA-N28B,N28B·아마존 로켓·SpaceX 유통과 우주 실행축,4,8,6,0.18,0.16,0.34,0.22,0.10,김태중과 GM 인수를 기뻐하며 전생의 상처를 씻어 가족 관계와 감정 보상이 두드러진다.,L52623~L52803
303,303,DCA-N29,N29·청문회 역공을 타미플루·충전망·로켓·애플카로 지급,9,9,6,0.19,0.35,0.19,0.15,0.12,사퇴 약속 뒤 실제 혼잡도 120% 초과가 생방송 프레임을 깨 행동·환호 보상이 폭발한다.,L53463~L53621
304,304,DCA-N29,N29·청문회 역공을 타미플루·충전망·로켓·애플카로 지급,5,8,7,0.21,0.22,0.30,0.12,0.15,김 의원의 사과와 타미플루 원가공급을 충전소·보조금 약속으로 바꾼다. 체면을 세워 준 대가가 전기차 인프라로 돌아오며 관계역전이 실물정책을 낳는다.,L53622~L53793
310,310,DCA-N29,N29·청문회 역공을 타미플루·충전망·로켓·애플카로 지급,5,6,7,0.20,0.21,0.34,0.08,0.17,할 핀니 지원 뒤 산유국 왕족에게 전기차 공동투자를 청해 장기 동맹 관계가 크게 작동한다.,L54615~L54774
318,318,DCA-N30,N30·애플카 수요·사우디 매수벽으로 테슬라 숏 항복,5,6,7,0.25,0.18,0.34,0.09,0.14,비트코인 결제와 빈 살만 국부펀드를 일부러 미온적으로 받아 관계 협상에 오래 머문다.,L55973~L56130
326,326화,DCA-N30,N30·애플카 수요·사우디 매수벽으로 테슬라 숏 항복,6,9,7,0.23,0.30,0.15,0.15,0.17,"테슬라 공매도 세력의 항복과 전기차주 상승 뒤 천민정의 승부조작 경기영상이 장면을 꺾는다. 실제 확인된 최소 3명·연루 5명 이상과 조사 지시가 행동 비중을 높이고, 처벌 전 마지막에는 카노스의 태우그룹 공매도 원한이 남는다.",L57323~L57487
329,329화,DCA-N31,N31·일본·남유럽 금융전과 국민경제당 선거망,4,6,7,0.20,0.20,0.34,0.12,0.14,적자 PC방 확장과 최재석의 국가발전 원칙 확인이 정치 동맹의 신뢰를 재확인한다.,L57795~L57962
335,335,DCA-N31B,N31B·동일본 대지진 대피준비와 일본 금융결산,10,6,10,0.15,0.36,0.19,0.20,0.10,"최소 1만2천 명 교민의 대피비 책임을 공개하고 운송수단·미국 추가자료·구호물자 조달선을 준비한다. 실제 대피 전 전화가 동시에 울리고 동일본 대지진이 발생하므로, 지급은 준비 영수증에 제한하고 재난 발생을 드문 10점 훅으로 남긴다.",L58840~L59004
336,336,DCA-N31B,N31B·동일본 대지진 대피준비와 일본 금융결산,8,10,7,0.21,0.29,0.26,0.14,0.10,교민 생존·구호·최재석 미담과 금융사 투항이 생명·관계·승패를 한꺼번에 지급한다.,L59005~L59166
337,337,DCA-N31B,N31B·동일본 대지진 대피준비와 일본 금융결산,5,9,6,0.22,0.18,0.23,0.09,0.28,"일본 금융사 정산을 15일 안에 마치고 현금 300억 달러, 주식·부동산·특허까지 500억 달러 넘게 회수한 수치가 중심이다. 일본 해운사·유럽전은 다음 투자이고, 후반은 최재석 지지율 15퍼센트 상승과 서울 무상급식 주민투표로 정치리듬을 바꾼다.",L59167~L59333
344,344,DCA-N32,N32·로보 지분과 당뇨·mRNA 공동연구,5,8,6,0.25,0.18,0.34,0.08,0.15,"인슐린 아시아 생산권과 당뇨 신약 연구비 전액지원·지분 30퍼센트가 정식 계약으로 닫힌다. 데이비드의 트럼프 지원은 담당 배정이고, 덴마크 일을 마친 그가 한국으로 돌아오는 마지막 프레임은 다음 임무 전의 짧은 정지다.",L60319~L60493
347,347,DCA-N32B,N32B·도산 장비·텍사스 부지·체셔피크 셰일망,5,7,7,0.27,0.21,0.30,0.08,0.14,"조지 부시에게 텍사스의 경제·안보 논리를 30분 동안 설명하는 통화가 거의 전부를 차지한다. 관심은 끌었어도 토지 소유주 설득을 부탁하거나 확답받은 장면은 없으므로, 마지막은 전직 대통령의 실제 행동을 기다리는 낮은 속도의 관계 훅이다.",L60801~L60982
348,348,DCA-N32B,N32B·도산 장비·텍사스 부지·체셔피크 셰일망,6,7,7,0.23,0.25,0.31,0.10,0.11,부시가 직접 텍사스 토지 소유주를 설득하고 김민재가 임대료 50배를 제시해 셰일 실험부지의 저항을 푼다. 마지막에는 제주도보다 큰 50만 에이커 목장 매물만 알려질 뿐 목장 이름과 매도 측 협상은 다음 화에 나온다.,L60983~L61166
352,352,DCA-N32C,N32C·금융타워·제1야당과 직원 가족제도,4,9,6,0.23,0.19,0.27,0.11,0.20,퀀텀·버크셔·노무라·BNP가 완공식에 모여 도시 금융인프라와 동맹 지위가 크게 지급된다.,L61666~L61849
356,356,DCA-N32C,N32C·금융타워·제1야당과 직원 가족제도,4,7,6,0.18,0.20,0.31,0.21,0.10,"신사옥 외형은 90퍼센트이고, 실제 완료된 것은 일주일 전 직원 익명설문과 그 결과 수령이다. 연차·야근·육아휴직·재택·단축근무·안식년은 구체 시행지침이지만 직원 삶의 변화는 아직 검증 전이라 보상을 제도확정 수준에 둔다.",L62332~L62511
357,357,DCA-N33,N33·신사옥·대선·사드와 투게더워크-ARN 교환,4,8,8,0.18,0.20,0.33,0.17,0.12,임원 접근금지 커뮤니티와 완공식에서 머스크 동맹을 재확인해 관계·환대 보상이 앞선다.,L62512~L62684
358,358,DCA-N33,N33·신사옥·대선·사드와 투게더워크-ARN 교환,4,7,7,0.18,0.16,0.36,0.20,0.10,김태중 앞에서 세계 권력자들을 태우 편으로 만들겠다고 약속한다. 사업계획의 거대한 말이 조손 사이의 영속 약속으로 내려앉아 신사옥 이후 무엇을 지킬지가 분명해진다.,L62685~L62878
361,361,DCA-N33,N33·신사옥·대선·사드와 투게더워크-ARN 교환,7,5,8,0.22,0.24,0.34,0.14,0.06,차량 밀담에서 최재석에게 패배·재보궐 선택을 맡겨 정치 관계와 결단 압력이 앞선다.,L63240~L63391
363,363,DCA-N33,N33·신사옥·대선·사드와 투게더워크-ARN 교환,5,6,6,0.24,0.21,0.32,0.11,0.12,기부금 접근을 거절하고 기존 계약을 지켜 국내 정권보다 미국 우군과 원칙 관계를 확인한다.,L63563~L63736
366,366,DCA-N33,N33·신사옥·대선·사드와 투게더워크-ARN 교환,6,6,7,0.23,0.26,0.31,0.10,0.10,재벌 회장단을 모아 사드 부지를 서로 내놓게 만든다. 애국 명분과 그룹별 이해득실을 경쟁시켜 직접 명령 없이도 행동을 끌어낸다.,L64072~L64251
367,367,DCA-N33,N33·신사옥·대선·사드와 투게더워크-ARN 교환,5,7,5,0.18,0.29,0.30,0.10,0.13,양산 창고 미끼로 현재·샤롯이 더 좋은 땅을 내게 해 행동·재벌 관계 보상이 두드러진다.,L64252~L64428
371,371,DCA-N33B,N33B·테이퍼링 3단 금융작전과 3차 석유전 준비,7,6,6,0.23,0.24,0.35,0.12,0.06,진동구·진동오의 말다툼 속에서 사장단이 장남 편으로 기운다. 사업보고보다 누가 다음 권력을 잡는지 눈치를 보는 침묵이 가족 승계균열을 드러낸다.,L64952~L65120
376,376,DCA-N33C,N33C·몽골 운송병목·크림제재와 중국 판로협상,6,7,7,0.22,0.23,0.36,0.11,0.08,"축구 자선행사에 100억 원을 써 로만을 불러낸 뒤 태우 철수 방지와 몽골 자원의 러시아 경유를 맞바꾼다. 로만이 다국적 컨소시엄안을 받아 크렘린 허가를 구하겠다고 약속하는 관계 장면이 길고, 중국 구매자가 없다는 실물 구멍이 마지막에 남는다.",L65820~L65985
377,377,DCA-N33C,N33C·몽골 운송병목·크림제재와 중국 판로협상,5,8,6,0.26,0.21,0.32,0.08,0.13,"리강에게 러시아 경유안과 최소 20년 몽골 자원 구매계약을 함께 제시해 중국 권력선의 반응을 살핀다. 주석 보고와 성사 노력 약속까지만 받은 뒤 사우디 증산·왕위승계 확인으로 시선을 돌려, 판로 계약은 일부러 미지급 상태로 둔다.",L65986~L66170
378,378,DCA-N33D,N33D·살만 왕위동맹과 OPEC 증산 원유숏,7,7,6,0.21,0.22,0.37,0.15,0.05,살만의 분노를 누그러뜨리고 빈 살만을 왕세자로 올릴 방법과 왕족 숙청을 논의한다. 가족 내부의 감정대화가 곧 국가 권력승계와 계좌작전으로 이어져 둘의 동맹 위험을 키운다.,L66171~L66350
379,379,DCA-N33D,N33D·살만 왕위동맹과 OPEC 증산 원유숏,7,7,7,0.25,0.25,0.32,0.10,0.08,왕족 자산 환수 명분과 천민정·강 대위 팀을 붙여 관계·정보·실행 압력을 끌어올린다.,L66351~L66547
380,380,DCA-N33D,N33D·살만 왕위동맹과 OPEC 증산 원유숏,9,9,7,0.15,0.32,0.18,0.08,0.27,OPEC 증산 직후 원유가 110달러에서 105달러로 떨어지고 5배 레버리지 수익률이 25%를 넘는다. 준비기간 자금을 하루 만에 전액 회수했다는 정확한 영수증이 석유전쟁의 첫 큰 봉우리를 만든다.,L66548~L66742
383,383,DCA-N34,N34·헤스·체셔피크·가이아나와 카노스 공개매수 함정,6,7,5,0.27,0.23,0.32,0.09,0.09,오바마에게 두 인수안을 주고 대상 결정권을 얻어 국빈급 관계와 정책협상이 앞선다.,L67085~L67243
384,384,DCA-N34,N34·헤스·체셔피크·가이아나와 카노스 공개매수 함정,5,6,6,0.32,0.20,0.30,0.07,0.11,핀테크 자금과 중국 CNOOC 매각을 한 판에 묶어 정보·외교 관계에 오래 머문다.,L67244~L67404
386,386,DCA-N34,N34·헤스·체셔피크·가이아나와 카노스 공개매수 함정,6,8,7,0.22,0.22,0.34,0.11,0.11,창업가가 자기 프리미엄을 직원 위로금으로 돌린다. 헤스 인수조건을 맞추는 숫자 협상 속에서 직원에게 남길 몫이 관계의 온도를 바꾼다.,L67585~L67757
390,390,DCA-N34,N34·헤스·체셔피크·가이아나와 카노스 공개매수 함정,5,9,6,0.20,0.24,0.18,0.17,0.21,동전던지기로 수십조 원 유전권을 1달러에 얻는 놀람과 물질 보상이 크게 솟는다.,L68275~L68451
391,391,DCA-N34,N34·헤스·체셔피크·가이아나와 카노스 공개매수 함정,8,9,7,0.22,0.30,0.24,0.13,0.11,"살만 즉위와 빈 살만의 국방장관 임명·왕세자 계획을 점검하는 사이, 가이아나 로건팀이 최소 50억 배럴로 추정되는 대형 유전을 발견한다. 헤스 공매도판을 뒤집을 호재가 태어난 것이 지급이며 정밀조사와 시장공개는 아직 다음 단계다.",L68452~L68641
393,393,DCA-N34,N34·헤스·체셔피크·가이아나와 카노스 공개매수 함정,9,8,7,0.18,0.41,0.18,0.11,0.12,합법적으로 매수한 헤스 주가가 폭등하고 공매도에 낀 중소 펀드들이 파산선에 들어간다. 공격하던 물량이 되돌아가 상대 장부를 무너뜨리며 역포획의 결과가 숫자로 보인다.,L68808~L68990
394,394,DCA-N34,N34·헤스·체셔피크·가이아나와 카노스 공개매수 함정,7,7,8,0.20,0.26,0.35,0.10,0.09,"레일·마크 펀드가 요구한 헤스 주식 반환을 거절하고 1억 달러 프리미엄을 매긴 뒤, 버크셔의 매수 이유를 확인하는 데 회차가 오래 머문다. 워런에게는 헤스 지분 3년 임대와 정체를 밝히지 않은 시장 이벤트만 제안하므로 작전명과 참여 확답은 다음 화 몫이다.",L68991~L69182
395,395,DCA-N34,N34·헤스·체셔피크·가이아나와 카노스 공개매수 함정,7,8,8,0.27,0.23,0.32,0.08,0.10,공개매수 후 재상장안을 버핏·미 대사가 묵인해 국가·기업 연합 관계가 완성된다.,L69183~L69348
396,396,DCA-N34,N34·헤스·체셔피크·가이아나와 카노스 공개매수 함정,9,8,7,0.18,0.40,0.20,0.12,0.10,"헤스 공개매수 발표, 퀀텀 3퍼센트의 100퍼센트 프리미엄 이전, 헤지펀드 절반 이상의 카노스 이탈이 실제 시장행동으로 이어진다. 후반 최재석이 4년 중임과 평창재단 요구를 꺼내며 기업전의 속도를 정치적 거래로 낮춘다.",L69349~L69537
397,397,DCA-N34B,N34B·카노스 청소부 전향과 한정훈 지휘권 승계,8,8,7,0.19,0.27,0.37,0.10,0.07,"박만덕의 동남아 퇴직 자리와 한정훈의 인수인계·교육 경로를 정하는 승계 대화가 한 축이다. 다른 축에서는 카노스에게 동료 헤지펀드를 배신하고 자산을 흡수하라고 제안해 전향 약속을 받되, 실제 은퇴·취임과 2주 작전은 아직 앞에 둔다.",L69538~L69724
398,398,DCA-N34B,N34B·카노스 청소부 전향과 한정훈 지휘권 승계,6,8,8,0.23,0.21,0.34,0.11,0.11,"카노스가 약속한 2주 안에 헤지펀드들을 파산시킨 결과를 확인하고 태우 300억 달러·금융타워 총 600억 달러를 중국에 배치한다. 태우건설의 도급 1위와 토지 반등을 짚은 뒤 다음 달 이취임식 날짜를 잡아, 시장 승리를 한정훈의 지위 이전으로 넘긴다.",L69725~L69890
399,399,DCA-N34B,N34B·카노스 청소부 전향과 한정훈 지휘권 승계,7,8,7,0.27,0.23,0.30,0.10,0.10,"박만덕 은퇴·한정훈 부회장 취임과 중국시장 600억 달러 투입, 카노스발 헤지펀드 20곳 파산이 현재 영수증이다. 청와대 200억 원은 분할안을 냈을 뿐 지급 전이고, 마지막 로보 폐기신약 보고가 금융승계 뒤 바이오 표적을 연다.",L69891~L70053
400,400,DCA-N34C,N34C·로보 GLP-1 권리계약과 중국숏 D-DAY,7,5,5,0.31,0.24,0.30,0.08,0.07,폐기 보고·덴마크행·에릭센 매각안은 완성되지만 서명 전이라 정보·관계와 훅이 최고다.,L70054~L70215
401,401,DCA-N34C,N34C·로보 GLP-1 권리계약과 중국숏 D-DAY,7,9,7,0.24,0.16,0.18,0.07,0.35,"10억 달러로 폐기신약 전 권리·연구자료를 받고 인슐린 로열티를 없애는 계약에 당일 서명한다. 귀국 즉시 중국 공매도 D-DAY가 시작되지만 수익은 아직 없어, 바이오 소유권 보상 뒤 행동·정보 리본이 금융전 개시로 이동한다.",L70216~L70406
